Team,W,L,W/L%,GB,PS/G,PA/G,SRS
New Jersey Nets,47,35,.573,7.0,90.3,87.8,1.88
Miami Heat,42,40,.512,9.5,90.3,89.7,-0.13
New York Knicks,39,43,.476,11.0,92.0,93.5,-1.97
Boston Celtics,36,46,.439,12.5,95.3,96.7,-1.99
Philadelphia 76ers,33,49,.402,14.0,88.0,90.5,-2.95
Washington Wizards,25,57,.305,18.0,91.8,97.4,-6.12
Orlando Magic,21,61,.256,20.0,94.0,101.1,-7.25
Indiana Pacers,61,21,.744,0.0,91.4,85.6,4.93
Detroit Pistons,54,28,.659,3.5,90.1,84.3,5.04
New Orleans Hornets,41,41,.500,10.0,91.8,91.9,-0.72
Milwaukee Bucks,41,41,.500,10.0,98.0,97.0,0.42
Cleveland Cavaliers,35,47,.427,13.0,92.9,95.5,-3.07
Toronto Raptors,33,49,.402,14.0,85.4,88.5,-3.42
Atlanta Hawks,28,54,.341,16.5,92.8,97.5,-5.00
Chicago Bulls,23,59,.280,19.0,89.7,96.0,-6.69
Minnesota Timberwolves,58,24,.707,1.5,94.5,89.1,5.86
San Antonio Spurs,57,25,.695,2.0,91.5,84.3,7.51
Dallas Mavericks,52,30,.634,4.5,105.2,100.8,4.86
Memphis Grizzlies,50,32,.610,5.5,96.7,94.3,2.95
Houston Rockets,45,37,.549,8.0,89.8,88.0,2.28
Denver Nuggets,43,39,.524,9.0,97.2,96.1,1.65
Utah Jazz,42,40,.512,9.5,88.7,89.9,-0.53
Los Angeles Lakers,56,26,.683,2.5,98.2,94.3,4.35
Sacramento Kings,55,27,.671,3.0,102.8,97.8,5.41
Portland Trail Blazers,41,41,.500,10.0,90.7,92.0,-0.58
Golden State Warriors,37,45,.451,12.0,93.3,94.0,-0.07
Seattle SuperSonics,37,45,.451,12.0,97.1,97.8,0.02
Phoenix Suns,29,53,.354,16.0,94.2,97.9,-2.94
Los Angeles Clippers,28,54,.341,16.5,94.8,99.4,-3.74
