Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
San Antonio Spurs,57.0,25.0,0.695122,0.129013,-0.092359,0.372724,-0.438304,-2.215096,0.557253,1.758557,-0.540424,0.083494,1.458127,1.541621
Detroit Pistons,54.0,28.0,0.658537,-0.658646,0.409845,0.631106,0.909812,-1.746207,1.214941,0.242688,-1.060168,-0.103227,1.209781,1.106554
Indiana Pacers,61.0,21.0,0.743902,-0.002263,-0.092359,-0.057913,0.717224,-0.691207,1.402852,1.37959,-0.420483,0.118186,0.966186,1.084372
Minnesota Timberwolves,58.0,24.0,0.707317,0.98231,-1.51527,-0.83306,-1.016067,-1.570374,-1.2279,0.621656,-0.540424,0.452719,0.526569,0.979288
Sacramento Kings,55.0,27.0,0.670732,2.360713,-1.013066,-1.134506,0.669077,0.71546,-0.476257,-0.840075,-1.41999,1.071012,-0.360265,0.710747
Dallas Mavericks,52.0,30.0,0.634146,1.573054,-2.603379,1.190934,-1.160508,1.594627,-0.288346,0.134412,-0.580404,1.344177,-0.595994,0.748183
Los Angeles Lakers,56.0,26.0,0.682927,0.654119,-1.180468,-0.230168,0.765371,0.012126,0.087476,1.054761,-0.260561,0.625537,0.267055,0.892592
New Jersey Nets,47.0,35.0,0.573171,-0.002263,0.158743,-1.17757,-0.438304,-0.632596,1.402852,1.37959,-0.300542,-0.341851,0.924751,0.5829
Memphis Grizzlies,50.0,32.0,0.609756,0.522842,-0.259761,0.372724,0.283901,-0.33954,1.402852,-1.59801,0.898868,0.391207,0.032097,0.423304
Houston Rockets,45.0,37.0,0.54878,0.851034,1.832755,-0.919187,-0.34201,-1.39454,-1.039989,1.704419,0.179222,-0.352914,0.611819,0.258905
Denver Nuggets,43.0,39.0,0.52439,-0.264816,-0.008659,0.803361,0.813518,0.598238,1.308896,-1.110766,-0.300542,0.178938,-0.089143,0.089795
Milwaukee Bucks,41.0,41.0,0.5,0.391566,-1.264168,-0.445487,1.294988,0.832682,-0.852079,0.242688,-0.620384,0.577819,-0.404497,0.173322
Miami Heat,42.0,40.0,0.512195,-0.527369,-0.594563,-0.531614,-0.053128,-0.456762,0.275387,1.108899,1.25869,-0.176599,0.284528,0.107929
New Orleans Hornets,41.0,41.0,0.5,-0.724284,-0.092359,0.846425,-0.390157,0.305182,0.745164,-0.028003,-0.420483,-0.155862,0.12169,-0.034172
Seattle SuperSonics,37.0,45.0,0.45122,1.966884,-0.259761,-0.617741,-1.016067,0.949904,-0.288346,-1.543872,0.339143,0.575736,-0.811694,-0.235958
Golden State Warriors,37.0,45.0,0.45122,0.26029,-0.092359,-0.100977,-0.101275,0.305182,-0.852079,0.405103,-0.700345,0.091819,-0.14902,-0.057201
Portland Trail Blazers,41.0,41.0,0.5,0.457204,0.158743,1.104807,-1.593831,0.656849,-0.852079,-0.731799,-1.699852,0.125083,-0.367141,-0.242058
Utah Jazz,42.0,40.0,0.512195,-0.986837,1.581654,2.353654,1.824605,-0.163707,1.120985,0.567517,3.617529,-0.045727,-0.083397,-0.129124
Boston Celtics,36.0,46.0,0.439024,0.98231,0.995749,-1.479015,0.813518,0.481015,1.402852,-1.00249,0.459084,-0.029789,-0.111054,-0.140843
New York Knicks,39.0,43.0,0.47561,0.194651,0.744647,-0.273232,-0.823479,-0.573985,-0.946034,0.78407,1.21871,-0.28647,-0.032907,-0.319377
Philadelphia 76ers,33.0,49.0,0.402439,-0.986837,1.07945,-0.187104,0.669077,-0.222318,0.463297,-0.352832,0.099261,-0.601657,0.119296,-0.482361
Cleveland Cavaliers,35.0,47.0,0.426829,-1.315028,-0.427162,1.061743,-0.101275,-0.105096,-1.791633,0.892347,-0.300542,-0.222063,-0.182319,-0.404382
Toronto Raptors,33.0,49.0,0.402439,-1.118113,-0.092359,-2.081907,-1.593831,-1.277318,-0.100435,-0.677661,0.499065,-1.079612,0.275426,-0.804186
Phoenix Suns,29.0,53.0,0.353659,0.26029,0.075042,-0.876124,-0.919773,0.656849,0.463297,-0.785937,0.459084,-0.227835,-0.372965,-0.6008
Los Angeles Clippers,28.0,54.0,0.341463,-1.183752,0.660946,1.793826,2.257928,1.360182,-1.2279,-0.731799,0.099261,0.058717,-1.012297,-0.95358
Atlanta Hawks,28.0,54.0,0.341463,-0.396093,0.995749,-0.01485,0.332048,0.305182,-1.039989,-0.461108,0.219202,-0.360537,-0.507172,-0.867709
Washington Wizards,25.0,57.0,0.304878,-1.118113,1.497953,0.889488,0.62093,0.891293,0.651208,-1.00249,-0.580404,-0.550696,-0.307153,-0.857849
Chicago Bulls,23.0,59.0,0.280488,-1.643219,0.577246,-0.230168,-1.497537,-0.105096,-0.100435,0.026136,0.978828,-1.072263,-0.124667,-1.19693
Orlando Magic,21.0,61.0,0.256098,-0.658646,-1.180468,-0.230168,-0.486451,1.829071,-1.415811,-1.435595,-0.580404,-0.087343,-1.28564,-1.372983
