Team,W,L,W/L%,NRtg,NRtg_norm
San Antonio Spurs,57.0,25.0,0.695,8.1,1.865420978355487
Detroit Pistons,54.0,28.0,0.659,6.6,1.5199726490303966
Indiana Pacers,61.0,21.0,0.744,6.6,1.5199726490303966
Minnesota Timberwolves,58.0,24.0,0.707,6.2,1.4278530945437062
Sacramento Kings,55.0,27.0,0.671,5.4,1.2436139855703248
Dallas Mavericks,52.0,30.0,0.634,4.7,1.082404765218616
Los Angeles Lakers,56.0,26.0,0.683,4.2,0.9672553221102526
New Jersey Nets,47.0,35.0,0.573,2.8,0.6448368814068349
Memphis Grizzlies,50.0,32.0,0.61,2.6,0.5987771041634897
Houston Rockets,45.0,37.0,0.549,1.9,0.43756788381178086
Denver Nuggets,43.0,39.0,0.524,1.2,0.27635866346007215
Milwaukee Bucks,41.0,41.0,0.5,1.1,0.2533287748383995
Miami Heat,42.0,40.0,0.512,0.5,0.11514944310836339
New Orleans Hornets,41.0,41.0,0.5,-0.1,-0.02302988862167268
Seattle SuperSonics,37.0,45.0,0.451,-0.7,-0.16120922035170873
Golden State Warriors,37.0,45.0,0.451,-0.8,-0.18423910897338144
Portland Trail Blazers,41.0,41.0,0.5,-1.4,-0.32241844070341746
Utah Jazz,42.0,40.0,0.512,-1.4,-0.32241844070341746
Boston Celtics,36.0,46.0,0.439,-1.6,-0.3684782179467629
New York Knicks,39.0,43.0,0.476,-1.6,-0.3684782179467629
Philadelphia 76ers,33.0,49.0,0.402,-2.8,-0.6448368814068349
Cleveland Cavaliers,35.0,47.0,0.427,-2.8,-0.6448368814068349
Toronto Raptors,33.0,49.0,0.402,-3.4,-0.7830162131368711
Phoenix Suns,29.0,53.0,0.354,-4.1,-0.9442254334885798
Los Angeles Clippers,28.0,54.0,0.341,-5.0,-1.151494431083634
Atlanta Hawks,28.0,54.0,0.341,-5.1,-1.1745243197053066
Washington Wizards,25.0,57.0,0.305,-6.0,-1.3817933173003607
Chicago Bulls,23.0,59.0,0.28,-6.8,-1.5660324262737422
Orlando Magic,21.0,61.0,0.256,-7.7,-1.7733014238687963
League Average,,,,,
