Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.541621,57.0,25.0,0.695,1.865420978355487,1.8654273281781968
Detroit Pistons,1.106554,54.0,28.0,0.659,1.5199726490303966,1.2518979672460868
Indiana Pacers,1.084372,61.0,21.0,0.744,1.5199726490303966,1.2245747973260332
Minnesota Timberwolves,0.979288,58.0,24.0,0.707,1.4278530945437062,1.4555797793773946
Sacramento Kings,0.710747,55.0,27.0,0.671,1.2436139855703248,1.3438031751589938
Dallas Mavericks,0.748183,52.0,30.0,0.634,1.082404765218616,1.2071873255587269
Los Angeles Lakers,0.892592,56.0,26.0,0.683,0.9672553221102526,1.0805071741112058
New Jersey Nets,0.5829,47.0,35.0,0.573,0.6448368814068349,0.4669778131790958
Memphis Grizzlies,0.423304,50.0,32.0,0.61,0.5987771041634897,0.7327577387650707
Houston Rockets,0.258905,45.0,37.0,0.549,0.4375678838117808,0.566334794706563
Denver Nuggets,0.089795,43.0,39.0,0.524,0.2763586634600721,0.4098475488008021
Milwaukee Bucks,0.173322,41.0,41.0,0.5,0.2533287748383995,0.1043248306038405
Miami Heat,0.107929,42.0,40.0,0.512,0.1151494431083633,-0.0322910189964268
New Orleans Hornets,-0.034172,41.0,41.0,0.5,-0.0230298886216726,-0.1788425667494409
Seattle SuperSonics,-0.235958,37.0,45.0,0.451,-0.1612092203517087,0.0049678490763733
Golden State Warriors,-0.057201,37.0,45.0,0.451,-0.1842391089733814,-0.0173874717673067
Portland Trail Blazers,-0.242058,41.0,41.0,0.5,-0.3224184407034174,-0.1440676232148274
Utah Jazz,-0.129124,42.0,40.0,0.512,-0.3224184407034174,-0.131648000523894
Boston Celtics,-0.140843,36.0,46.0,0.439,-0.3684782179467629,-0.4943009830991493
New York Knicks,-0.319377,39.0,43.0,0.476,-0.3684782179467629,-0.4893331340227759
Philadelphia 76ers,-0.482361,33.0,49.0,0.402,-0.6448368814068349,-0.7327577387650707
Cleveland Cavaliers,-0.404382,35.0,47.0,0.427,-0.6448368814068349,-0.7625648332233107
Toronto Raptors,-0.804186,33.0,49.0,0.402,-0.7830162131368711,-0.8495021920598446
Phoenix Suns,-0.6008,29.0,53.0,0.354,-0.9442254334885798,-0.7302738142268839
Los Angeles Clippers,-0.95358,28.0,54.0,0.341,-1.151494431083634,-0.9289877772818184
Atlanta Hawks,-0.867709,28.0,54.0,0.341,-1.1745243197053066,-1.24196226909334
Washington Wizards,-0.857849,25.0,57.0,0.305,-1.3817933173003607,-1.5201618173702482
Chicago Bulls,-1.19693,23.0,59.0,0.28,-1.5660324262737422,-1.661745516046889
Orlando Magic,-1.372983,21.0,61.0,0.256,-1.7733014238687963,-1.800845290185343
