Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.56681,58.0,24.0,0.707,2.2134666402913297,2.207522066541908
Dallas Mavericks,1.323505,67.0,15.0,0.817,1.9278580415440607,1.9246419933443224
Phoenix Suns,1.027257,61.0,21.0,0.744,1.7850537421704271,1.9246419933443224
Chicago Bulls,1.181174,49.0,33.0,0.598,1.261437977800435,1.1949700288346614
Houston Rockets,1.017489,52.0,30.0,0.634,1.261437977800435,1.3324444569306846
Detroit Pistons,0.834647,53.0,29.0,0.646,1.118633678426801,0.975539691681394
Cleveland Cavaliers,0.877184,50.0,32.0,0.61,0.9996300956154393,0.8803650876149166
Utah Jazz,0.590523,51.0,31.0,0.622,0.7378222134304432,0.8089841345650585
Denver Nuggets,0.462653,45.0,37.0,0.549,0.4046121815586301,0.4467918913120747
Toronto Raptors,0.218314,47.0,35.0,0.573,0.2380071656227236,0.1612680791126423
Orlando Magic,0.310779,40.0,42.0,0.488,0.1904057324981788,0.0925308650646308
Los Angeles Lakers,-0.212551,42.0,40.0,0.512,0.0,0.0634497360443183
Golden State Warriors,0.051137,42.0,40.0,0.512,-0.0952028662490894,0.0
Washington Wizards,-0.125326,41.0,41.0,0.5,-0.1190035828113618,-0.2114991201477277
Los Angeles Clippers,-0.164458,40.0,42.0,0.488,-0.1190035828113618,-0.0185061730129261
New Jersey Nets,-0.001366,41.0,41.0,0.5,-0.2142064490604512,-0.2643739001846596
Miami Heat,0.147771,44.0,38.0,0.537,-0.2380071656227236,-0.3198924192234381
New Orleans/Oklahoma City Hornets,-0.330412,39.0,43.0,0.476,-0.4046121815586301,-0.3146049412197449
Sacramento Kings,-0.215938,33.0,49.0,0.402,-0.4284128981209025,-0.3569047652492905
Indiana Pacers,-0.503911,35.0,47.0,0.427,-0.6188186306190814,-0.6926596184838082
Seattle SuperSonics,-0.766877,31.0,51.0,0.378,-0.7378222134304432,-0.6477160554524162
New York Knicks,-0.527246,33.0,49.0,0.402,-0.7378222134304432,-0.8089841345650585
Philadelphia 76ers,-0.464756,35.0,47.0,0.427,-0.7854236465549879,-0.8618589146019903
Boston Celtics,-0.826677,24.0,58.0,0.293,-0.8806265128040773,-0.9781834306832408
Minnesota Timberwolves,-0.895287,32.0,50.0,0.39,-0.9520286624908944,-0.8354215245835245
Charlotte Bobcats,-0.686018,33.0,49.0,0.402,-0.9520286624908944,-1.0495643837330988
Milwaukee Bucks,-0.943756,28.0,54.0,0.341,-1.118633678426801,-1.171176377818042
Portland Trail Blazers,-0.994328,32.0,50.0,0.39,-1.1424343949890732,-0.9993333426980132
Atlanta Hawks,-0.973621,30.0,52.0,0.366,-1.261437977800435,-1.284857154897446
Memphis Grizzlies,-0.976713,22.0,60.0,0.268,-1.2852386943627077,-1.1738201168198887
