Team,W,L,W/L%,SRS_norm
Toronto Raptors,47,35,0.573,0.16126807911264238
New Jersey Nets,41,41,0.5,-0.2643739001846596
Philadelphia 76ers,35,47,0.427,-0.8618589146019903
New York Knicks,33,49,0.402,-0.8089841345650585
Boston Celtics,24,58,0.293,-0.9781834306832407
Detroit Pistons,53,29,0.646,0.975539691681394
Cleveland Cavaliers,50,32,0.61,0.8803650876149166
Chicago Bulls,49,33,0.598,1.1949700288346614
Indiana Pacers,35,47,0.427,-0.6926596184838082
Milwaukee Bucks,28,54,0.341,-1.171176377818042
Miami Heat,44,38,0.537,-0.31989241922343814
Washington Wizards,41,41,0.5,-0.2114991201477277
Orlando Magic,40,42,0.488,0.09253086506463086
Charlotte Bobcats,33,49,0.402,-1.0495643837330988
Atlanta Hawks,30,52,0.366,-1.284857154897446
Utah Jazz,51,31,0.622,0.8089841345650585
Denver Nuggets,45,37,0.549,0.44679189131207475
Portland Trail Blazers,32,50,0.39,-0.9993333426980133
Minnesota Timberwolves,32,50,0.39,-0.8354215245835245
Seattle SuperSonics,31,51,0.378,-0.6477160554524162
Phoenix Suns,61,21,0.744,1.9246419933443222
Los Angeles Lakers,42,40,0.512,0.0634497360443183
Golden State Warriors,42,40,0.512,0.0
Los Angeles Clippers,40,42,0.488,-0.018506173012926175
Sacramento Kings,33,49,0.402,-0.3569047652492905
Dallas Mavericks,67,15,0.817,1.9246419933443222
San Antonio Spurs,58,24,0.707,2.207522066541908
Houston Rockets,52,30,0.634,1.3324444569306846
New Orleans/Oklahoma City Hornets,39,43,0.476,-0.3146049412197449
Memphis Grizzlies,22,60,0.268,-1.1738201168198887
