Team,W,L,W/L%,NRtg,NRtg_norm
San Antonio Spurs,58.0,24.0,0.707,9.3,2.2134666402913297
Dallas Mavericks,67.0,15.0,0.817,8.1,1.9278580415440612
Phoenix Suns,61.0,21.0,0.744,7.5,1.7850537421704271
Chicago Bulls,49.0,33.0,0.598,5.3,1.261437977800435
Houston Rockets,52.0,30.0,0.634,5.3,1.261437977800435
Detroit Pistons,53.0,29.0,0.646,4.7,1.118633678426801
Cleveland Cavaliers,50.0,32.0,0.61,4.2,0.9996300956154391
Utah Jazz,51.0,31.0,0.622,3.1,0.7378222134304432
Denver Nuggets,45.0,37.0,0.549,1.7,0.4046121815586301
Toronto Raptors,47.0,35.0,0.573,1.0,0.23800716562272362
Orlando Magic,40.0,42.0,0.488,0.8,0.19040573249817888
Los Angeles Lakers,42.0,40.0,0.512,0.0,0.0
Golden State Warriors,42.0,40.0,0.512,-0.4,-0.09520286624908944
Washington Wizards,41.0,41.0,0.5,-0.5,-0.11900358281136181
Los Angeles Clippers,40.0,42.0,0.488,-0.5,-0.11900358281136181
New Jersey Nets,41.0,41.0,0.5,-0.9,-0.21420644906045125
Miami Heat,44.0,38.0,0.537,-1.0,-0.23800716562272362
New Orleans/Oklahoma City Hornets,39.0,43.0,0.476,-1.7,-0.4046121815586301
Sacramento Kings,33.0,49.0,0.402,-1.8,-0.4284128981209025
Indiana Pacers,35.0,47.0,0.427,-2.6,-0.6188186306190814
Seattle SuperSonics,31.0,51.0,0.378,-3.1,-0.7378222134304432
New York Knicks,33.0,49.0,0.402,-3.1,-0.7378222134304432
Philadelphia 76ers,35.0,47.0,0.427,-3.3,-0.7854236465549879
Boston Celtics,24.0,58.0,0.293,-3.7,-0.8806265128040773
Minnesota Timberwolves,32.0,50.0,0.39,-4.0,-0.9520286624908945
Charlotte Bobcats,33.0,49.0,0.402,-4.0,-0.9520286624908945
Milwaukee Bucks,28.0,54.0,0.341,-4.7,-1.118633678426801
Portland Trail Blazers,32.0,50.0,0.39,-4.8,-1.1424343949890732
Atlanta Hawks,30.0,52.0,0.366,-5.3,-1.261437977800435
Memphis Grizzlies,22.0,60.0,0.268,-5.4,-1.2852386943627077
League Average,,,,,
