Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
San Antonio Spurs,58.0,24.0,0.707317,1.528969,-0.670096,-1.225462,-0.477646,-1.628464,-0.309039,1.369325,-1.709645,0.462372,1.104438,1.56681
Dallas Mavericks,67.0,15.0,0.817073,0.790138,-0.885101,0.687109,0.404809,-1.240221,-0.040309,1.026177,0.688104,0.735474,0.588031,1.323505
Phoenix Suns,61.0,21.0,0.743902,3.376045,-0.885101,-1.862986,-1.318079,-0.269613,-0.846499,-0.49348,-1.522321,1.001384,0.025873,1.027257
Chicago Bulls,49.0,33.0,0.597561,-0.194969,0.512427,0.644607,-0.729776,-1.49905,2.646988,0.683028,0.201061,-0.186639,1.367813,1.181174
Houston Rockets,52.0,30.0,0.634146,0.174446,-0.670096,-0.587939,-1.107971,-1.952,-0.846499,2.0066,-0.623165,-0.046481,1.06397,1.017489
Detroit Pistons,53.0,29.0,0.646341,-0.502815,-2.39013,0.517103,-0.393603,-1.240221,0.094055,-0.983692,-0.473306,0.440787,0.39386,0.834647
Cleveland Cavaliers,50.0,32.0,0.609756,-0.749092,-0.885101,1.112125,-0.981906,-1.0461,0.631515,1.418346,-0.136122,-0.003222,0.880406,0.877184
Utah Jazz,51.0,31.0,0.621951,0.359154,0.297422,1.962156,1.539393,-0.010785,0.22842,1.075198,2.52388,0.692646,-0.102123,0.590523
Denver Nuggets,45.0,37.0,0.54878,0.297584,0.404925,0.772112,0.909069,0.183337,0.362785,-0.542501,-1.634715,0.308585,0.154068,0.462653
Toronto Raptors,47.0,35.0,0.573171,0.482292,-1.315109,-2.075494,-0.30956,0.442166,0.094055,0.781071,-1.035278,0.060161,0.158153,0.218314
Orlando Magic,40.0,42.0,0.487805,0.236015,2.23246,0.942118,1.245242,-1.0461,0.49715,0.388901,1.474865,-0.088499,0.399278,0.310779
Los Angeles Lakers,42.0,40.0,0.512195,0.913277,0.082418,-0.417932,0.110657,0.248044,-0.980863,-0.297395,0.575709,0.277718,-0.490269,-0.212551
Golden State Warriors,42.0,40.0,0.512195,0.974846,-0.132586,-0.63044,-1.318079,0.636287,2.512623,-1.620967,0.650639,0.099285,-0.048148,0.051137
Washington Wizards,41.0,41.0,0.5,-0.318108,-1.745117,0.432099,1.077155,1.348066,0.22842,-0.93467,0.088667,0.557029,-0.682355,-0.125326
Los Angeles Clippers,40.0,42.0,0.487805,-0.9338,0.297422,0.049585,1.413328,-0.528442,-1.249593,0.879113,0.088667,-0.225959,0.061501,-0.164458
New Jersey Nets,41.0,41.0,0.5,0.482292,-0.025084,-1.055456,-0.05743,-0.399028,-0.712134,0.73205,0.725569,-0.020518,0.019152,-0.001366
Miami Heat,44.0,38.0,0.536585,0.605431,0.082418,-0.927951,-1.023928,-0.722564,-0.577769,0.192817,-0.548235,-0.117611,0.265382,0.147771
New Orleans/Oklahoma City Hornets,39.0,43.0,0.47561,-1.056938,-0.670096,0.857115,-1.318079,0.183337,-1.383958,0.879113,-1.297532,-0.28154,-0.048872,-0.330412
Sacramento Kings,33.0,49.0,0.402439,-0.318108,-0.777599,-1.69298,1.791523,1.089238,0.900244,-0.199353,-0.248517,-0.002711,-0.213227,-0.215938
Indiana Pacers,35.0,47.0,0.426829,-1.364784,0.942435,0.559604,-0.015408,-0.33432,0.76588,-0.10131,0.912893,-0.671913,0.168002,-0.503911
Seattle SuperSonics,31.0,51.0,0.378049,0.174446,0.297422,0.304595,-0.771798,1.218652,-0.174674,-0.983692,-0.136122,-0.059428,-0.707449,-0.766877
New York Knicks,33.0,49.0,0.402439,-0.1334,1.802452,1.664645,0.993112,0.506873,-1.652688,0.535965,-0.023728,-0.022077,-0.505169,-0.527246
Philadelphia 76ers,35.0,47.0,0.426829,-0.995369,0.404925,0.049585,0.362787,0.312751,0.631515,-1.032713,-0.960348,-0.435044,-0.029712,-0.464756
Boston Celtics,24.0,58.0,0.292683,-1.056938,1.264941,-0.035418,0.530874,0.377459,0.362785,0.437923,1.250076,-0.666463,-0.160214,-0.826677
Minnesota Timberwolves,32.0,50.0,0.390244,-0.379677,0.619929,-0.842948,-0.645733,0.11863,-1.249593,-0.395438,-0.773024,-0.572303,-0.322984,-0.895287
Charlotte Bobcats,33.0,49.0,0.402439,-0.995369,-0.34759,-0.290427,-0.435625,0.248044,0.631515,-0.640543,1.212611,-0.434679,-0.251339,-0.686018
Milwaukee Bucks,28.0,54.0,0.341463,0.482292,-0.132586,0.219592,-1.570209,1.671602,0.362785,-2.356285,-0.473306,0.03445,-0.978206,-0.943756
Portland Trail Blazers,32.0,50.0,0.390244,-0.810661,0.297422,0.474601,-0.225516,0.765702,-0.980863,0.045753,0.763034,-0.337527,-0.656801,-0.994328
Atlanta Hawks,30.0,52.0,0.365854,-1.549492,0.942435,0.899617,0.69896,0.442166,0.362785,-0.983692,0.800498,-0.570638,-0.402983,-0.973621
Memphis Grizzlies,22.0,60.0,0.268293,0.482292,1.049937,-0.502935,1.623437,2.124553,-0.309039,-0.885649,-0.360911,0.073361,-1.050074,-0.976713
