Team,W,L,W/L%,SRS_norm
Boston Celtics,56,26,0.683,1.0616152952606124
New York Knicks,42,40,0.512,0.10550214114391179
Philadelphia 76ers,41,41,0.5,0.2219940886569811
New Jersey Nets,24,58,0.293,-1.3803196799661794
Toronto Raptors,22,60,0.268,-1.3803196799661794
Chicago Bulls,62,20,0.756,1.4352687118119667
Indiana Pacers,37,45,0.451,-0.3033186557887464
Milwaukee Bucks,35,47,0.427,-0.22419204993081257
Detroit Pistons,30,52,0.366,-0.8308293615083053
Cleveland Cavaliers,19,63,0.232,-1.9517896111623685
Miami Heat,58,24,0.707,1.485821821110091
Orlando Magic,52,30,0.634,1.081396946725096
Atlanta Hawks,44,38,0.537,-0.24177574012146455
Charlotte Bobcats,34,48,0.415,-0.8967681997232503
Washington Wizards,23,59,0.28,-1.604511729896992
Oklahoma City Thunder,55,27,0.671,0.8374232453298
Denver Nuggets,50,32,0.61,1.0572193727129493
Portland Trail Blazers,48,34,0.585,0.40662283565882673
Utah Jazz,39,43,0.476,-0.3165064234317354
Minnesota Timberwolves,17,65,0.207,-1.312182880477403
Los Angeles Lakers,57,25,0.695,1.3209747255727289
Phoenix Suns,40,42,0.488,-0.10110621859624881
Golden State Warriors,36,46,0.439,-0.43959225476629915
Los Angeles Clippers,32,50,0.39,-0.5956475052083353
Sacramento Kings,24,58,0.293,-1.0550214114391179
San Antonio Spurs,61,21,0.744,1.2880053064652566
Dallas Mavericks,57,25,0.695,0.9693009217596896
New Orleans Hornets,46,36,0.561,0.28133904305043145
Memphis Grizzlies,46,36,0.561,0.5604801248270314
Houston Rockets,43,39,0.524,0.5209168218980645
