Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Miami Heat,1.369319,58.0,24.0,0.707,1.6121523723368751,1.485821821110091
Chicago Bulls,1.538252,62.0,20.0,0.756,1.572831582767683,1.4352687118119667
Los Angeles Lakers,1.2606,57.0,25.0,0.695,1.3172464505679349,1.3209747255727289
San Antonio Spurs,1.077655,61.0,21.0,0.744,1.2189444766449544,1.2880053064652566
Boston Celtics,0.835983,56.0,26.0,0.683,1.1599632922911665,1.0616152952606124
Orlando Magic,1.162781,52.0,30.0,0.634,1.1599632922911665,1.081396946725096
Denver Nuggets,0.837877,50.0,32.0,0.61,0.983019739229802,1.0572193727129493
Dallas Mavericks,0.736077,57.0,25.0,0.695,0.9240385548760138,0.9693009217596896
Oklahoma City Thunder,0.694335,55.0,27.0,0.671,0.7864157913838415,0.8374232453298
Memphis Grizzlies,0.563615,46.0,36.0,0.561,0.491509869614901,0.5604801248270314
Houston Rockets,0.330308,43.0,39.0,0.524,0.4521890800457088,0.5209168218980645
Portland Trail Blazers,0.273088,48.0,34.0,0.585,0.3342267113381326,0.4066228356588267
Philadelphia 76ers,0.360102,41.0,41.0,0.5,0.3145663165535366,0.2219940886569811
New Orleans Hornets,0.496261,46.0,36.0,0.561,0.1966039478459604,0.2813390430504314
New York Knicks,0.017905,42.0,40.0,0.512,0.1572831582767683,0.1055021411439117
Milwaukee Bucks,0.041555,35.0,47.0,0.427,-0.1769435530613643,-0.2241920499308125
Phoenix Suns,-0.264647,40.0,42.0,0.488,-0.1769435530613643,-0.1011062185962488
Atlanta Hawks,-0.336293,44.0,38.0,0.537,-0.1769435530613643,-0.2417757401214645
Indiana Pacers,-0.406045,37.0,45.0,0.451,-0.2359247374151524,-0.3033186557887464
Utah Jazz,-0.539845,39.0,43.0,0.476,-0.3932078956919208,-0.3165064234317354
Golden State Warriors,-0.661919,36.0,46.0,0.439,-0.491509869614901,-0.4395922547662991
Los Angeles Clippers,-0.784252,32.0,50.0,0.39,-0.6684534226762653,-0.5956475052083353
Detroit Pistons,-0.632614,30.0,52.0,0.366,-0.7864157913838415,-0.8308293615083053
Charlotte Bobcats,-0.606974,34.0,48.0,0.415,-0.8650573705222258,-0.8967681997232503
Sacramento Kings,-0.840198,24.0,58.0,0.293,-1.081321713152782,-1.055021411439118
New Jersey Nets,-1.237186,24.0,58.0,0.293,-1.3369068453525306,-1.3803196799661794
Toronto Raptors,-1.194865,22.0,60.0,0.268,-1.3369068453525306,-1.3803196799661794
Minnesota Timberwolves,-1.317332,17.0,65.0,0.207,-1.3565672401371267,-1.312182880477403
Washington Wizards,-1.294553,23.0,59.0,0.28,-1.533510793198491,-1.604511729896992
Cleveland Cavaliers,-1.478989,19.0,63.0,0.232,-1.88739789932122,-1.9517896111623685
