Team,W,L,W/L%,NRtg,NRtg_norm
Miami Heat,58.0,24.0,0.707,8.2,1.6121523723368751
Chicago Bulls,62.0,20.0,0.756,8.0,1.572831582767683
Los Angeles Lakers,57.0,25.0,0.695,6.7,1.3172464505679347
San Antonio Spurs,61.0,21.0,0.744,6.2,1.2189444766449544
Boston Celtics,56.0,26.0,0.683,5.9,1.1599632922911665
Orlando Magic,52.0,30.0,0.634,5.9,1.1599632922911665
Denver Nuggets,50.0,32.0,0.61,5.0,0.983019739229802
Dallas Mavericks,57.0,25.0,0.695,4.7,0.9240385548760138
Oklahoma City Thunder,55.0,27.0,0.671,4.0,0.7864157913838415
Memphis Grizzlies,46.0,36.0,0.561,2.5,0.491509869614901
Houston Rockets,43.0,39.0,0.524,2.3,0.45218908004570885
Portland Trail Blazers,48.0,34.0,0.585,1.7,0.33422671133813264
Philadelphia 76ers,41.0,41.0,0.5,1.6,0.3145663165535366
New Orleans Hornets,46.0,36.0,0.561,1.0,0.1966039478459604
New York Knicks,42.0,40.0,0.512,0.8,0.1572831582767683
Milwaukee Bucks,35.0,47.0,0.427,-0.9,-0.17694355306136436
Phoenix Suns,40.0,42.0,0.488,-0.9,-0.17694355306136436
Atlanta Hawks,44.0,38.0,0.537,-0.9,-0.17694355306136436
Indiana Pacers,37.0,45.0,0.451,-1.2,-0.23592473741515246
Utah Jazz,39.0,43.0,0.476,-2.0,-0.3932078956919208
Golden State Warriors,36.0,46.0,0.439,-2.5,-0.491509869614901
Los Angeles Clippers,32.0,50.0,0.39,-3.4,-0.6684534226762653
Detroit Pistons,30.0,52.0,0.366,-4.0,-0.7864157913838415
Charlotte Bobcats,34.0,48.0,0.415,-4.4,-0.8650573705222258
Sacramento Kings,24.0,58.0,0.293,-5.5,-1.0813217131527821
New Jersey Nets,24.0,58.0,0.293,-6.8,-1.3369068453525306
Toronto Raptors,22.0,60.0,0.268,-6.8,-1.3369068453525306
Minnesota Timberwolves,17.0,65.0,0.207,-6.9,-1.3565672401371267
Washington Wizards,23.0,59.0,0.28,-7.8,-1.533510793198491
Cleveland Cavaliers,19.0,63.0,0.232,-9.6,-1.8873978993212197
League Average,,,,,
