Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
San Antonio Spurs,62.0,20.0,0.756098,1.705133,-0.076175,-1.049377,-1.102158,-1.195755,-0.736936,1.193619,-1.496264,0.325898,0.757231,1.083129
Los Angeles Clippers,57.0,25.0,0.695122,1.180232,-1.091837,-0.181187,1.744745,-1.071198,0.236988,-1.197707,0.330011,0.970526,0.198683,1.169209
Oklahoma City Thunder,59.0,23.0,0.719512,0.893922,0.558614,0.385023,1.175364,-0.822082,0.334381,0.703091,0.281951,0.471225,0.510754,0.981979
Miami Heat,54.0,28.0,0.658537,2.516344,1.320361,-1.842073,0.524644,0.610333,2.184837,-0.891127,-0.150588,0.386729,0.146439,0.533168
Golden State Warriors,51.0,31.0,0.621951,0.750768,0.304699,-0.14344,-1.183498,-1.50715,0.042203,1.132303,0.426131,0.01792,0.775952,0.793872
Indiana Pacers,56.0,26.0,0.682927,-0.537626,0.939487,-0.218935,0.443303,-2.565892,-0.639544,1.438883,-0.871486,-0.427214,1.28497,0.857756
Houston Rockets,54.0,28.0,0.658537,1.418823,1.320361,0.72475,2.436135,-0.759803,-1.029113,-0.21665,-1.063725,0.747809,0.162872,0.910681
Portland Trail Blazers,54.0,28.0,0.658537,0.13043,-1.47271,0.951234,0.199283,-0.822082,-2.587392,0.151246,-1.015665,0.640489,-0.135416,0.505073
Toronto Raptors,48.0,34.0,0.585366,-0.15588,-0.457048,0.649255,0.972014,-0.510687,0.529166,0.273878,1.050909,0.327563,0.233706,0.561269
Phoenix Suns,48.0,34.0,0.585366,0.846204,0.558614,0.347276,0.280623,-0.32385,0.334381,-0.461914,1.050909,0.310377,-0.036884,0.273493
Minnesota Timberwolves,40.0,42.0,0.487805,-0.728499,-1.726626,0.72475,1.378714,1.046286,1.210913,-0.032702,-1.832683,0.492014,0.152576,0.64459
Dallas Mavericks,49.0,33.0,0.597561,1.180232,-1.091837,-0.332177,-0.573448,0.859449,1.210913,-1.075075,0.66643,0.592599,-0.356031,0.236568
Chicago Bulls,48.0,34.0,0.585366,-1.444273,0.81253,0.649255,0.443303,-1.880824,0.139596,0.580459,-1.255965,-0.584495,1.091715,0.50722
Memphis Grizzlies,50.0,32.0,0.609756,-0.346753,-0.584006,1.064476,-1.264838,-0.261571,0.236988,0.764407,-0.775366,0.03047,0.433062,0.463532
Washington Wizards,44.0,38.0,0.536585,0.225867,0.050783,-0.105693,-1.386848,0.174381,1.405698,0.764407,0.233891,-0.151515,0.39947,0.247955
Charlotte Bobcats,43.0,39.0,0.52439,-0.96709,-2.361414,-1.351357,0.158613,-0.635245,-0.931721,1.929412,-1.544324,-0.042962,0.638699,0.595737
Atlanta Hawks,38.0,44.0,0.463415,0.655331,0.939487,-1.691083,-0.288757,0.548055,0.431773,-0.032702,-0.919545,-0.354269,0.020113,-0.334156
New York Knicks,37.0,45.0,0.45122,0.178148,-1.345752,-0.14344,-1.061488,0.79717,0.431773,-0.094018,1.435388,0.219786,-0.445037,-0.225251
Brooklyn Nets,44.0,38.0,0.536585,0.607613,0.685572,-1.426851,0.850004,0.485776,1.308305,-1.320339,1.002849,-0.086217,-0.281729,-0.367946
Denver Nuggets,36.0,46.0,0.439024,-0.203598,0.558614,0.762497,0.280623,-0.074735,-0.736936,0.028614,0.85867,-0.0265,-0.277418,-0.303918
New Orleans Pelicans,34.0,48.0,0.414634,-0.299035,-0.837921,0.536013,0.199283,0.859449,0.042203,-0.400598,1.627628,0.226961,-0.657493,-0.430532
Sacramento Kings,28.0,54.0,0.341463,-0.823936,0.431656,0.875739,1.460054,0.672612,-0.834329,1.316251,0.90673,-0.043333,-0.350386,-0.393719
Cleveland Cavaliers,33.0,49.0,0.402439,-1.062527,-0.710963,0.649255,-0.573448,0.423497,-0.542151,0.825723,-0.775366,-0.203436,-0.023487,-0.226923
Detroit Pistons,29.0,53.0,0.353659,-0.919372,-0.837921,2.234645,-0.654788,1.170844,0.236988,-0.645862,0.137772,0.190442,-0.558929,-0.368487
Boston Celtics,25.0,57.0,0.304878,-1.157964,0.81253,0.72475,-0.898808,0.23666,-0.152581,-0.155334,0.57031,-0.656189,-0.249423,-0.905612
Orlando Magic,23.0,59.0,0.280488,-0.680781,0.431656,-1.16262,-0.898808,0.174381,-0.542151,0.641775,-0.198647,-0.747572,-0.047138,-0.79471
Los Angeles Lakers,27.0,55.0,0.329268,0.178148,0.177741,-1.993062,-0.654788,0.734891,-1.126506,-2.117448,-1.111785,-0.470007,-0.832305,-1.302312
Utah Jazz,25.0,57.0,0.304878,-0.823936,0.431656,0.007549,-0.532778,1.046286,-1.418683,0.028614,0.57031,-0.515895,-0.853009,-1.368904
Milwaukee Bucks,15.0,67.0,0.182927,-1.062527,0.685572,0.611508,-0.451437,1.170844,-0.347366,-1.872184,0.474191,-0.541818,-1.000745,-1.542563
Philadelphia 76ers,19.0,63.0,0.231707,-1.2534,1.574276,-0.256682,-1.020818,1.41996,1.308305,-1.259023,1.387328,-1.099388,-0.700812,-1.8002
