Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Utah Jazz,1.64893,52.0,20.0,0.722,1.87530589669486,1.8872786162650328
Los Angeles Clippers,0.914463,47.0,25.0,0.653,1.2905330901986134,1.2666017023317169
Phoenix Suns,0.677367,51.0,21.0,0.708,1.1897101925268467,1.1929620684752216
Milwaukee Bucks,1.051884,46.0,26.0,0.639,1.1695456129924933,1.1719221730876517
Philadelphia 76ers,1.272556,49.0,23.0,0.681,1.1292164539237866,1.1109064764636984
Denver Nuggets,0.587533,47.0,25.0,0.653,1.0082289767176666,1.0141229576808763
Brooklyn Nets,0.731697,48.0,24.0,0.667,0.9074060790459,0.89209156443297
Los Angeles Lakers,0.824162,42.0,30.0,0.583,0.5646082269618933,0.5828051022356903
Dallas Mavericks,0.280044,42.0,30.0,0.583,0.4839499088244799,0.475501635759083
New York Knicks,0.608015,41.0,31.0,0.569,0.4839499088244799,0.4481497717552419
Atlanta Hawks,0.646219,41.0,31.0,0.569,0.4839499088244799,0.450253761293999
Portland Trail Blazers,0.090551,42.0,30.0,0.583,0.36296243161836,0.3808221065150178
Boston Celtics,0.127428,36.0,36.0,0.5,0.3024686930153,0.2777266191159246
Golden State Warriors,-0.209816,39.0,33.0,0.542,0.2016457953435333,0.2314388492632705
Memphis Grizzlies,0.4043,38.0,34.0,0.528,0.2016457953435333,0.2251268806469995
Miami Heat,0.074036,40.0,32.0,0.556,0.0,-0.012623937232542
Indiana Pacers,-0.324182,34.0,38.0,0.472,0.0,-0.027351864003841
New Orleans Pelicans,0.426233,31.0,41.0,0.431,-0.0604937386030599,-0.0420797907751401
Toronto Raptors,-0.383271,27.0,45.0,0.375,-0.1008228976717666,-0.1136154350928782
Chicago Bulls,-0.317589,31.0,41.0,0.431,-0.18148121580918,-0.1977750166431584
San Antonio Spurs,-0.289178,33.0,39.0,0.458,-0.36296243161836,-0.3324303471236067
Washington Wizards,-0.179291,34.0,38.0,0.472,-0.36296243161836,-0.3892380646700458
Charlotte Hornets,-0.552901,33.0,39.0,0.458,-0.3831270111527133,-0.4081739705188589
Sacramento Kings,-0.980786,31.0,41.0,0.431,-0.72592486323672,-0.7258763908711666
Detroit Pistons,-0.752796,20.0,52.0,0.278,-0.9074060790459,-0.921547417975568
Minnesota Timberwolves,-0.910741,23.0,49.0,0.319,-1.109051874389433,-1.1045945078474273
Houston Rockets,-1.389663,17.0,55.0,0.236,-1.57283720367956,-1.5779921540677535
Cleveland Cavaliers,-1.333435,22.0,50.0,0.306,-1.7341538399543863,-1.7231674322419863
Orlando Magic,-1.144338,21.0,51.0,0.292,-1.8954704762292127,-1.897798563958818
Oklahoma City Thunder,-1.597435,22.0,50.0,0.306,-2.1172808511071,-2.131341402760846
