Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers,49,23,.681,1.5,113.6,108.1,5.28
Brooklyn Nets,48,24,.667,2.0,118.6,114.1,4.24
Milwaukee Bucks,46,26,.639,3.0,120.1,114.2,5.57
New York Knicks,41,31,.569,5.5,107.0,104.7,2.13
Atlanta Hawks,41,31,.569,5.5,113.7,111.4,2.14
Miami Heat,40,32,.556,6.0,108.1,108.0,-0.06
Boston Celtics,36,36,.500,8.0,112.6,111.2,1.32
Washington Wizards,34,38,.472,9.0,116.6,118.5,-1.85
Indiana Pacers,34,38,.472,9.0,115.3,115.3,-0.13
Charlotte Hornets,33,39,.458,9.5,109.5,111.4,-1.94
Chicago Bulls,31,41,.431,10.5,110.7,111.6,-0.94
Toronto Raptors,27,45,.375,12.5,111.3,111.7,-0.54
Cleveland Cavaliers,22,50,.306,15.0,103.8,112.3,-8.19
Orlando Magic,21,51,.292,15.5,104.0,113.3,-9.02
Detroit Pistons,20,52,.278,16.0,106.6,111.1,-4.38
Utah Jazz,52,20,.722,0.0,116.4,107.2,8.97
Phoenix Suns,51,21,.708,0.5,115.3,109.5,5.67
Denver Nuggets,47,25,.653,2.5,115.1,110.1,4.82
Los Angeles Clippers,47,25,.653,2.5,114.0,107.8,6.02
Dallas Mavericks,42,30,.583,5.0,112.4,110.2,2.26
Portland Trail Blazers,42,30,.583,5.0,116.1,114.3,1.81
Los Angeles Lakers,42,30,.583,5.0,109.5,106.8,2.77
Golden State Warriors,39,33,.542,6.5,113.7,112.7,1.10
Memphis Grizzlies,38,34,.528,7.0,113.3,112.3,1.07
San Antonio Spurs,33,39,.458,9.5,111.1,112.8,-1.58
New Orleans Pelicans,31,41,.431,10.5,114.6,114.9,-0.20
Sacramento Kings,31,41,.431,10.5,113.7,117.4,-3.45
Minnesota Timberwolves,23,49,.319,14.5,112.1,117.7,-5.25
Oklahoma City Thunder,22,50,.306,15.0,105.0,115.6,-10.13
Houston Rockets,17,55,.236,17.5,108.8,116.7,-7.50
