Team,W,L,W/L%,SRS_norm
Philadelphia 76ers,49,23,0.681,1.1109064764636984
Brooklyn Nets,48,24,0.667,0.89209156443297
Milwaukee Bucks,46,26,0.639,1.1719221730876517
New York Knicks,41,31,0.569,0.44814977175524195
Atlanta Hawks,41,31,0.569,0.450253761293999
Miami Heat,40,32,0.556,-0.012623937232542027
Boston Celtics,36,36,0.5,0.2777266191159246
Washington Wizards,34,38,0.472,-0.38923806467004585
Indiana Pacers,34,38,0.472,-0.02735186400384106
Charlotte Hornets,33,39,0.458,-0.4081739705188589
Chicago Bulls,31,41,0.431,-0.1977750166431584
Toronto Raptors,27,45,0.375,-0.11361543509287825
Cleveland Cavaliers,22,50,0.306,-1.7231674322419865
Orlando Magic,21,51,0.292,-1.897798563958818
Detroit Pistons,20,52,0.278,-0.9215474179755679
Utah Jazz,52,20,0.722,1.8872786162650332
Phoenix Suns,51,21,0.708,1.1929620684752216
Denver Nuggets,47,25,0.653,1.0141229576808763
Los Angeles Clippers,47,25,0.653,1.2666017023317167
Dallas Mavericks,42,30,0.583,0.475501635759083
Portland Trail Blazers,42,30,0.583,0.38082210651501786
Los Angeles Lakers,42,30,0.583,0.5828051022356903
Golden State Warriors,39,33,0.542,0.23143884926327052
Memphis Grizzlies,38,34,0.528,0.2251268806469995
San Antonio Spurs,33,39,0.458,-0.33243034712360675
New Orleans Pelicans,31,41,0.431,-0.0420797907751401
Sacramento Kings,31,41,0.431,-0.7258763908711666
Minnesota Timberwolves,23,49,0.319,-1.1045945078474273
Oklahoma City Thunder,22,50,0.306,-2.131341402760846
Houston Rockets,17,55,0.236,-1.5779921540677535
