Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Milwaukee Bucks,1.611535,60.0,22.0,0.732,1.768461660917355,1.7090632914919848
Golden State Warriors,1.064847,57.0,25.0,0.695,1.3160644918454734,1.3646997924600175
Toronto Raptors,1.062054,58.0,24.0,0.707,1.2338104611051313,1.167009635608333
Utah Jazz,1.107064,50.0,32.0,0.61,1.069302399624447,1.122369922770856
Houston Rockets,0.583158,53.0,29.0,0.646,0.987048368884105,1.0543475032089855
Boston Celtics,0.754564,49.0,33.0,0.598,0.904794338143763,0.8290232384102911
Portland Trail Blazers,0.675935,53.0,29.0,0.646,0.8636673227735919,0.9416853708096384
Denver Nuggets,0.665269,54.0,28.0,0.659,0.8431038150885063,0.890668556138236
Indiana Pacers,0.609986,48.0,34.0,0.585,0.6991592612929077,0.5866933687211291
Oklahoma City Thunder,0.833777,49.0,33.0,0.598,0.6785957536078221,0.7567494176258043
Philadelphia 76ers,0.651361,51.0,31.0,0.622,0.5346511998122235,0.4782826375443987
San Antonio Spurs,0.515459,48.0,34.0,0.585,0.3495796306464538,0.382626110035519
Los Angeles Clippers,0.066753,48.0,34.0,0.585,0.1850715691657697,0.2317013666326198
Orlando Magic,0.185817,42.0,40.0,0.512,0.1645080614806841,0.0595196171166362
Brooklyn Nets,0.021028,42.0,40.0,0.512,-0.0205635076850855,-0.0850280244523375
Detroit Pistons,-0.058524,41.0,41.0,0.5,-0.041127015370171,-0.1190392342332725
Miami Heat,0.05404,39.0,43.0,0.476,-0.0616905230552565,-0.0956565275088797
Sacramento Kings,-0.044855,39.0,43.0,0.476,-0.2261985845359407,-0.1721817495159835
Charlotte Hornets,-0.158238,39.0,43.0,0.476,-0.2261985845359407,-0.280592480692714
New Orleans Pelicans,-0.255155,33.0,49.0,0.402,-0.2467620922210262,-0.2338270672439283
Dallas Mavericks,-0.153164,33.0,49.0,0.402,-0.2673255999061117,-0.1849359531838341
Minnesota Timberwolves,-0.189528,36.0,46.0,0.439,-0.3084526152762828,-0.2168214623534607
Los Angeles Lakers,-0.301385,37.0,45.0,0.451,-0.3495796306464538,-0.2827181813040224
Memphis Grizzlies,-0.56522,33.0,49.0,0.402,-0.5552147074973091,-0.4421457271521553
Washington Wizards,-0.59085,32.0,50.0,0.39,-0.5757782151823946,-0.7014812017317849
Atlanta Hawks,-1.295099,29.0,53.0,0.354,-1.1926834457349602,-1.288174570452914
Chicago Bulls,-1.56367,22.0,60.0,0.268,-1.727334645547184,-1.768582908608621
New York Knicks,-1.506889,17.0,65.0,0.207,-1.891842707027868,-1.898250645898436
Phoenix Suns,-2.088366,19.0,63.0,0.232,-1.891842707027868,-1.830228226336566
Cleveland Cavaliers,-1.691702,19.0,63.0,0.232,-2.0357872608234664,-1.9960328740186244
