Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Milwaukee Bucks,60,22,.732,0.0,118.1,109.3,8.04
Toronto Raptors,58,24,.707,1.0,114.4,108.4,5.49
Philadelphia 76ers,51,31,.622,4.5,115.2,112.5,2.25
Boston Celtics,49,33,.598,5.5,112.4,108.0,3.90
Indiana Pacers,48,34,.585,6.0,108.0,104.7,2.76
Orlando Magic,42,40,.512,9.0,107.3,106.6,0.28
Brooklyn Nets,42,40,.512,9.0,112.2,112.3,-0.40
Detroit Pistons,41,41,.500,9.5,107.0,107.3,-0.56
Charlotte Hornets,39,43,.476,10.5,110.7,111.8,-1.32
Miami Heat,39,43,.476,10.5,105.7,105.9,-0.45
Washington Wizards,32,50,.390,14.0,114.0,116.9,-3.30
Atlanta Hawks,29,53,.354,15.5,113.3,119.4,-6.06
Chicago Bulls,22,60,.268,19.0,104.9,113.4,-8.32
Cleveland Cavaliers,19,63,.232,20.5,104.5,114.1,-9.39
New York Knicks,17,65,.207,21.5,104.6,113.8,-8.93
Golden State Warriors,57,25,.695,1.5,117.7,111.2,6.42
Denver Nuggets,54,28,.659,3.0,110.7,106.7,4.19
Houston Rockets,53,29,.646,3.5,113.9,109.1,4.96
Portland Trail Blazers,53,29,.646,3.5,114.7,110.5,4.43
Utah Jazz,50,32,.610,5.0,111.7,106.5,5.28
Oklahoma City Thunder,49,33,.598,5.5,114.5,111.1,3.56
San Antonio Spurs,48,34,.585,6.0,111.7,110.0,1.80
Los Angeles Clippers,48,34,.585,6.0,115.1,114.3,1.09
Sacramento Kings,39,43,.476,10.5,114.2,115.3,-0.81
Los Angeles Lakers,37,45,.451,11.5,111.8,113.5,-1.33
Minnesota Timberwolves,36,46,.439,12.0,112.5,114.0,-1.02
Memphis Grizzlies,33,49,.402,13.5,103.5,106.1,-2.08
New Orleans Pelicans,33,49,.402,13.5,115.4,116.8,-1.10
Dallas Mavericks,33,49,.402,13.5,108.9,110.1,-0.87
Phoenix Suns,19,63,.232,20.5,107.5,116.8,-8.61
