Team,W,L,W/L%,NRtg,NRtg_norm
Milwaukee Bucks,60.0,22.0,0.732,8.6,1.7684616609173547
Golden State Warriors,57.0,25.0,0.695,6.4,1.3160644918454734
Toronto Raptors,58.0,24.0,0.707,6.0,1.2338104611051313
Utah Jazz,50.0,32.0,0.61,5.2,1.069302399624447
Houston Rockets,53.0,29.0,0.646,4.8,0.987048368884105
Boston Celtics,49.0,33.0,0.598,4.4,0.904794338143763
Portland Trail Blazers,53.0,29.0,0.646,4.2,0.8636673227735919
Denver Nuggets,54.0,28.0,0.659,4.1,0.8431038150885063
Indiana Pacers,48.0,34.0,0.585,3.4,0.6991592612929077
Oklahoma City Thunder,49.0,33.0,0.598,3.3,0.6785957536078221
Philadelphia 76ers,51.0,31.0,0.622,2.6,0.5346511998122235
San Antonio Spurs,48.0,34.0,0.585,1.7,0.34957963064645386
Los Angeles Clippers,48.0,34.0,0.585,0.9,0.1850715691657697
Orlando Magic,42.0,40.0,0.512,0.8,0.16450806148068417
Brooklyn Nets,42.0,40.0,0.512,-0.1,-0.02056350768508552
Detroit Pistons,41.0,41.0,0.5,-0.2,-0.04112701537017104
Miami Heat,39.0,43.0,0.476,-0.3,-0.06169052305525656
Sacramento Kings,39.0,43.0,0.476,-1.1,-0.22619858453594074
Charlotte Hornets,39.0,43.0,0.476,-1.1,-0.22619858453594074
New Orleans Pelicans,33.0,49.0,0.402,-1.2,-0.24676209222102624
Dallas Mavericks,33.0,49.0,0.402,-1.3,-0.26732559990611177
Minnesota Timberwolves,36.0,46.0,0.439,-1.5,-0.3084526152762828
Los Angeles Lakers,37.0,45.0,0.451,-1.7,-0.34957963064645386
Memphis Grizzlies,33.0,49.0,0.402,-2.7,-0.5552147074973091
Washington Wizards,32.0,50.0,0.39,-2.8,-0.5757782151823946
Atlanta Hawks,29.0,53.0,0.354,-5.8,-1.1926834457349602
Chicago Bulls,22.0,60.0,0.268,-8.4,-1.7273346455471839
New York Knicks,17.0,65.0,0.207,-9.2,-1.8918427070278678
Phoenix Suns,19.0,63.0,0.232,-9.2,-1.8918427070278678
Cleveland Cavaliers,19.0,63.0,0.232,-9.9,-2.0357872608234664
League Average,,,,,
