Team,W,L,W/L%,SRS_norm
Milwaukee Bucks,60,22,0.732,1.7090632914919848
Toronto Raptors,58,24,0.707,1.167009635608333
Philadelphia 76ers,51,31,0.622,0.47828263754439876
Boston Celtics,49,33,0.598,0.8290232384102911
Indiana Pacers,48,34,0.585,0.5866933687211291
Orlando Magic,42,40,0.512,0.059519617116636295
Brooklyn Nets,42,40,0.512,-0.08502802445233756
Detroit Pistons,41,41,0.5,-0.11903923423327259
Charlotte Hornets,39,43,0.476,-0.280592480692714
Miami Heat,39,43,0.476,-0.09565652750887975
Washington Wizards,32,50,0.39,-0.7014812017317849
Atlanta Hawks,29,53,0.354,-1.288174570452914
Chicago Bulls,22,60,0.268,-1.7685829086086213
Cleveland Cavaliers,19,63,0.232,-1.9960328740186244
New York Knicks,17,65,0.207,-1.8982506458984358
Golden State Warriors,57,25,0.695,1.3646997924600177
Denver Nuggets,54,28,0.659,0.890668556138236
Houston Rockets,53,29,0.646,1.0543475032089857
Portland Trail Blazers,53,29,0.646,0.9416853708096384
Utah Jazz,50,32,0.61,1.122369922770856
Oklahoma City Thunder,49,33,0.598,0.7567494176258043
San Antonio Spurs,48,34,0.585,0.382626110035519
Los Angeles Clippers,48,34,0.585,0.23170136663261987
Sacramento Kings,39,43,0.476,-0.17218174951598356
Los Angeles Lakers,37,45,0.451,-0.2827181813040224
Minnesota Timberwolves,36,46,0.439,-0.21682146235346078
Memphis Grizzlies,33,49,0.402,-0.44214572715215533
New Orleans Pelicans,33,49,0.402,-0.2338270672439283
Dallas Mavericks,33,49,0.402,-0.18493595318383418
Phoenix Suns,19,63,0.232,-1.830228226336566
