Team,W,L,W/L%,NRtg,NRtg_norm
Houston Rockets,65.0,17.0,0.793,8.6,1.8941570445430358
Toronto Raptors,59.0,23.0,0.72,7.9,1.7399814711499981
Golden State Warriors,58.0,24.0,0.707,5.9,1.2994798328841757
Utah Jazz,48.0,34.0,0.585,4.5,0.9911286860981001
Philadelphia 76ers,52.0,30.0,0.634,4.5,0.9911286860981001
Boston Celtics,55.0,27.0,0.671,3.7,0.8149280307917712
Oklahoma City Thunder,48.0,34.0,0.585,3.5,0.770877866965189
San Antonio Spurs,47.0,35.0,0.573,3.1,0.6827775393120246
Portland Trail Blazers,49.0,33.0,0.598,2.7,0.5946772116588601
Minnesota Timberwolves,47.0,35.0,0.573,2.3,0.5065768840056956
Denver Nuggets,46.0,36.0,0.561,1.5,0.3303762286993667
Indiana Pacers,48.0,34.0,0.585,1.4,0.30835114678607556
New Orleans Pelicans,48.0,34.0,0.585,1.3,0.2863260648727845
Cleveland Cavaliers,50.0,32.0,0.61,1.0,0.22025081913291114
Washington Wizards,43.0,39.0,0.524,0.6,0.13215049147974667
Miami Heat,44.0,38.0,0.537,0.5,0.11012540956645557
Charlotte Hornets,36.0,46.0,0.439,0.3,0.06607524573987333
Los Angeles Clippers,42.0,40.0,0.512,0.1,0.022025081913291115
Detroit Pistons,39.0,43.0,0.476,-0.1,-0.022025081913291115
Milwaukee Bucks,44.0,38.0,0.537,-0.3,-0.06607524573987333
Los Angeles Lakers,35.0,47.0,0.427,-1.5,-0.3303762286993667
Dallas Mavericks,24.0,58.0,0.293,-3.2,-0.7048026212253157
New York Knicks,29.0,53.0,0.354,-3.6,-0.7929029488784801
Brooklyn Nets,28.0,54.0,0.341,-3.7,-0.8149280307917712
Orlando Magic,25.0,57.0,0.305,-4.9,-1.0792290137512646
Atlanta Hawks,24.0,58.0,0.293,-5.6,-1.2334045871443022
Memphis Grizzlies,22.0,60.0,0.268,-6.5,-1.4316303243639223
Chicago Bulls,27.0,55.0,0.329,-7.1,-1.563780815843669
Sacramento Kings,27.0,55.0,0.329,-7.4,-1.6298560615835425
Phoenix Suns,21.0,61.0,0.256,-9.4,-2.0703576998493647
League Average,,,,,
