Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Houston Rockets,65.0,17.0,0.792683,1.757336,-0.336929,-0.516598,1.873609,-0.016263,0.49556,1.555641,-1.115119,0.964888,0.608791,1.573679
Toronto Raptors,59.0,23.0,0.719512,1.048097,-1.058919,0.338808,0.221813,-1.41027,0.015986,0.011697,0.928989,0.785002,0.431096,1.216098
Golden State Warriors,58.0,24.0,0.707317,2.821194,1.347716,-0.667551,0.08023,-1.201169,-0.463588,-0.970813,-0.367275,0.670073,0.225499,0.895572
Utah Jazz,48.0,34.0,0.585366,0.338858,0.866389,-0.415962,0.410589,-1.061768,1.214921,1.485462,-0.16785,-0.102658,1.050707,0.948049
Philadelphia 76ers,52.0,30.0,0.634146,0.811684,1.949374,1.49612,0.221813,-2.037573,-0.463588,0.64331,1.228127,0.169826,0.643575,0.813401
Boston Celtics,55.0,27.0,0.670732,-0.193071,0.024066,-0.415962,-0.250129,-1.828472,0.015986,0.502952,-0.117993,-0.203957,0.853675,0.649718
Oklahoma City Thunder,48.0,34.0,0.585366,-0.429483,-0.697924,2.703751,0.174618,0.262538,2.054176,-0.198841,-0.018281,0.569631,0.371503,0.941134
San Antonio Spurs,47.0,35.0,0.573171,-0.843206,-0.938588,0.691033,-0.202935,-0.992068,0.255773,0.64331,-1.164975,0.005131,0.764179,0.76931
Portland Trail Blazers,49.0,33.0,0.597561,-0.606793,-0.818256,0.489761,-0.061352,-1.270869,-1.54263,0.994207,-0.018281,0.050596,0.324274,0.37487
Minnesota Timberwolves,47.0,35.0,0.573171,0.102446,-1.901242,1.043259,1.496056,1.238343,1.095028,-0.900634,-0.217706,0.949349,-0.369051,0.580298
Denver Nuggets,46.0,36.0,0.560976,0.870787,0.505393,1.697392,0.221813,1.238343,-0.463588,-0.128662,-1.015407,0.594717,-0.484656,0.110061
Indiana Pacers,48.0,34.0,0.585366,0.220652,-0.818256,0.187854,-0.958042,0.401939,1.454708,-1.040993,-0.96555,0.186689,0.139535,0.326224
New Orleans Pelicans,48.0,34.0,0.585366,1.166303,0.385062,-1.170731,-0.4861,-0.573866,-0.583482,-0.690096,-0.915694,0.063195,0.083011,0.146206
Cleveland Cavaliers,50.0,32.0,0.609756,1.520923,-0.457261,-1.120413,0.97692,1.308043,-0.943163,-0.269021,-1.364401,0.64514,-0.608152,0.036988
Washington Wizards,43.0,39.0,0.52439,0.220652,0.385062,0.590397,0.127424,0.053437,0.735347,-0.409379,0.928989,0.129188,-0.058762,0.070426
Miami Heat,44.0,38.0,0.536585,-0.074864,0.385062,-0.415962,-0.958042,-0.992068,0.135879,0.924027,1.078558,-0.35311,0.453819,0.100709
Charlotte Hornets,36.0,46.0,0.439024,-0.784103,-1.901242,-0.063736,1.873609,0.75044,-0.703375,2.117075,-1.414257,0.429963,0.159534,0.589497
Los Angeles Clippers,42.0,40.0,0.512195,0.338858,0.26473,0.590397,1.354473,-0.085964,-0.463588,-1.111172,0.480282,0.390611,-0.375788,0.014823
Detroit Pistons,39.0,43.0,0.47561,-0.54769,-0.818256,0.187854,-1.146819,0.192838,0.855241,0.573131,-1.065263,-0.148964,0.411091,0.262127
Milwaukee Bucks,44.0,38.0,0.536585,0.575271,-0.096265,-0.969459,1.260085,0.471639,1.454708,-1.251531,1.327839,0.249296,-0.274461,-0.025165
Los Angeles Lakers,35.0,47.0,0.426829,-0.252174,0.98672,0.640715,-0.250129,-0.504166,-0.583482,0.011697,-0.16785,-0.256926,0.083313,-0.173613
Dallas Mavericks,24.0,58.0,0.292683,-0.488587,-1.78091,-2.17709,-1.288401,0.75044,-0.223801,0.853848,-0.018281,-0.378885,-0.182614,-0.561499
New York Knicks,29.0,53.0,0.353659,-0.665896,0.385062,0.892305,-1.099625,0.053437,-1.063056,-0.690096,0.729564,-0.349107,-0.534593,-0.8837
Brooklyn Nets,28.0,54.0,0.341463,-0.429483,0.746057,-0.667551,0.363395,-0.295065,-2.381885,-0.479558,0.38057,-0.437308,-0.630442,-1.06775
Orlando Magic,25.0,57.0,0.304878,-0.54769,0.385062,-1.170731,-0.627683,0.262538,-0.223801,-1.462068,-0.317418,-0.64364,-0.405766,-1.049406
Atlanta Hawks,24.0,58.0,0.292683,-0.54769,1.347716,-0.617234,-0.391712,1.029242,0.735347,-1.040993,-0.516844,-0.738209,-0.358532,-1.096741
Memphis Grizzlies,22.0,60.0,0.268293,-1.256928,1.227384,0.0369,0.363395,0.541339,0.975134,-0.830455,3.122666,-0.747728,-0.607243,-1.354971
Chicago Bulls,27.0,55.0,0.329268,-1.434238,-0.457261,-0.868823,-1.38279,1.447444,-0.703375,2.046896,-0.466987,-0.840563,-0.275394,-1.115957
Sacramento Kings,27.0,55.0,0.329268,-1.138722,-0.216597,-0.415962,-2.373868,1.447444,0.615454,-0.058483,0.280857,-0.840612,-0.478939,-1.319551
Phoenix Suns,21.0,61.0,0.256098,-1.552445,1.107052,0.087218,0.457784,0.820141,-1.302843,-0.830455,0.928989,-0.81163,-0.959206,-1.770836
