Team,W,L,W/L%,SRS_norm
Toronto Raptors,59,23,0.72,1.702947902665605
Boston Celtics,55,27,0.671,0.7545297291645958
Philadelphia 76ers,52,30,0.634,1.0044823019838272
Cleveland Cavaliers,50,32,0.61,0.1378243158535949
Indiana Pacers,48,34,0.585,0.2756486317071898
Miami Heat,44,38,0.537,0.035040080301761416
Milwaukee Bucks,44,38,0.537,-0.10512024090528425
Washington Wizards,43,39,0.524,0.12380828373289035
Detroit Pistons,39,43,0.476,-0.06073613918971979
Charlotte Hornets,36,46,0.439,0.01635203747415533
New York Knicks,29,53,0.354,-0.8246098897681187
Brooklyn Nets,28,54,0.341,-0.8573139647164293
Chicago Bulls,27,55,0.329,-1.5978276617603206
Orlando Magic,25,57,0.305,-1.1493146338977744
Atlanta Hawks,24,58,0.293,-1.2380828373289032
Houston Rockets,65,17,0.793,1.917860395183075
Golden State Warriors,58,24,0.707,1.3525470996479907
Portland Trail Blazers,49,33,0.598,0.607361391897198
Oklahoma City Thunder,48,34,0.585,0.7989138308801603
Utah Jazz,48,34,0.585,1.0441943929924902
New Orleans Pelicans,48,34,0.585,0.34572879231071263
San Antonio Spurs,47,35,0.573,0.67510554714727
Minnesota Timberwolves,47,35,0.573,0.5489612580609289
Denver Nuggets,46,36,0.561,0.3667528404917695
Los Angeles Clippers,42,40,0.512,0.035040080301761416
Los Angeles Lakers,35,47,0.427,-0.3363847708969096
Sacramento Kings,27,55,0.329,-1.5417635332775022
Dallas Mavericks,24,58,0.293,-0.6307214454317055
Memphis Grizzlies,22,60,0.268,-1.357219110354892
Phoenix Suns,21,61,0.256,-2.05568471103667
