Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Houston Rockets,1.573679,65.0,17.0,0.793,1.894157044543036,1.917860395183075
Toronto Raptors,1.216098,59.0,23.0,0.72,1.739981471149998,1.702947902665605
Golden State Warriors,0.895572,58.0,24.0,0.707,1.2994798328841757,1.3525470996479907
Utah Jazz,0.948049,48.0,34.0,0.585,0.9911286860981,1.0441943929924902
Philadelphia 76ers,0.813401,52.0,30.0,0.634,0.9911286860981,1.0044823019838272
Boston Celtics,0.649718,55.0,27.0,0.671,0.8149280307917712,0.7545297291645958
Oklahoma City Thunder,0.941134,48.0,34.0,0.585,0.770877866965189,0.7989138308801603
San Antonio Spurs,0.76931,47.0,35.0,0.573,0.6827775393120246,0.67510554714727
Portland Trail Blazers,0.37487,49.0,33.0,0.598,0.5946772116588601,0.607361391897198
Minnesota Timberwolves,0.580298,47.0,35.0,0.573,0.5065768840056956,0.5489612580609289
Denver Nuggets,0.110061,46.0,36.0,0.561,0.3303762286993667,0.3667528404917695
Indiana Pacers,0.326224,48.0,34.0,0.585,0.3083511467860755,0.2756486317071898
New Orleans Pelicans,0.146206,48.0,34.0,0.585,0.2863260648727845,0.3457287923107126
Cleveland Cavaliers,0.036988,50.0,32.0,0.61,0.2202508191329111,0.1378243158535949
Washington Wizards,0.070426,43.0,39.0,0.524,0.1321504914797466,0.1238082837328903
Miami Heat,0.100709,44.0,38.0,0.537,0.1101254095664555,0.0350400803017614
Charlotte Hornets,0.589497,36.0,46.0,0.439,0.0660752457398733,0.0163520374741553
Los Angeles Clippers,0.014823,42.0,40.0,0.512,0.0220250819132911,0.0350400803017614
Detroit Pistons,0.262127,39.0,43.0,0.476,-0.0220250819132911,-0.0607361391897197
Milwaukee Bucks,-0.025165,44.0,38.0,0.537,-0.0660752457398733,-0.1051202409052842
Los Angeles Lakers,-0.173613,35.0,47.0,0.427,-0.3303762286993667,-0.3363847708969096
Dallas Mavericks,-0.561499,24.0,58.0,0.293,-0.7048026212253157,-0.6307214454317055
New York Knicks,-0.8837,29.0,53.0,0.354,-0.7929029488784801,-0.8246098897681187
Brooklyn Nets,-1.06775,28.0,54.0,0.341,-0.8149280307917712,-0.8573139647164293
Orlando Magic,-1.049406,25.0,57.0,0.305,-1.0792290137512646,-1.1493146338977744
Atlanta Hawks,-1.096741,24.0,58.0,0.293,-1.2334045871443022,-1.2380828373289032
Memphis Grizzlies,-1.354971,22.0,60.0,0.268,-1.4316303243639223,-1.357219110354892
Chicago Bulls,-1.115957,27.0,55.0,0.329,-1.563780815843669,-1.5978276617603206
Sacramento Kings,-1.319551,27.0,55.0,0.329,-1.6298560615835425,-1.5417635332775022
Phoenix Suns,-1.770836,21.0,61.0,0.256,-2.0703576998493647,-2.05568471103667
