Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Toronto Raptors,59,23,.720,3.0,111.7,103.9,7.29
Boston Celtics,55,27,.671,5.0,104.0,100.4,3.23
Philadelphia 76ers,52,30,.634,6.5,109.8,105.3,4.30
Cleveland Cavaliers,50,32,.610,7.5,110.9,109.9,0.59
Indiana Pacers,48,34,.585,8.5,105.6,104.2,1.18
Miami Heat,44,38,.537,10.5,103.4,102.9,0.15
Milwaukee Bucks,44,38,.537,10.5,106.5,106.8,-0.45
Washington Wizards,43,39,.524,11.0,106.6,106.0,0.53
Detroit Pistons,39,43,.476,13.0,103.8,103.9,-0.26
Charlotte Hornets,36,46,.439,14.5,108.2,108.0,0.07
New York Knicks,29,53,.354,18.0,104.5,108.0,-3.53
Brooklyn Nets,28,54,.341,18.5,106.6,110.3,-3.67
Chicago Bulls,27,55,.329,19.0,102.9,110.0,-6.84
Orlando Magic,25,57,.305,20.0,103.4,108.2,-4.92
Atlanta Hawks,24,58,.293,20.5,103.4,108.8,-5.30
Houston Rockets,65,17,.793,0.0,112.4,103.9,8.21
Golden State Warriors,58,24,.707,3.5,113.5,107.5,5.79
Portland Trail Blazers,49,33,.598,8.0,105.6,103.0,2.60
Oklahoma City Thunder,48,34,.585,8.5,107.9,104.4,3.42
Utah Jazz,48,34,.585,8.5,104.1,99.8,4.47
New Orleans Pelicans,48,34,.585,8.5,111.7,110.4,1.48
San Antonio Spurs,47,35,.573,9.0,102.7,99.8,2.89
Minnesota Timberwolves,47,35,.573,9.0,109.5,107.3,2.35
Denver Nuggets,46,36,.561,9.5,110.0,108.5,1.57
Los Angeles Clippers,42,40,.512,11.5,109.0,109.0,0.15
Los Angeles Lakers,35,47,.427,15.0,108.1,109.6,-1.44
Sacramento Kings,27,55,.329,19.0,98.8,105.8,-6.60
Dallas Mavericks,24,58,.293,20.5,102.3,105.4,-2.70
Memphis Grizzlies,22,60,.268,21.5,99.3,105.5,-5.81
Phoenix Suns,21,61,.256,22.0,103.9,113.3,-8.80
