Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Cleveland Cavaliers,1.781108,66.0,16.0,0.805,1.9220359061271883,1.8856487431735791
Boston Celtics,1.507408,62.0,20.0,0.756,1.5760694430242943,1.6162703512916394
Los Angeles Lakers,1.347241,65.0,17.0,0.793,1.5568490839630225,1.544580940548865
Orlando Magic,1.343535,59.0,23.0,0.72,1.4030862114728475,1.4077193382217503
Portland Trail Blazers,1.214969,54.0,28.0,0.659,1.1724419027375848,1.086203193072338
Houston Rockets,0.513661,53.0,29.0,0.646,0.845695798695963,0.8103075820319643
San Antonio Spurs,0.636567,54.0,28.0,0.659,0.8072550805734192,0.7299285457446113
Denver Nuggets,0.797867,54.0,28.0,0.659,0.6919329262057878,0.6799631988632837
Utah Jazz,0.524174,48.0,34.0,0.585,0.5381700537156128,0.5018258751994202
Dallas Mavericks,0.42563,50.0,32.0,0.61,0.4036275402867096,0.3649642728723056
Phoenix Suns,0.494174,46.0,36.0,0.561,0.3844071812254376,0.3519298345554376
Atlanta Hawks,0.353051,47.0,35.0,0.573,0.326746104041622,0.3693090856445949
New Orleans Hornets,0.277281,49.0,33.0,0.598,0.326746104041622,0.3063093004463993
Miami Heat,0.101412,43.0,39.0,0.524,0.0384407181225437,0.1064479129210891
Philadelphia 76ers,0.282589,41.0,41.0,0.5,0.0192203590612718,0.0347585021783148
Chicago Bulls,-0.168185,41.0,41.0,0.5,-0.0576610771838156,-0.0347585021783148
Detroit Pistons,-0.106842,39.0,43.0,0.476,-0.1153221543676313,-0.0782066299012083
Indiana Pacers,-0.391958,36.0,46.0,0.439,-0.2114239496739907,-0.1651028853469954
Milwaukee Bucks,-0.123561,34.0,48.0,0.415,-0.2306443087352626,-0.1911717619807315
Charlotte Bobcats,-0.233923,35.0,47.0,0.427,-0.2690850268578064,-0.2606887663373611
New York Knicks,-0.718265,32.0,50.0,0.39,-0.5189496946543409,-0.5061706879717096
New Jersey Nets,-0.529029,34.0,48.0,0.415,-0.5189496946543409,-0.5018258751994202
Toronto Raptors,-0.521024,33.0,49.0,0.402,-0.5766107718381566,-0.5517912220807478
Golden State Warriors,-0.69186,29.0,53.0,0.354,-0.7303736443283315,-0.825514426734977
Minnesota Timberwolves,-1.106087,24.0,58.0,0.293,-1.0186790302474098,-1.0297206270325767
Memphis Grizzlies,-0.935969,24.0,58.0,0.293,-1.1532215436763131,-1.1361685399536658
Oklahoma City Thunder,-1.147509,23.0,59.0,0.28,-1.2493233389826726,-1.3121334572313843
Washington Wizards,-1.411036,19.0,63.0,0.232,-1.5760694430242943,-1.5163396575289845
Sacramento Kings,-1.796345,17.0,65.0,0.207,-1.7682730336370132,-1.8682694920844216
Los Angeles Clippers,-1.719071,19.0,63.0,0.232,-1.806713751759557,-1.840028209064541
