Team,W,L,W/L%,NRtg,NRtg_norm
Cleveland Cavaliers,66.0,16.0,0.805,10.0,1.9220359061271883
Boston Celtics,62.0,20.0,0.756,8.2,1.5760694430242943
Los Angeles Lakers,65.0,17.0,0.793,8.1,1.5568490839630225
Orlando Magic,59.0,23.0,0.72,7.3,1.4030862114728475
Portland Trail Blazers,54.0,28.0,0.659,6.1,1.1724419027375848
Houston Rockets,53.0,29.0,0.646,4.4,0.845695798695963
San Antonio Spurs,54.0,28.0,0.659,4.2,0.8072550805734192
Denver Nuggets,54.0,28.0,0.659,3.6,0.6919329262057878
Utah Jazz,48.0,34.0,0.585,2.8,0.5381700537156128
Dallas Mavericks,50.0,32.0,0.61,2.1,0.4036275402867096
Phoenix Suns,46.0,36.0,0.561,2.0,0.38440718122543766
Atlanta Hawks,47.0,35.0,0.573,1.7,0.326746104041622
New Orleans Hornets,49.0,33.0,0.598,1.7,0.326746104041622
Miami Heat,43.0,39.0,0.524,0.2,0.03844071812254377
Philadelphia 76ers,41.0,41.0,0.5,0.1,0.019220359061271886
Chicago Bulls,41.0,41.0,0.5,-0.3,-0.05766107718381565
Detroit Pistons,39.0,43.0,0.476,-0.6,-0.1153221543676313
Indiana Pacers,36.0,46.0,0.439,-1.1,-0.21142394967399075
Milwaukee Bucks,34.0,48.0,0.415,-1.2,-0.2306443087352626
Charlotte Bobcats,35.0,47.0,0.427,-1.4,-0.2690850268578064
New York Knicks,32.0,50.0,0.39,-2.7,-0.5189496946543409
New Jersey Nets,34.0,48.0,0.415,-2.7,-0.5189496946543409
Toronto Raptors,33.0,49.0,0.402,-3.0,-0.5766107718381566
Golden State Warriors,29.0,53.0,0.354,-3.8,-0.7303736443283315
Minnesota Timberwolves,24.0,58.0,0.293,-5.3,-1.0186790302474098
Memphis Grizzlies,24.0,58.0,0.293,-6.0,-1.1532215436763131
Oklahoma City Thunder,23.0,59.0,0.28,-6.5,-1.2493233389826726
Washington Wizards,19.0,63.0,0.232,-8.2,-1.5760694430242943
Sacramento Kings,17.0,65.0,0.207,-9.2,-1.7682730336370132
Los Angeles Clippers,19.0,63.0,0.232,-9.4,-1.806713751759557
League Average,,,,,
