Team,W,L,W/L%,SRS_norm
Boston Celtics,39,27,0.591,0.47594699278798763
New York Knicks,36,30,0.545,0.5033244746740224
Philadelphia 76ers,35,31,0.53,0.7560396920835734
Toronto Raptors,23,43,0.348,-0.7728873732442101
New Jersey Nets,22,44,0.333,-1.3414966124156997
Chicago Bulls,50,16,0.758,1.5647283877941365
Indiana Pacers,42,24,0.636,0.5475496377206938
Milwaukee Bucks,31,35,0.47,-0.048437083336830604
Detroit Pistons,25,41,0.379,-1.092993315296308
Cleveland Cavaliers,21,45,0.318,-1.5457747464884202
Miami Heat,46,20,0.697,1.2046092029855262
Atlanta Hawks,40,26,0.606,0.5622913587362509
Orlando Magic,37,29,0.561,0.09687416667366121
Washington Wizards,20,46,0.303,-1.08246351457091
Charlotte Bobcats,7,59,0.106,-2.93992036253111
Oklahoma City Thunder,47,19,0.712,1.356238333431257
Denver Nuggets,38,28,0.576,0.665483405845151
Utah Jazz,36,30,0.545,0.19374833334732242
Portland Trail Blazers,28,38,0.424,-0.04633112319175101
Minnesota Timberwolves,26,40,0.394,-0.38539070654956525
Los Angeles Lakers,41,25,0.621,0.4127681884355999
Los Angeles Clippers,40,26,0.606,0.5938807609124448
Phoenix Suns,33,33,0.5,0.06107284420730815
Golden State Warriors,23,43,0.348,-0.5875628804772061
Sacramento Kings,22,44,0.333,-1.0424502718143978
San Antonio Spurs,50,16,0.758,1.5331389856179427
Memphis Grizzlies,41,25,0.621,0.5117483152543407
Dallas Mavericks,36,30,0.545,0.3748609058241673
Houston Rockets,34,32,0.515,0.12003972826953671
New Orleans Hornets,21,45,0.318,-0.654953605119753
