Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Chicago Bulls,50.0,16.0,0.757576,0.146828,-0.621358,2.182793,-1.007634,-2.24069,-0.862751,0.748445,-1.421608,0.499484,1.043518,1.543002
San Antonio Spurs,50.0,16.0,0.757576,2.213303,-1.04988,-0.706198,-0.541921,0.104218,-0.773501,1.747679,-1.722553,0.925263,0.372856,1.298119
Oklahoma City Thunder,47.0,19.0,0.712121,1.560732,1.628385,0.333839,2.591059,-1.338802,-0.68425,-0.54468,-0.045858,0.672623,0.262401,0.935024
Miami Heat,46.0,20.0,0.69697,0.962542,0.77134,-0.1284,1.278594,-0.49704,1.814751,0.513332,-0.346804,0.358291,0.807191,1.165482
Philadelphia 76ers,35.0,31.0,0.530303,-0.396981,-3.085361,-0.975837,-1.981398,-1.639432,-0.238,1.277451,-0.690741,0.120171,0.955374,1.075545
Atlanta Hawks,40.0,26.0,0.606061,0.690637,-0.407096,-1.168436,-0.668933,-0.436915,0.56525,0.807224,-0.948694,0.044002,0.619827,0.663829
Indiana Pacers,42.0,24.0,0.636364,-0.723266,-0.728488,0.873117,1.828983,-0.677418,0.2975,-0.427123,0.599024,0.341786,0.170064,0.51185
New York Knicks,36.0,30.0,0.545455,0.25559,1.199863,-0.1284,0.812881,-0.136285,1.904001,0.395775,0.685009,-0.101478,0.506918,0.40544
Denver Nuggets,38.0,28.0,0.575758,1.560732,0.342818,0.295319,1.320932,1.246609,0.476,0.748445,-0.991686,0.795792,-0.081202,0.71459
Boston Celtics,39.0,27.0,0.590909,0.473114,0.985602,-2.786271,-0.330233,-2.120439,1.011501,-0.368345,0.341071,-0.663944,0.976221,0.312277
Los Angeles Clippers,40.0,26.0,0.606061,0.799399,-1.157011,0.988677,-0.541921,0.284596,0.38675,0.101883,1.587844,0.72546,-0.234951,0.490509
Memphis Grizzlies,41.0,25.0,0.621212,-0.777647,-0.192835,1.104236,0.13548,-0.136285,2.261002,-0.19201,0.813985,-0.021681,0.459265,0.437584
Los Angeles Lakers,41.0,25.0,0.621212,0.201209,0.449949,0.834597,0.770544,-0.677418,-2.737002,1.042337,-2.152475,0.250497,0.118055,0.368552
Dallas Mavericks,36.0,30.0,0.545455,0.092448,-0.407096,-1.361036,-0.753609,-0.49704,0.119,1.042337,-0.217827,-0.246495,0.469707,0.223212
Orlando Magic,37.0,29.0,0.560606,1.016923,0.77134,-0.166919,-0.626596,0.044092,-0.773501,1.453786,-0.776725,0.086561,0.196254,0.282815
Utah Jazz,36.0,30.0,0.545455,-0.3426,-0.835619,1.258316,0.812881,0.344722,0.02975,0.454553,1.587844,0.44546,-0.277717,0.167743
Milwaukee Bucks,31.0,35.0,0.469697,-0.3426,-0.942749,0.295319,-0.584258,0.104218,0.743751,-1.250021,0.384063,0.070072,-0.163363,-0.093291
Houston Rockets,34.0,32.0,0.515152,0.25559,-0.299966,0.218279,-1.007634,0.164344,0.02975,0.219439,0.083118,0.069738,-0.02688,0.042858
Phoenix Suns,33.0,33.0,0.5,0.636257,-0.514227,-0.436559,-0.584258,0.22447,-0.595,-0.779794,-0.346804,0.208109,-0.342476,-0.134367
Portland Trail Blazers,28.0,38.0,0.424242,0.038067,-0.407096,-0.243959,0.050805,1.006106,0.2975,-0.133231,-0.389796,0.07583,-0.296244,-0.220414
Minnesota Timberwolves,26.0,40.0,0.393939,-0.560123,0.235687,0.218279,1.193919,0.22447,-1.398251,-0.015674,-0.905702,-0.060227,-0.30663,-0.366857
Golden State Warriors,23.0,43.0,0.348485,0.962542,-0.514227,-1.553635,-1.388672,0.525099,-0.14875,-2.308033,1.243907,-0.005454,-0.89542,-0.900874
Toronto Raptors,23.0,43.0,0.348485,-0.668885,1.092732,-0.398039,0.13548,-0.737544,-0.862751,1.395008,2.232727,-0.600023,0.023422,-0.576601
New Orleans Hornets,21.0,45.0,0.318182,-0.614504,1.521255,0.218279,-0.03387,-0.136285,-0.238,0.043104,0.427056,-0.58754,-0.060424,-0.647964
Washington Wizards,20.0,46.0,0.30303,-0.832028,0.449949,0.14124,-1.007634,0.284596,0.38675,-1.250021,0.899969,-0.568196,-0.40215,-0.970346
Detroit Pistons,25.0,41.0,0.378788,-1.049551,1.306993,0.449399,0.093143,0.765603,0.38675,-0.133231,0.770993,-0.642717,-0.351849,-0.994566
Sacramento Kings,22.0,44.0,0.333333,-0.832028,-0.835619,0.834597,-0.457246,1.66749,0.119,-1.485135,-0.389796,-0.025574,-0.875804,-0.901378
New Jersey Nets,22.0,44.0,0.333333,-0.777647,0.557079,0.333839,0.050805,1.547239,-0.0595,-1.367578,0.040126,-0.37594,-0.913305,-1.289245
Cleveland Cavaliers,21.0,45.0,0.318182,-1.321456,0.557079,0.757558,0.516518,1.246609,-0.595,-0.485902,-0.260819,-0.438863,-0.705451,-1.144314
Charlotte Bobcats,7.0,59.0,0.106061,-2.626598,0.128557,-1.283996,-0.076208,1.487113,-0.862751,-1.250021,-0.08885,-1.351009,-1.04721,-2.398219
