Team,W,L,W/L%,NRtg,NRtg_norm
Chicago Bulls,50.0,16.0,0.758,9.1,1.732299328249513
San Antonio Spurs,50.0,16.0,0.758,7.7,1.4657917392880495
Oklahoma City Thunder,47.0,19.0,0.712,6.6,1.2563929193897567
Miami Heat,46.0,20.0,0.697,6.4,1.2183204066809763
Philadelphia 76ers,35.0,31.0,0.53,4.7,0.8947040486563419
Atlanta Hawks,40.0,26.0,0.606,3.7,0.7043414851124394
Indiana Pacers,42.0,24.0,0.636,3.6,0.6853052287580491
New York Knicks,36.0,30.0,0.545,3.4,0.6472327160492686
Denver Nuggets,38.0,28.0,0.576,3.0,0.5710876906317076
Boston Celtics,39.0,27.0,0.591,2.8,0.5330151779229271
Los Angeles Clippers,40.0,26.0,0.606,2.8,0.5330151779229271
Memphis Grizzlies,41.0,25.0,0.621,2.2,0.41879763979658563
Los Angeles Lakers,41.0,25.0,0.621,1.6,0.3045801016702441
Dallas Mavericks,36.0,30.0,0.545,1.0,0.19036256354390252
Orlando Magic,37.0,29.0,0.561,0.9,0.17132630718951228
Utah Jazz,36.0,30.0,0.545,0.7,0.13325379448073177
Milwaukee Bucks,31.0,35.0,0.47,0.3,0.05710876906317076
Houston Rockets,34.0,32.0,0.515,0.3,0.05710876906317076
Phoenix Suns,33.0,33.0,0.5,-0.3,-0.05710876906317076
Portland Trail Blazers,28.0,38.0,0.424,-0.7,-0.13325379448073177
Minnesota Timberwolves,26.0,40.0,0.394,-2.3,-0.4378338961509758
Golden State Warriors,23.0,43.0,0.348,-3.7,-0.7043414851124394
Toronto Raptors,23.0,43.0,0.348,-3.7,-0.7043414851124394
New Orleans Hornets,21.0,45.0,0.318,-4.2,-0.7995227668843906
Washington Wizards,20.0,46.0,0.303,-5.2,-0.9898853304282932
Detroit Pistons,25.0,41.0,0.379,-5.3,-1.0089215867826833
Sacramento Kings,22.0,44.0,0.333,-6.0,-1.1421753812634152
New Jersey Nets,22.0,44.0,0.333,-6.7,-1.275429175744147
Cleveland Cavaliers,21.0,45.0,0.318,-7.8,-1.4848279956424397
Charlotte Bobcats,7.0,59.0,0.106,-15.2,-2.893510965867318
League Average,,,,,
