Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Milwaukee Bucks,56,17,.767,0.0,118.7,108.6,9.41
Toronto Raptors,53,19,.736,1.5,112.8,106.5,5.97
Boston Celtics,48,24,.667,4.0,113.7,107.3,5.83
Indiana Pacers,45,28,.616,5.5,109.4,107.5,1.63
Miami Heat,44,29,.603,6.0,112.0,109.1,2.59
Philadelphia 76ers,43,30,.589,6.5,110.7,108.4,2.25
Brooklyn Nets,35,37,.486,10.5,111.8,112.3,-1.01
Orlando Magic,33,40,.452,11.5,107.3,108.3,-0.93
Charlotte Hornets,23,42,.354,16.5,102.9,109.6,-7.03
Washington Wizards,25,47,.347,15.5,114.4,119.1,-5.24
Chicago Bulls,22,43,.338,17.0,106.8,109.9,-4.00
New York Knicks,21,45,.318,17.5,105.8,112.3,-6.72
Detroit Pistons,20,46,.303,18.0,107.2,110.8,-4.38
Atlanta Hawks,20,47,.299,18.0,111.8,119.7,-7.71
Cleveland Cavaliers,19,46,.292,18.5,106.9,114.8,-7.77
Los Angeles Lakers,52,19,.732,2.0,113.4,107.6,6.28
Los Angeles Clippers,49,23,.681,3.5,116.3,109.9,6.66
Denver Nuggets,46,27,.630,5.0,111.3,109.2,2.35
Houston Rockets,44,28,.611,6.0,117.8,114.8,3.13
Oklahoma City Thunder,44,28,.611,6.0,110.4,108.4,2.33
Utah Jazz,44,28,.611,6.0,111.3,108.8,2.52
Dallas Mavericks,43,32,.573,6.5,117.0,112.1,4.87
Portland Trail Blazers,35,39,.473,10.5,115.0,116.1,-0.61
Memphis Grizzlies,34,39,.466,11.0,112.6,113.7,-0.91
Phoenix Suns,34,39,.466,11.0,113.6,113.4,0.56
San Antonio Spurs,32,39,.451,12.0,114.1,115.2,-0.65
Sacramento Kings,31,41,.431,12.5,110.1,112.1,-1.59
New Orleans Pelicans,30,42,.417,13.0,115.8,117.1,-0.55
Minnesota Timberwolves,19,45,.297,18.5,113.3,117.5,-4.02
Golden State Warriors,15,50,.231,20.5,106.3,115.0,-8.12
