Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Milwaukee Bucks,1.850111,56.0,17.0,0.767,1.9901159761379448,1.9544981883090315
Boston Celtics,1.002041,48.0,24.0,0.667,1.3197611210177946,1.2109165183678696
Los Angeles Clippers,1.041615,49.0,23.0,0.681,1.3197611210177946,1.3833111513430552
Toronto Raptors,0.981663,53.0,19.0,0.736,1.2778639425727851,1.2399951311588646
Los Angeles Lakers,1.243622,52.0,19.0,0.732,1.1940695856827668,1.3043834880532112
Dallas Mavericks,0.927348,43.0,32.0,0.573,1.047429461125234,1.0115203163724742
Miami Heat,0.589536,44.0,29.0,0.603,0.6284576766751404,0.5379543366334103
Houston Rockets,0.351997,44.0,28.0,0.611,0.586560498230131,0.6501147002558202
Utah Jazz,0.461503,44.0,28.0,0.611,0.5027661413401122,0.5234150302379128
Philadelphia 76ers,0.641314,43.0,30.0,0.589,0.4818175521176076,0.4673348484267078
Denver Nuggets,0.365809,46.0,27.0,0.63,0.4399203736725983,0.4881052861345615
Indiana Pacers,0.27725,45.0,28.0,0.616,0.4189717844500936,0.338558134638015
Oklahoma City Thunder,0.359712,44.0,28.0,0.611,0.4189717844500936,0.4839511985929908
Phoenix Suns,0.20797,34.0,39.0,0.466,0.062845767667514,0.1163144511639806
Brooklyn Nets,-0.059292,35.0,37.0,0.486,-0.125691535335028,-0.2097814208493221
Orlando Magic,0.040192,33.0,40.0,0.452,-0.2094858922250468,-0.1931650706830392
San Antonio Spurs,0.081392,32.0,39.0,0.451,-0.2304344814475515,-0.1350078451010489
Memphis Grizzlies,-0.103333,34.0,39.0,0.466,-0.2304344814475515,-0.1890109831414685
Portland Trail Blazers,-0.123214,35.0,39.0,0.473,-0.2304344814475515,-0.1266996700179074
New Orleans Pelicans,-0.106158,30.0,42.0,0.417,-0.2513830706700561,-0.1142374073931952
Sacramento Kings,-0.367011,31.0,41.0,0.431,-0.4189717844500936,-0.3302499595548735
Chicago Bulls,-0.943094,22.0,43.0,0.338,-0.649406265897645,-0.8308175083141472
Detroit Pistons,-0.682625,20.0,46.0,0.303,-0.7750978012326731,-0.9097451716039912
Minnesota Timberwolves,-0.776939,19.0,45.0,0.297,-0.8588921581226917,-0.8349715958557179
Washington Wizards,-0.808002,25.0,47.0,0.347,-0.9636351042352151,-1.088370935891533
New York Knicks,-0.864088,21.0,45.0,0.318,-1.361658299462804,-1.395773413967767
Charlotte Hornets,-1.145873,23.0,42.0,0.354,-1.4664012455753277,-1.4601617708621135
Atlanta Hawks,-1.624283,20.0,47.0,0.299,-1.5920927809103556,-1.6014007472755187
Cleveland Cavaliers,-1.362263,19.0,46.0,0.292,-1.6549385485778696,-1.613863009900231
Golden State Warriors,-1.456901,15.0,50.0,0.231,-1.8015786731354024,-1.6865595418777186
