Team,W,L,W/L%,NRtg,NRtg_norm
Milwaukee Bucks,56.0,17.0,0.767,9.5,1.9901159761379446
Boston Celtics,48.0,24.0,0.667,6.3,1.3197611210177946
Los Angeles Clippers,49.0,23.0,0.681,6.3,1.3197611210177946
Toronto Raptors,53.0,19.0,0.736,6.1,1.2778639425727853
Los Angeles Lakers,52.0,19.0,0.732,5.7,1.1940695856827668
Dallas Mavericks,43.0,32.0,0.573,5.0,1.047429461125234
Miami Heat,44.0,29.0,0.603,3.0,0.6284576766751404
Houston Rockets,44.0,28.0,0.611,2.8,0.586560498230131
Utah Jazz,44.0,28.0,0.611,2.4,0.5027661413401122
Philadelphia 76ers,43.0,30.0,0.589,2.3,0.4818175521176076
Denver Nuggets,46.0,27.0,0.63,2.1,0.4399203736725983
Indiana Pacers,45.0,28.0,0.616,2.0,0.4189717844500936
Oklahoma City Thunder,44.0,28.0,0.611,2.0,0.4189717844500936
Phoenix Suns,34.0,39.0,0.466,0.3,0.06284576766751403
Brooklyn Nets,35.0,37.0,0.486,-0.6,-0.12569153533502805
Orlando Magic,33.0,40.0,0.452,-1.0,-0.2094858922250468
San Antonio Spurs,32.0,39.0,0.451,-1.1,-0.2304344814475515
Memphis Grizzlies,34.0,39.0,0.466,-1.1,-0.2304344814475515
Portland Trail Blazers,35.0,39.0,0.473,-1.1,-0.2304344814475515
New Orleans Pelicans,30.0,42.0,0.417,-1.2,-0.2513830706700561
Sacramento Kings,31.0,41.0,0.431,-2.0,-0.4189717844500936
Chicago Bulls,22.0,43.0,0.338,-3.1,-0.649406265897645
Detroit Pistons,20.0,46.0,0.303,-3.7,-0.7750978012326731
Minnesota Timberwolves,19.0,45.0,0.297,-4.1,-0.8588921581226917
Washington Wizards,25.0,47.0,0.347,-4.6,-0.9636351042352151
New York Knicks,21.0,45.0,0.318,-6.5,-1.3616582994628041
Charlotte Hornets,23.0,42.0,0.354,-7.0,-1.4664012455753275
Atlanta Hawks,20.0,47.0,0.299,-7.6,-1.5920927809103556
Cleveland Cavaliers,19.0,46.0,0.292,-7.9,-1.6549385485778696
Golden State Warriors,15.0,50.0,0.231,-8.6,-1.8015786731354022
League Average,,,,,
