Team,W,L,W/L%,NRtg,NRtg_norm
Boston Celtics,66.0,16.0,0.805,11.3,1.8974950128056454
Detroit Pistons,59.0,23.0,0.72,8.5,1.4273192574201756
Los Angeles Lakers,57.0,25.0,0.695,7.5,1.2593993447825078
Utah Jazz,54.0,28.0,0.659,7.3,1.2258153622549743
Orlando Magic,52.0,30.0,0.634,5.8,0.9739354932984727
New Orleans Hornets,56.0,26.0,0.683,5.8,0.9739354932984727
San Antonio Spurs,56.0,26.0,0.683,5.4,0.9067675282434058
Houston Rockets,55.0,27.0,0.671,5.2,0.8731835457158722
Phoenix Suns,55.0,27.0,0.671,5.2,0.8731835457158722
Dallas Mavericks,51.0,31.0,0.622,5.0,0.8395995631883386
Denver Nuggets,50.0,32.0,0.61,3.7,0.6213036767593706
Toronto Raptors,41.0,41.0,0.5,3.2,0.5373437204405367
Golden State Warriors,48.0,34.0,0.585,2.3,0.3862157990666357
Philadelphia 76ers,40.0,42.0,0.488,0.4,0.06716796505506709
Washington Wizards,43.0,39.0,0.524,-0.4,-0.06716796505506709
Cleveland Cavaliers,45.0,37.0,0.549,-0.4,-0.06716796505506709
Portland Trail Blazers,41.0,41.0,0.5,-1.1,-0.18471190390143452
Indiana Pacers,36.0,46.0,0.439,-1.5,-0.2518798689565016
Atlanta Hawks,37.0,45.0,0.451,-2.0,-0.33583982527533546
Sacramento Kings,38.0,44.0,0.463,-2.4,-0.4030077903304025
Chicago Bulls,33.0,49.0,0.402,-3.3,-0.5541357117043034
Charlotte Bobcats,32.0,50.0,0.39,-4.8,-0.806015580660805
New Jersey Nets,34.0,48.0,0.415,-5.4,-0.9067675282434058
Memphis Grizzlies,22.0,60.0,0.268,-6.4,-1.0746874408810734
New York Knicks,23.0,59.0,0.28,-7.2,-1.2090233709912077
Minnesota Timberwolves,22.0,60.0,0.268,-7.4,-1.2426073535187412
Milwaukee Bucks,26.0,56.0,0.317,-7.5,-1.2593993447825078
Los Angeles Clippers,23.0,59.0,0.28,-7.9,-1.326567309837575
Seattle SuperSonics,20.0,62.0,0.244,-9.0,-1.5112792137390094
Miami Heat,15.0,67.0,0.183,-9.5,-1.5952391700578434
League Average,,,,,
