Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Boston Celtics,1.793588,66.0,16.0,0.805,1.8974950128056451,1.7472274400666703
Detroit Pistons,1.324545,59.0,23.0,0.72,1.4273192574201756,1.2531190349725472
Los Angeles Lakers,1.050015,57.0,25.0,0.695,1.2593993447825078,1.378994560224662
Utah Jazz,1.020565,54.0,28.0,0.659,1.2258153622549743,1.2888150794470277
Orlando Magic,0.90717,52.0,30.0,0.634,0.9739354932984728,0.8999160685934785
New Orleans Hornets,1.05701,56.0,26.0,0.683,0.9739354932984728,1.0257915938455937
San Antonio Spurs,0.945876,56.0,26.0,0.683,0.9067675282434058,0.9581569832623674
Houston Rockets,0.919302,55.0,27.0,0.671,0.8731835457158722,0.907431025324948
Phoenix Suns,0.407314,55.0,27.0,0.671,0.8731835457158722,0.9656719399938368
Dallas Mavericks,0.776853,51.0,31.0,0.622,0.8395995631883386,0.883007415947672
Denver Nuggets,0.63619,50.0,32.0,0.61,0.6213036767593706,0.7026484543924029
Toronto Raptors,0.541836,41.0,41.0,0.5,0.5373437204405367,0.4640485781682447
Golden State Warriors,0.177503,48.0,34.0,0.585,0.3862157990666357,0.4471399255224381
Philadelphia 76ers,0.313254,40.0,42.0,0.488,0.067167965055067,0.0356960444744803
Washington Wizards,-0.093709,43.0,39.0,0.524,-0.067167965055067,-0.1146030901549106
Cleveland Cavaliers,0.201527,45.0,37.0,0.549,-0.067167965055067,-0.0995731766919715
Portland Trail Blazers,-0.298646,41.0,41.0,0.5,-0.1847119039014345,-0.0976944375091041
Indiana Pacers,-0.213731,36.0,46.0,0.439,-0.2518798689565016,-0.3513242271962014
Atlanta Hawks,-0.364343,37.0,45.0,0.451,-0.3358398252753354,-0.4189588377794273
Sacramento Kings,-0.635815,38.0,44.0,0.463,-0.4030077903304025,-0.349445488013334
Chicago Bulls,-0.341831,33.0,49.0,0.402,-0.5541357117043034,-0.5993177993346965
Charlotte Bobcats,-0.829395,32.0,50.0,0.39,-0.806015580660805,-0.8435538931074569
New Jersey Nets,-0.717523,34.0,48.0,0.415,-0.9067675282434058,-0.9675506791767045
Memphis Grizzlies,-1.050814,22.0,60.0,0.268,-1.0746874408810734,-1.082153769331615
New York Knicks,-1.218138,23.0,59.0,0.28,-1.2090233709912075,-1.2305741647781383
Minnesota Timberwolves,-1.210985,22.0,60.0,0.268,-1.2426073535187412,-1.1760907284749844
Milwaukee Bucks,-1.113663,26.0,56.0,0.317,-1.2593993447825078,-1.300087514544232
Los Angeles Clippers,-1.127459,23.0,59.0,0.28,-1.326567309837575,-1.232452903961006
Seattle SuperSonics,-1.355641,20.0,62.0,0.244,-1.5112792137390094,-1.5105063030253791
Miami Heat,-1.500856,15.0,67.0,0.183,-1.5952391700578434,-1.6025645229858811
