Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Boston Celtics,66.0,16.0,0.804878,1.175933,1.533929,-0.026735,1.389629,-2.457061,2.003387,0.674703,0.766743,0.289988,1.5036,1.793588
Detroit Pistons,59.0,23.0,0.719512,-0.114725,-1.933171,1.042678,-0.057358,-1.662489,0.169779,0.230541,0.442259,0.637335,0.68721,1.324545
Los Angeles Lakers,57.0,25.0,0.695122,1.31934,-0.357216,-0.141315,0.959444,-0.745675,-0.339557,0.040186,-0.639353,0.732694,0.317321,1.050015
Utah Jazz,54.0,28.0,0.658537,1.462747,0.378229,1.080871,1.311414,0.232259,1.799652,0.484348,2.244947,0.903428,0.117137,1.020565
Orlando Magic,52.0,30.0,0.634146,1.892966,0.378229,-1.248922,0.959444,-0.806796,-0.95076,0.92851,-0.531192,0.556761,0.350409,0.90717
New Orleans Hornets,56.0,26.0,0.682927,0.697912,-1.933171,0.126038,-1.504345,0.232259,0.271646,1.30922,-1.720966,0.562013,0.494997,1.05701
San Antonio Spurs,56.0,26.0,0.682927,0.315494,-0.672407,-1.248922,-0.839513,-1.234642,-0.441424,2.387899,-1.108052,-0.081412,1.027288,0.945876
Houston Rockets,55.0,27.0,0.670732,-0.258132,-0.252153,0.928098,-1.230591,-1.968093,-0.441424,0.92851,-0.639353,-0.039184,0.958486,0.919302
Phoenix Suns,55.0,27.0,0.670732,2.562197,0.168102,-1.630855,-0.135574,-0.562312,-1.460095,-1.546107,-1.46859,0.636346,-0.229032,0.407314
Dallas Mavericks,51.0,31.0,0.621951,0.21989,-0.987598,0.011458,1.076767,-1.418005,-1.561962,1.055413,0.730689,0.498662,0.278191,0.776853
Denver Nuggets,50.0,32.0,0.609756,0.602307,-0.357216,-0.446862,1.467845,0.110018,0.882848,-0.784686,-1.035945,0.461031,0.175159,0.63619
Toronto Raptors,41.0,41.0,0.5,0.65011,-1.933171,-1.248922,-1.230591,0.476743,0.271646,1.055413,-0.963837,0.308964,0.232872,0.541836
Golden State Warriors,48.0,34.0,0.585366,0.65011,-1.828107,0.202425,-0.917729,0.721227,1.494051,-1.926817,0.947012,0.619896,-0.442393,0.177503
Philadelphia 76ers,40.0,42.0,0.487805,-0.736153,0.168102,1.959318,-0.174681,0.415622,1.901519,-0.848138,-0.963837,0.029175,0.284079,0.313254
Washington Wizards,43.0,39.0,0.52439,-0.401538,-0.777471,0.851711,0.059965,0.96571,0.271646,-0.340524,-0.531192,0.21309,-0.306799,-0.093709
Cleveland Cavaliers,45.0,37.0,0.54878,-0.831758,-0.147089,1.424611,-0.409328,-0.195587,-0.339557,1.626479,0.298044,-0.072408,0.273935,0.201527
Portland Trail Blazers,41.0,41.0,0.5,-0.401538,-0.672407,0.049651,-0.604867,-0.37895,-1.154494,-0.975041,-0.711461,-0.073313,-0.225333,-0.298646
Indiana Pacers,36.0,46.0,0.439024,0.028681,0.273165,-0.866989,-0.292005,0.048897,0.882848,0.357445,1.415711,-0.274017,0.060286,-0.213731
Atlanta Hawks,37.0,45.0,0.45122,-0.688351,0.798484,1.157258,1.233198,0.232259,-0.339557,-1.038493,-0.531192,-0.05853,-0.305813,-0.364343
Sacramento Kings,38.0,44.0,0.463415,0.267692,1.638993,-0.561442,1.741599,0.782348,0.679114,-1.038493,0.874904,-0.15372,-0.482095,-0.635815
Chicago Bulls,33.0,49.0,0.402439,-1.30978,0.168102,0.851711,-0.331112,-0.073345,0.984715,-0.150169,0.947012,-0.445262,0.103431,-0.341831
Charlotte Bobcats,32.0,50.0,0.390244,-0.258132,0.69342,-0.408669,-0.057358,0.476743,0.169779,-1.482655,0.117776,-0.366945,-0.46245,-0.829395
New Jersey Nets,34.0,48.0,0.414634,-0.783956,1.008611,-0.026735,0.920336,-0.012224,-0.543291,0.293993,1.415711,-0.433032,-0.284491,-0.717523
Memphis Grizzlies,22.0,60.0,0.268293,0.124286,0.798484,-1.096149,-0.252897,1.454678,-1.052627,0.040186,-1.288321,-0.407071,-0.643743,-1.050814
New York Knicks,23.0,59.0,0.280488,-1.070769,0.168102,0.737131,-0.213789,1.271315,-1.154494,-0.403976,-0.098547,-0.354975,-0.863163,-1.218138
Minnesota Timberwolves,22.0,60.0,0.268293,-0.640549,0.378229,0.317005,-1.895423,0.96571,-0.339557,0.167089,1.343603,-0.571689,-0.639296,-1.210985
Milwaukee Bucks,26.0,56.0,0.317073,-0.736153,0.483293,1.271838,-0.643975,1.63804,-0.23769,-0.213621,0.658582,-0.257513,-0.85615,-1.113663
Los Angeles Clippers,23.0,59.0,0.280488,-1.54879,0.483293,-1.363502,1.272306,0.354501,-0.441424,-0.150169,0.153829,-0.822194,-0.305265,-1.127459
Seattle SuperSonics,20.0,62.0,0.243902,-1.453186,1.113675,0.049651,-1.07416,0.354501,-1.358228,0.230541,-0.6033,-1.010887,-0.344754,-1.355641
Miami Heat,15.0,67.0,0.182927,-0.736153,1.218738,-1.745435,-0.526651,0.782348,0.373513,-0.911589,0.478313,-1.02723,-0.473626,-1.500856
