Team,W,L,W/L%,SRS_norm
Boston Celtics,66,16,0.805,1.7472274400666703
Toronto Raptors,41,41,0.5,0.4640485781682447
Philadelphia 76ers,40,42,0.488,0.035696044474480354
New Jersey Nets,34,48,0.415,-0.9675506791767045
New York Knicks,23,59,0.28,-1.2305741647781385
Detroit Pistons,59,23,0.72,1.2531190349725472
Cleveland Cavaliers,45,37,0.549,-0.09957317669197152
Indiana Pacers,36,46,0.439,-0.35132422719620143
Chicago Bulls,33,49,0.402,-0.5993177993346965
Milwaukee Bucks,26,56,0.317,-1.3000875145442319
Orlando Magic,52,30,0.634,0.8999160685934785
Washington Wizards,43,39,0.524,-0.11460309015491062
Atlanta Hawks,37,45,0.451,-0.41895883777942733
Charlotte Bobcats,32,50,0.39,-0.8435538931074569
Miami Heat,15,67,0.183,-1.6025645229858811
Utah Jazz,54,28,0.659,1.2888150794470277
Denver Nuggets,50,32,0.61,0.7026484543924029
Portland Trail Blazers,41,41,0.5,-0.09769443750910414
Minnesota Timberwolves,22,60,0.268,-1.1760907284749844
Seattle SuperSonics,20,62,0.244,-1.5105063030253791
Los Angeles Lakers,57,25,0.695,1.378994560224662
Phoenix Suns,55,27,0.671,0.9656719399938369
Golden State Warriors,48,34,0.585,0.44713992552243814
Sacramento Kings,38,44,0.463,-0.349445488013334
Los Angeles Clippers,23,59,0.28,-1.232452903961006
New Orleans Hornets,56,26,0.683,1.0257915938455935
San Antonio Spurs,56,26,0.683,0.9581569832623674
Houston Rockets,55,27,0.671,0.907431025324948
Dallas Mavericks,51,31,0.622,0.883007415947672
Memphis Grizzlies,22,60,0.268,-1.082153769331615
