Team,W,L,W/L%,SRS_norm
New Jersey Nets,52,30,0.634,0.8973019455577348
Boston Celtics,49,33,0.598,0.42786877512971005
Orlando Magic,44,38,0.537,0.3056205536640786
Philadelphia 76ers,43,39,0.524,0.31051048252270386
Washington Wizards,37,45,0.451,-0.3863043798313954
Miami Heat,36,46,0.439,-0.4498734549935237
New York Knicks,30,52,0.366,-1.014660238164741
Detroit Pistons,50,32,0.61,0.41319898855383425
Charlotte Hornets,44,38,0.537,0.13936297247081983
Toronto Raptors,42,40,0.512,-0.17359247448119663
Indiana Pacers,42,40,0.512,-0.017114751005188403
Milwaukee Bucks,41,41,0.5,-0.15158779461738298
Atlanta Hawks,33,49,0.402,-1.0782293133268694
Cleveland Cavaliers,29,53,0.354,-0.8606274791180454
Chicago Bulls,21,61,0.256,-2.0831096937743596
San Antonio Spurs,58,24,0.707,1.535437661608331
Dallas Mavericks,57,25,0.695,1.0782293133268694
Minnesota Timberwolves,50,32,0.61,0.8752972656939211
Utah Jazz,44,38,0.537,0.2958406959468281
Houston Rockets,28,54,0.341,-1.0537796690337429
Denver Nuggets,27,55,0.329,-1.2689365388132545
Memphis Grizzlies,23,59,0.28,-1.647906025356712
Sacramento Kings,61,21,0.744,1.8606179307069106
Los Angeles Lakers,58,24,0.707,1.7481495669585296
Portland Trail Blazers,49,33,0.598,0.7848335818093538
Seattle SuperSonics,45,37,0.549,0.7921684750972918
Los Angeles Clippers,39,43,0.476,-0.02200467986381366
Phoenix Suns,36,46,0.439,-0.07334893287937887
Golden State Warriors,21,61,0.256,-1.1735829260700619
