Team,W,L,W/L%,GB,PS/G,PA/G,SRS
New Jersey Nets,52,30,.634,4.5,96.2,92.0,3.67
Boston Celtics,49,33,.598,6.0,96.4,94.1,1.75
Orlando Magic,44,38,.537,8.5,100.5,98.9,1.25
Philadelphia 76ers,43,39,.524,9.0,91.0,89.4,1.27
Washington Wizards,37,45,.451,12.0,92.8,94.2,-1.58
Miami Heat,36,46,.439,12.5,87.2,88.7,-1.84
New York Knicks,30,52,.366,15.5,91.6,95.6,-4.15
Detroit Pistons,50,32,.610,5.5,94.3,92.2,1.69
Charlotte Hornets,44,38,.537,8.5,93.9,92.9,0.57
Toronto Raptors,42,40,.512,9.5,91.4,91.8,-0.71
Indiana Pacers,42,40,.512,9.5,96.8,96.5,-0.07
Milwaukee Bucks,41,41,.500,10.0,97.5,97.7,-0.62
Atlanta Hawks,33,49,.402,14.0,94.0,98.3,-4.41
Cleveland Cavaliers,29,53,.354,16.0,95.3,98.6,-3.52
Chicago Bulls,21,61,.256,20.0,89.5,98.0,-8.52
San Antonio Spurs,58,24,.707,1.5,96.7,90.5,6.28
Dallas Mavericks,57,25,.695,2.0,105.2,101.0,4.41
Minnesota Timberwolves,50,32,.610,5.5,99.3,96.0,3.58
Utah Jazz,44,38,.537,8.5,96.0,95.1,1.21
Houston Rockets,28,54,.341,16.5,92.3,97.2,-4.31
Denver Nuggets,27,55,.329,17.0,92.2,98.0,-5.19
Memphis Grizzlies,23,59,.280,19.0,89.9,97.3,-6.74
Sacramento Kings,61,21,.744,0.0,104.6,97.0,7.61
Los Angeles Lakers,58,24,.707,1.5,101.3,94.1,7.15
Portland Trail Blazers,49,33,.598,6.0,96.6,93.7,3.21
Seattle SuperSonics,45,37,.549,8.0,97.7,94.7,3.24
Los Angeles Clippers,39,43,.476,11.0,95.7,96.1,-0.09
Phoenix Suns,36,46,.439,12.5,95.1,95.8,-0.30
Golden State Warriors,21,61,.256,20.0,97.7,103.1,-4.80
