Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Sacramento Kings,61.0,21.0,0.743902,1.186006,-1.235435,-0.344318,0.410913,-0.767305,-0.016906,0.368273,-1.58917,0.776034,0.614726,1.39076
Los Angeles Lakers,58.0,24.0,0.707317,1.245409,-1.844403,-0.013925,-0.116006,-1.830533,-0.605241,0.567278,0.53379,0.939078,0.61429,1.553368
San Antonio Spurs,58.0,24.0,0.707317,0.888993,0.18549,-0.601291,1.667411,-1.830533,0.08115,0.500943,-1.412257,0.439078,1.064528,1.503606
New Jersey Nets,52.0,30.0,0.634146,-0.061451,-0.220488,0.132917,-0.602392,-1.374864,1.257819,0.301938,-0.350776,-0.033234,0.977404,0.94417
Dallas Mavericks,57.0,25.0,0.695122,1.780034,-2.351877,-1.005106,0.451445,0.599702,-0.703296,-0.295076,0.79916,1.166678,-0.594594,0.572084
Minnesota Timberwolves,50.0,32.0,0.609756,0.770187,-1.133941,0.903836,-0.723989,0.371868,-0.899408,1.694971,-0.129635,0.663729,-0.01516,0.648569
Portland Trail Blazers,49.0,33.0,0.597561,0.473174,-0.118994,1.087388,-0.116006,0.903482,0.571428,1.429632,-0.837288,0.419095,0.192984,0.612079
Seattle SuperSonics,45.0,37.0,0.54878,1.661228,-0.423478,0.206338,-1.29144,0.599702,0.865596,-2.019784,-0.660375,0.617912,-0.328382,0.28953
Boston Celtics,49.0,33.0,0.597561,-0.061451,-0.829457,-1.739315,0.086655,-0.995139,1.45393,1.164292,1.06453,-0.152081,0.834717,0.682636
Detroit Pistons,50.0,32.0,0.609756,1.186006,0.692964,-1.629183,0.573042,-0.235691,1.159763,-0.427746,-0.660375,0.061281,0.397724,0.459005
Philadelphia 76ers,43.0,39.0,0.52439,-1.487117,0.997448,1.050678,1.383686,-1.298919,0.571428,0.633613,-0.571918,-0.42652,0.874935,0.448415
Orlando Magic,44.0,38.0,0.536585,0.948396,-1.032446,-0.931685,-0.440264,0.675647,0.76754,-1.2901,-0.26232,0.385093,-0.297046,0.088047
Utah Jazz,44.0,38.0,0.536585,-0.299062,1.809405,1.711465,2.842845,0.523758,2.238376,0.368273,2.877892,0.196744,-0.007938,0.188806
Charlotte Hornets,44.0,38.0,0.536585,-0.655479,-0.321983,0.646863,0.694638,-0.919194,-0.311073,0.699948,0.224192,0.051872,0.39627,0.448142
Indiana Pacers,42.0,40.0,0.512195,-0.002048,0.591469,-0.674712,1.302621,-0.615415,-0.409129,-0.096071,0.26842,-0.088236,0.084407,-0.003829
Milwaukee Bucks,41.0,41.0,0.5,1.780034,-0.017499,-1.188658,-0.805054,-0.007856,-1.585798,-0.162406,-0.173863,0.357899,-0.399709,-0.04181
Los Angeles Clippers,39.0,43.0,0.47561,-0.061451,0.18549,0.903836,0.167719,-0.007856,-1.487742,-0.825755,-1.191115,0.134972,-0.355277,-0.220305
Toronto Raptors,42.0,40.0,0.512195,-0.833687,-0.017499,0.940546,-1.29144,-0.463525,1.061707,-0.693085,0.710704,-0.334707,0.205614,-0.129093
Phoenix Suns,36.0,46.0,0.439024,-0.299062,-0.017499,0.463311,-1.65623,-0.083801,0.76754,-0.626751,0.26842,-0.271022,0.059792,-0.21123
Washington Wizards,37.0,45.0,0.45122,-0.774284,-1.133941,0.683573,-0.278135,0.523758,-0.605241,0.169268,-0.306548,0.068766,-0.280978,-0.212212
Miami Heat,36.0,46.0,0.439024,-0.833687,0.997448,-0.821554,-1.088779,-1.678643,-0.016906,1.893976,1.241444,-0.910464,0.859809,-0.050655
Cleveland Cavaliers,29.0,53.0,0.353659,-0.002048,0.18549,0.022786,0.451445,1.207261,-1.291631,1.097957,0.224192,0.025082,-0.61985,-0.594768
New York Knicks,30.0,52.0,0.365854,-0.536673,0.38848,-1.188658,-0.19707,0.144033,-0.703296,0.500943,0.666475,-0.579081,-0.23322,-0.812301
Atlanta Hawks,33.0,49.0,0.402439,-0.358465,0.997448,-0.49116,0.167719,1.359151,0.473373,-0.162406,-0.129635,-0.465822,-0.438353,-0.904175
Houston Rockets,28.0,54.0,0.341463,-0.714881,-0.220488,0.059496,-0.399731,1.055371,-2.076077,-0.89209,-1.898768,-0.278891,-0.83477,-1.113661
Golden State Warriors,21.0,61.0,0.256098,-1.487117,1.098942,2.372253,0.856767,0.827537,-0.703296,-1.15743,0.489562,-0.266617,-0.811759,-1.078376
Denver Nuggets,27.0,55.0,0.329268,-1.308909,-0.017499,0.646863,-1.250908,1.131316,-0.016906,-0.825755,1.06453,-0.577452,-0.781583,-1.359035
Memphis Grizzlies,23.0,59.0,0.280488,-0.89309,1.809405,-0.381029,-0.683457,0.675647,0.08115,-2.086119,-1.05843,-0.988312,-0.508431,-1.496743
Chicago Bulls,21.0,61.0,0.256098,-1.249506,0.997448,-0.821554,-0.116006,1.51104,0.08115,0.169268,0.79916,-0.930876,-0.670149,-1.601025
