Team,W,L,W/L%,NRtg,NRtg_norm
Sacramento Kings,61.0,21.0,0.744,7.9,1.7328720121312022
Los Angeles Lakers,58.0,24.0,0.707,7.7,1.6890018346088933
San Antonio Spurs,58.0,24.0,0.707,6.8,1.4915860357585031
New Jersey Nets,52.0,30.0,0.634,4.5,0.9870789942519506
Dallas Mavericks,57.0,25.0,0.695,4.5,0.9870789942519506
Minnesota Timberwolves,50.0,32.0,0.61,3.7,0.811598284162715
Portland Trail Blazers,49.0,33.0,0.598,3.4,0.7457930178792516
Seattle SuperSonics,45.0,37.0,0.549,3.3,0.7238579291180971
Boston Celtics,49.0,33.0,0.598,2.4,0.5264421302677069
Detroit Pistons,50.0,32.0,0.61,2.4,0.5264421302677069
Philadelphia 76ers,43.0,39.0,0.524,1.8,0.39483159770078025
Orlando Magic,44.0,38.0,0.537,1.7,0.3728965089396258
Utah Jazz,44.0,38.0,0.537,1.0,0.2193508876115446
Charlotte Hornets,44.0,38.0,0.537,1.0,0.2193508876115446
Indiana Pacers,42.0,40.0,0.512,0.3,0.06580526628346337
Milwaukee Bucks,41.0,41.0,0.5,-0.2,-0.043870177522308915
Los Angeles Clippers,39.0,43.0,0.476,-0.5,-0.1096754438057723
Toronto Raptors,42.0,40.0,0.512,-0.5,-0.1096754438057723
Phoenix Suns,36.0,46.0,0.439,-0.7,-0.1535456213280812
Washington Wizards,37.0,45.0,0.451,-1.6,-0.3509614201784713
Miami Heat,36.0,46.0,0.439,-1.7,-0.3728965089396258
Cleveland Cavaliers,29.0,53.0,0.354,-3.6,-0.7896631954015605
New York Knicks,30.0,52.0,0.366,-4.4,-0.9651439054907962
Atlanta Hawks,33.0,49.0,0.402,-4.6,-1.009014083013105
Houston Rockets,28.0,54.0,0.341,-5.5,-1.206429881863495
Golden State Warriors,21.0,61.0,0.256,-5.7,-1.2503000593858042
Denver Nuggets,27.0,55.0,0.329,-6.4,-1.4038456807138853
Memphis Grizzlies,23.0,59.0,0.28,-8.1,-1.776742189653511
Chicago Bulls,21.0,61.0,0.256,-9.4,-2.061898343548519
League Average,,,,,
