Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Sacramento Kings,1.39076,61.0,21.0,0.744,1.7328720121312022,1.8606179307069104
Los Angeles Lakers,1.553368,58.0,24.0,0.707,1.6890018346088933,1.7481495669585296
San Antonio Spurs,1.503606,58.0,24.0,0.707,1.4915860357585031,1.535437661608331
New Jersey Nets,0.94417,52.0,30.0,0.634,0.9870789942519506,0.8973019455577348
Dallas Mavericks,0.572084,57.0,25.0,0.695,0.9870789942519506,1.0782293133268694
Minnesota Timberwolves,0.648569,50.0,32.0,0.61,0.811598284162715,0.8752972656939211
Portland Trail Blazers,0.612079,49.0,33.0,0.598,0.7457930178792516,0.7848335818093538
Seattle SuperSonics,0.28953,45.0,37.0,0.549,0.7238579291180971,0.7921684750972918
Boston Celtics,0.682636,49.0,33.0,0.598,0.5264421302677069,0.42786877512971
Detroit Pistons,0.459005,50.0,32.0,0.61,0.5264421302677069,0.4131989885538342
Philadelphia 76ers,0.448415,43.0,39.0,0.524,0.3948315977007802,0.3105104825227038
Orlando Magic,0.088047,44.0,38.0,0.537,0.3728965089396258,0.3056205536640786
Utah Jazz,0.188806,44.0,38.0,0.537,0.2193508876115446,0.2958406959468281
Charlotte Hornets,0.448142,44.0,38.0,0.537,0.2193508876115446,0.1393629724708198
Indiana Pacers,-0.003829,42.0,40.0,0.512,0.0658052662834633,-0.0171147510051884
Milwaukee Bucks,-0.04181,41.0,41.0,0.5,-0.0438701775223089,-0.1515877946173829
Los Angeles Clippers,-0.220305,39.0,43.0,0.476,-0.1096754438057723,-0.0220046798638136
Toronto Raptors,-0.129093,42.0,40.0,0.512,-0.1096754438057723,-0.1735924744811966
Phoenix Suns,-0.21123,36.0,46.0,0.439,-0.1535456213280812,-0.0733489328793788
Washington Wizards,-0.212212,37.0,45.0,0.451,-0.3509614201784713,-0.3863043798313954
Miami Heat,-0.050655,36.0,46.0,0.439,-0.3728965089396258,-0.4498734549935237
Cleveland Cavaliers,-0.594768,29.0,53.0,0.354,-0.7896631954015605,-0.8606274791180454
New York Knicks,-0.812301,30.0,52.0,0.366,-0.9651439054907962,-1.014660238164741
Atlanta Hawks,-0.904175,33.0,49.0,0.402,-1.009014083013105,-1.0782293133268694
Houston Rockets,-1.113661,28.0,54.0,0.341,-1.206429881863495,-1.0537796690337429
Golden State Warriors,-1.078376,21.0,61.0,0.256,-1.2503000593858042,-1.173582926070062
Denver Nuggets,-1.359035,27.0,55.0,0.329,-1.4038456807138853,-1.2689365388132543
Memphis Grizzlies,-1.496743,23.0,59.0,0.28,-1.776742189653511,-1.647906025356712
Chicago Bulls,-1.601025,21.0,61.0,0.256,-2.061898343548519,-2.08310969377436
