Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Boston Celtics,51.0,31.0,0.621951,0.621176,0.068452,0.330767,0.177593,-2.094643,0.179167,0.399598,-0.548787,0.32415,1.044887,1.369037
Phoenix Suns,64.0,18.0,0.780488,1.044705,-0.897932,-0.384026,-1.137058,-1.530429,0.750975,0.253403,0.159325,0.395001,0.826697,1.221698
Utah Jazz,49.0,33.0,0.597561,1.40773,0.430846,0.91942,1.077092,-0.754636,-1.650619,1.130569,-1.669965,0.800828,0.365808,1.166636
Memphis Grizzlies,56.0,26.0,0.682927,-0.588907,-1.381125,2.853565,-0.86029,-0.613582,1.094059,0.765083,0.159325,0.551388,0.648065,1.199453
Golden State Warriors,53.0,29.0,0.646341,1.226218,1.397231,-0.173793,-0.791097,-1.600956,0.750975,1.422958,0.513381,-0.012244,1.035711,1.023467
Miami Heat,53.0,29.0,0.646341,0.923697,1.276433,0.120534,0.800323,-0.543056,1.665867,0.911278,0.985456,0.194526,0.668126,0.862652
Dallas Mavericks,52.0,30.0,0.634146,0.379159,-0.777134,-0.804492,-0.029983,-0.754636,-0.163918,0.911278,-0.430768,0.180551,0.507746,0.688297
Milwaukee Bucks,51.0,31.0,0.621951,0.863193,-0.535538,-0.089699,0.454362,0.303265,-0.850088,1.349861,-1.610955,0.529376,0.177787,0.707163
Philadelphia 76ers,51.0,31.0,0.621951,0.137143,-0.897932,-1.309052,2.737704,-0.543056,-0.27828,0.034112,-0.017703,0.428185,0.15713,0.585315
Minnesota Timberwolves,46.0,36.0,0.560976,0.439664,0.068452,0.498953,0.38517,0.232738,2.123314,-1.354734,2.047624,0.316319,-0.140357,0.175962
Denver Nuggets,48.0,34.0,0.585366,1.468234,1.034837,-0.552212,0.108401,0.373791,-0.735726,1.130569,-0.25374,0.234402,-0.069273,0.165129
Toronto Raptors,48.0,34.0,0.585366,-1.314957,-1.622721,2.180818,-1.067866,0.232738,2.352037,-0.843054,0.395363,0.155681,0.266999,0.42268
Cleveland Cavaliers,44.0,38.0,0.536585,0.379159,1.034837,0.330767,0.38517,-0.825162,-0.049557,-0.185179,-1.19789,0.016883,0.460323,0.477206
Atlanta Hawks,43.0,39.0,0.52439,0.68168,-1.864317,-0.089699,0.869515,0.796952,-0.96445,0.107209,-0.902843,0.851239,-0.403025,0.448214
Brooklyn Nets,44.0,38.0,0.536585,0.500168,0.18925,0.28872,0.38517,-0.754636,-0.735726,-1.208539,0.513381,0.268274,-0.200792,0.067482
Charlotte Hornets,43.0,39.0,0.52439,0.742184,-0.897932,0.03644,-1.344635,0.867478,0.865336,-1.427831,-0.31275,0.326949,-0.369311,-0.042362
San Antonio Spurs,34.0,48.0,0.414634,-0.286386,-1.501923,0.204627,-1.82898,0.021158,-0.27828,-1.208539,-0.961852,0.027505,-0.175463,-0.147958
Los Angeles Clippers,42.0,40.0,0.512195,-0.04437,0.18925,-1.098819,-0.998674,-1.248323,-0.392642,-1.720219,-1.492937,-0.434625,0.281065,-0.15356
New York Knicks,37.0,45.0,0.45122,-1.133445,-0.41474,0.79328,1.077092,-0.754636,-0.735726,1.496055,0.336353,-0.029473,0.366681,0.337208
Chicago Bulls,46.0,36.0,0.560976,0.560672,-0.656336,-1.182912,0.592746,0.655898,-0.507003,1.130569,0.395363,0.240682,-0.222301,0.018381
New Orleans Pelicans,36.0,46.0,0.439024,-0.891428,0.18925,1.550119,1.077092,1.079058,0.750975,1.057472,0.218335,0.067704,-0.065135,0.002569
Los Angeles Lakers,33.0,49.0,0.402439,0.318655,0.551645,-0.888585,-0.168368,0.585372,-0.163918,-0.696859,-0.017703,-0.213421,-0.411845,-0.625266
Washington Wizards,35.0,47.0,0.426829,0.016134,-0.293942,-0.972679,0.315978,-0.190422,-1.879342,0.107209,0.572391,-0.0672,-0.458084,-0.525284
Indiana Pacers,25.0,57.0,0.304878,-0.04437,0.430846,0.961466,-0.583521,1.431692,-0.507003,-0.404471,0.690409,-0.020694,-0.883883,-0.904577
Sacramento Kings,30.0,52.0,0.365854,-0.407395,0.18925,-0.804492,0.731131,1.361165,-0.507003,-0.550665,-0.961852,-0.261499,-0.637072,-0.898571
Detroit Pistons,23.0,59.0,0.280488,-2.283024,0.310048,0.078487,0.108401,0.655898,0.865336,-0.843054,1.988615,-0.958764,-0.512928,-1.471692
Orlando Magic,22.0,60.0,0.268293,-1.738486,0.793241,-1.435192,-1.20625,0.021158,-0.735726,0.326501,0.218335,-1.361681,-0.159845,-1.521526
Oklahoma City Thunder,24.0,58.0,0.292683,-2.101511,0.18925,-0.594259,-1.621404,0.091685,-0.621365,-0.477568,-1.374918,-1.249979,-0.081291,-1.33127
Houston Rockets,20.0,62.0,0.243902,0.137143,2.605212,-0.636306,0.661939,1.572745,-0.049557,-1.720219,0.808428,-0.624416,-1.106795,-1.731211
Portland Trail Blazers,27.0,55.0,0.329268,-1.012436,0.793241,-0.131746,-0.306752,1.925379,0.40789,0.107209,1.752578,-0.675647,-0.909624,-1.585271
