Team,W,L,W/L%,NRtg,NRtg_norm
Boston Celtics,51.0,31.0,0.622,7.5,1.528786946211757
Phoenix Suns,64.0,18.0,0.78,7.5,1.528786946211757
Utah Jazz,49.0,33.0,0.598,6.2,1.2637972088683858
Memphis Grizzlies,56.0,26.0,0.683,5.6,1.1414942531714452
Golden State Warriors,53.0,29.0,0.646,5.6,1.1414942531714452
Miami Heat,53.0,29.0,0.646,4.6,0.9376559936765442
Dallas Mavericks,52.0,30.0,0.634,3.4,0.6930500822826632
Milwaukee Bucks,51.0,31.0,0.622,3.3,0.672666256333173
Philadelphia 76ers,51.0,31.0,0.622,2.7,0.5503633006362325
Minnesota Timberwolves,46.0,36.0,0.561,2.6,0.5299794746867424
Denver Nuggets,48.0,34.0,0.585,2.4,0.4892118227877622
Toronto Raptors,48.0,34.0,0.585,2.4,0.4892118227877622
Cleveland Cavaliers,44.0,38.0,0.537,2.2,0.4484441708887821
Atlanta Hawks,43.0,39.0,0.524,1.6,0.3261412151918415
Brooklyn Nets,44.0,38.0,0.537,0.8,0.16307060759592076
Charlotte Hornets,43.0,39.0,0.524,0.4,0.08153530379796038
San Antonio Spurs,34.0,48.0,0.415,0.1,0.020383825949490095
Los Angeles Clippers,42.0,40.0,0.512,0.0,0.0
New York Knicks,37.0,45.0,0.451,-0.1,-0.020383825949490095
Chicago Bulls,46.0,36.0,0.561,-0.4,-0.08153530379796038
New Orleans Pelicans,36.0,46.0,0.439,-1.0,-0.20383825949490092
Los Angeles Lakers,33.0,49.0,0.402,-3.0,-0.6115147784847028
Washington Wizards,35.0,47.0,0.427,-3.4,-0.6930500822826632
Indiana Pacers,25.0,57.0,0.305,-3.5,-0.7134339082321532
Sacramento Kings,30.0,52.0,0.366,-5.4,-1.100726601272465
Detroit Pistons,23.0,59.0,0.28,-7.8,-1.5899384240602272
Orlando Magic,22.0,60.0,0.268,-8.0,-1.6307060759592074
Oklahoma City Thunder,24.0,58.0,0.293,-8.2,-1.6714737278581875
Houston Rockets,20.0,62.0,0.244,-8.3,-1.6918575538076779
Portland Trail Blazers,27.0,55.0,0.329,-9.1,-1.8549281614035984
League Average,,,,,
