Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Boston Celtics,1.369037,51.0,31.0,0.622,1.528786946211757,1.5019032822173897
Phoenix Suns,1.221698,64.0,18.0,0.78,1.528786946211757,1.4847875752975337
Utah Jazz,1.166636,49.0,33.0,0.598,1.2637972088683858,1.2130757279448148
Memphis Grizzlies,1.199453,56.0,26.0,0.683,1.1414942531714452,1.148891826995354
Golden State Warriors,1.023467,53.0,29.0,0.646,1.1414942531714452,1.1809837774700842
Miami Heat,0.862652,53.0,29.0,0.646,0.9376559936765442,0.9049930033874016
Dallas Mavericks,0.688297,52.0,30.0,0.634,0.6930500822826632,0.6675125698743954
Milwaukee Bucks,0.707163,51.0,31.0,0.622,0.672666256333173,0.6889072035242159
Philadelphia 76ers,0.585315,51.0,31.0,0.622,0.5503633006362325,0.5498420848003834
Minnesota Timberwolves,0.175962,46.0,36.0,0.561,0.5299794746867424,0.5412842313404552
Denver Nuggets,0.165129,48.0,34.0,0.585,0.4892118227877622,0.46212408683612
Toronto Raptors,0.42268,48.0,34.0,0.585,0.4892118227877622,0.5091922808657248
Cleveland Cavaliers,0.477206,44.0,38.0,0.537,0.4484441708887821,0.4364505264563355
Atlanta Hawks,0.448214,43.0,39.0,0.524,0.3261412151918415,0.3316168215722157
Brooklyn Nets,0.067482,44.0,38.0,0.537,0.1630706075959207,0.175435995928527
Charlotte Hornets,-0.042362,43.0,39.0,0.524,0.0815353037979603,0.1133915583440479
San Antonio Spurs,-0.147958,34.0,48.0,0.415,0.02038382594949,0.004278926729964
Los Angeles Clippers,-0.15356,42.0,40.0,0.512,0.0,0.0192551702848383
New York Knicks,0.337208,37.0,45.0,0.451,-0.02038382594949,-0.002139463364982
Chicago Bulls,0.018381,46.0,36.0,0.561,-0.0815353037979603,-0.0812996078693173
New Orleans Pelicans,0.002569,36.0,46.0,0.439,-0.2038382594949009,-0.1797149226584911
Los Angeles Lakers,-0.625266,33.0,49.0,0.402,-0.6115147784847028,-0.6589547164144673
Washington Wizards,-0.525284,35.0,47.0,0.427,-0.6930500822826632,-0.6910466668891979
Indiana Pacers,-0.904577,25.0,57.0,0.305,-0.7134339082321532,-0.697465056984144
Sacramento Kings,-0.898571,30.0,52.0,0.366,-1.100726601272465,-1.1253577299805513
Detroit Pistons,-1.471692,23.0,59.0,0.28,-1.5899384240602272,-1.574645036626779
Orlando Magic,-1.521526,22.0,60.0,0.268,-1.6307060759592074,-1.6409684009412222
Oklahoma City Thunder,-1.33127,24.0,58.0,0.293,-1.6714737278581877,-1.6901760583358092
Houston Rockets,-1.731211,20.0,62.0,0.244,-1.691857553807678,-1.7671967394751624
Portland Trail Blazers,-1.585271,27.0,55.0,0.329,-1.8549281614035984,-1.8292411770596413
