Team,W,L,W/L%,SRS_norm
Miami Heat,53,29,0.646,0.9049930033874016
Boston Celtics,51,31,0.622,1.5019032822173897
Milwaukee Bucks,51,31,0.622,0.6889072035242159
Philadelphia 76ers,51,31,0.622,0.5498420848003834
Toronto Raptors,48,34,0.585,0.5091922808657248
Chicago Bulls,46,36,0.561,-0.08129960786931739
Brooklyn Nets,44,38,0.537,0.17543599592852702
Cleveland Cavaliers,44,38,0.537,0.43645052645633553
Atlanta Hawks,43,39,0.524,0.3316168215722157
Charlotte Hornets,43,39,0.524,0.11339155834404796
New York Knicks,37,45,0.451,-0.0021394633649820366
Washington Wizards,35,47,0.427,-0.6910466668891979
Indiana Pacers,25,57,0.305,-0.697465056984144
Detroit Pistons,23,59,0.28,-1.574645036626779
Orlando Magic,22,60,0.268,-1.6409684009412222
Phoenix Suns,64,18,0.78,1.4847875752975337
Memphis Grizzlies,56,26,0.683,1.1488918269953539
Golden State Warriors,53,29,0.646,1.1809837774700842
Dallas Mavericks,52,30,0.634,0.6675125698743954
Utah Jazz,49,33,0.598,1.2130757279448148
Denver Nuggets,48,34,0.585,0.46212408683612
Minnesota Timberwolves,46,36,0.561,0.5412842313404552
Los Angeles Clippers,42,40,0.512,0.01925517028483833
New Orleans Pelicans,36,46,0.439,-0.1797149226584911
San Antonio Spurs,34,48,0.415,0.004278926729964073
Los Angeles Lakers,33,49,0.402,-0.6589547164144673
Sacramento Kings,30,52,0.366,-1.1253577299805513
Portland Trail Blazers,27,55,0.329,-1.8292411770596415
Oklahoma City Thunder,24,58,0.293,-1.6901760583358092
Houston Rockets,20,62,0.244,-1.7671967394751624
