Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Orlando Magic,1.429544,59.0,23.0,0.72,1.6072876689963085,1.56514511488342
Cleveland Cavaliers,1.246517,61.0,21.0,0.744,1.408857092577011,1.3563125503975706
Utah Jazz,0.790352,53.0,29.0,0.646,1.131054285589995,1.1716605986416615
San Antonio Spurs,0.875613,50.0,32.0,0.61,1.0913681703061353,1.1145064230981658
Atlanta Hawks,0.842687,53.0,29.0,0.646,1.031838997380346,0.976017459281234
Phoenix Suns,0.49782,54.0,28.0,0.659,1.0119959397384164,1.0265769222620185
Los Angeles Lakers,0.912046,57.0,25.0,0.695,1.0119959397384164,1.0507575349919591
Denver Nuggets,0.691713,53.0,29.0,0.646,0.8532514786029786,0.9122685711750272
Boston Celtics,0.520232,50.0,32.0,0.61,0.7738792480352596,0.7408060445445401
Portland Trail Blazers,0.758898,50.0,32.0,0.61,0.7341931327514002,0.6990395316473703
Oklahoma City Thunder,0.742498,50.0,32.0,0.61,0.7341931327514002,0.7803743199208063
Dallas Mavericks,0.573845,55.0,27.0,0.671,0.5754486716159622,0.5847311805603789
Miami Heat,0.679382,47.0,35.0,0.573,0.4960764410482433,0.4374492666598323
Milwaukee Bucks,0.359595,46.0,36.0,0.561,0.3571750375547352,0.3011585403638042
Charlotte Bobcats,0.364862,44.0,38.0,0.537,0.3174889222708758,0.2857708777174784
Houston Rockets,-0.156368,42.0,40.0,0.512,-0.0793722305677189,-0.0043964750418073
Memphis Grizzlies,-0.172885,40.0,42.0,0.488,-0.3174889222708758,-0.3055550154056115
Chicago Bulls,-0.166393,41.0,41.0,0.5,-0.3571750375547352,-0.3605109534282035
Toronto Raptors,-0.38458,40.0,42.0,0.488,-0.3770180951966649,-0.4022774663253735
New Orleans Hornets,-0.433853,37.0,45.0,0.451,-0.5357625563321029,-0.4989999172451353
Indiana Pacers,-0.745565,32.0,50.0,0.39,-0.6151347868998218,-0.6836518690010445
Golden State Warriors,-1.035533,26.0,56.0,0.317,-0.7143500751094705,-0.721021906856407
New York Knicks,-0.834504,29.0,53.0,0.354,-0.7937223056771894,-0.8814932458823757
Philadelphia 76ers,-0.625065,27.0,55.0,0.329,-0.8334084209610488,-0.8639073457151463
Sacramento Kings,-0.720239,25.0,57.0,0.305,-0.9127806515287678,-0.892484433486894
Washington Wizards,-0.931741,26.0,56.0,0.317,-1.031838997380346,-1.0375681098665368
Detroit Pistons,-0.754631,27.0,55.0,0.329,-1.1508973432319245,-1.1035152354936473
Los Angeles Clippers,-1.094255,29.0,53.0,0.354,-1.3493279196512218,-1.3211407500631116
Minnesota Timberwolves,-1.588972,15.0,67.0,0.183,-1.964462706551044,-1.9916031939387344
New Jersey Nets,-1.641023,12.0,70.0,0.146,-1.964462706551044,-1.9630261061669865
