Team,W,L,W/L%,NRtg,NRtg_norm
Orlando Magic,59.0,23.0,0.72,8.1,1.6072876689963085
Cleveland Cavaliers,61.0,21.0,0.744,7.1,1.408857092577011
Utah Jazz,53.0,29.0,0.646,5.7,1.131054285589995
San Antonio Spurs,50.0,32.0,0.61,5.5,1.0913681703061353
Atlanta Hawks,53.0,29.0,0.646,5.2,1.0318389973803461
Phoenix Suns,54.0,28.0,0.659,5.1,1.0119959397384164
Los Angeles Lakers,57.0,25.0,0.695,5.1,1.0119959397384164
Denver Nuggets,53.0,29.0,0.646,4.3,0.8532514786029786
Boston Celtics,50.0,32.0,0.61,3.9,0.7738792480352596
Portland Trail Blazers,50.0,32.0,0.61,3.7,0.7341931327514002
Oklahoma City Thunder,50.0,32.0,0.61,3.7,0.7341931327514002
Dallas Mavericks,55.0,27.0,0.671,2.9,0.5754486716159622
Miami Heat,47.0,35.0,0.573,2.5,0.49607644104824333
Milwaukee Bucks,46.0,36.0,0.561,1.8,0.35717503755473523
Charlotte Bobcats,44.0,38.0,0.537,1.6,0.3174889222708758
Houston Rockets,42.0,40.0,0.512,-0.4,-0.07937223056771894
Memphis Grizzlies,40.0,42.0,0.488,-1.6,-0.3174889222708758
Chicago Bulls,41.0,41.0,0.5,-1.8,-0.35717503755473523
Toronto Raptors,40.0,42.0,0.488,-1.9,-0.3770180951966649
New Orleans Hornets,37.0,45.0,0.451,-2.7,-0.5357625563321029
Indiana Pacers,32.0,50.0,0.39,-3.1,-0.6151347868998218
Golden State Warriors,26.0,56.0,0.317,-3.6,-0.7143500751094705
New York Knicks,29.0,53.0,0.354,-4.0,-0.7937223056771894
Philadelphia 76ers,27.0,55.0,0.329,-4.2,-0.8334084209610488
Sacramento Kings,25.0,57.0,0.305,-4.6,-0.9127806515287678
Washington Wizards,26.0,56.0,0.317,-5.2,-1.0318389973803461
Detroit Pistons,27.0,55.0,0.329,-5.8,-1.1508973432319245
Los Angeles Clippers,29.0,53.0,0.354,-6.8,-1.3493279196512218
Minnesota Timberwolves,15.0,67.0,0.183,-9.9,-1.9644627065510438
New Jersey Nets,12.0,70.0,0.146,-9.9,-1.9644627065510438
League Average,,,,,
