Team,W,L,W/L%,SRS_norm
Boston Celtics,50,32,0.61,0.7408060445445401
Toronto Raptors,40,42,0.488,-0.4022774663253735
New York Knicks,29,53,0.354,-0.8814932458823757
Philadelphia 76ers,27,55,0.329,-0.8639073457151463
New Jersey Nets,12,70,0.146,-1.9630261061669863
Cleveland Cavaliers,61,21,0.744,1.3563125503975706
Milwaukee Bucks,46,36,0.561,0.3011585403638042
Chicago Bulls,41,41,0.5,-0.3605109534282035
Indiana Pacers,32,50,0.39,-0.6836518690010445
Detroit Pistons,27,55,0.329,-1.1035152354936473
Orlando Magic,59,23,0.72,1.5651451148834201
Atlanta Hawks,53,29,0.646,0.976017459281234
Miami Heat,47,35,0.573,0.4374492666598323
Charlotte Bobcats,44,38,0.537,0.2857708777174784
Washington Wizards,26,56,0.317,-1.0375681098665368
Denver Nuggets,53,29,0.646,0.9122685711750272
Utah Jazz,53,29,0.646,1.1716605986416615
Portland Trail Blazers,50,32,0.61,0.6990395316473703
Oklahoma City Thunder,50,32,0.61,0.7803743199208063
Minnesota Timberwolves,15,67,0.183,-1.9916031939387342
Los Angeles Lakers,57,25,0.695,1.0507575349919591
Phoenix Suns,54,28,0.659,1.0265769222620185
Los Angeles Clippers,29,53,0.354,-1.3211407500631116
Golden State Warriors,26,56,0.317,-0.721021906856407
Sacramento Kings,25,57,0.305,-0.892484433486894
Dallas Mavericks,55,27,0.671,0.5847311805603789
San Antonio Spurs,50,32,0.61,1.1145064230981658
Houston Rockets,42,40,0.512,-0.00439647504180736
Memphis Grizzlies,40,42,0.488,-0.3055550154056115
New Orleans Hornets,37,45,0.451,-0.49899991724513537
