Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Oklahoma City Thunder,1.372643,60.0,22.0,0.732,1.97294323723198,2.031012819643707
Miami Heat,1.300588,66.0,16.0,0.805,1.7313583510403086,1.5604393576060396
Los Angeles Clippers,0.96815,56.0,26.0,0.683,1.409245169451414,1.4272581891048128
San Antonio Spurs,0.944219,58.0,24.0,0.707,1.3488489479034962,1.4805306565053036
Denver Nuggets,0.812962,57.0,25.0,0.695,1.0669999140132134,1.191971458085979
New York Knicks,1.112937,54.0,28.0,0.659,0.9663395447666838,0.8279429308492927
Memphis Grizzlies,1.022573,56.0,26.0,0.683,0.926075397068072,0.9589044132088324
Indiana Pacers,0.865272,49.0,32.0,0.605,0.905943323218766,0.7413751713234953
Houston Rockets,0.372602,45.0,37.0,0.549,0.724754658575013,0.8190641862825443
Brooklyn Nets,0.247632,49.0,33.0,0.598,0.4026414769861183,0.2774607677108889
Los Angeles Lakers,0.42182,45.0,37.0,0.549,0.2415848861916709,0.3285135489696925
Golden State Warriors,0.139712,47.0,35.0,0.573,0.1811886646437532,0.2929985707026987
Atlanta Hawks,0.074586,44.0,38.0,0.537,0.0805282953972236,-0.0177574891334968
Chicago Bulls,0.067531,45.0,37.0,0.549,0.0603962215479177,-0.0044393722833742
Utah Jazz,-0.170122,43.0,39.0,0.524,-0.0201320738493059,0.0665905842506133
Boston Celtics,-0.110112,41.0,40.0,0.506,-0.0402641476986118,-0.1376205407846009
Dallas Mavericks,-0.207556,41.0,41.0,0.5,-0.1207924430958354,-0.0532724674004906
Milwaukee Bucks,-0.116669,38.0,44.0,0.463,-0.3221131815888946,-0.4062025639287415
Toronto Raptors,-0.371956,34.0,48.0,0.415,-0.3221131815888946,-0.4350584837706739
Minnesota Timberwolves,-0.043902,31.0,51.0,0.378,-0.5033018462326478,-0.4062025639287415
Washington Wizards,-0.28383,29.0,53.0,0.354,-0.5636980677805655,-0.6170727473890171
Portland Trail Blazers,-0.803089,33.0,49.0,0.402,-0.6844905108764011,-0.5615805938468392
Philadelphia 76ers,-0.210491,34.0,48.0,0.415,-0.7448867324243189,-0.7791098357321762
Detroit Pistons,-0.817593,29.0,53.0,0.354,-0.8656791755201543,-0.9611240993505196
New Orleans Hornets,-0.74624,27.0,55.0,0.329,-0.8858112493694603,-0.6925420762063789
Cleveland Cavaliers,-0.847204,24.0,58.0,0.293,-1.0267357663146015,-1.0809871510016236
Sacramento Kings,-1.094082,28.0,54.0,0.341,-1.0468678401639075,-0.9455862963587096
Phoenix Suns,-1.258551,25.0,57.0,0.305,-1.389113095602108,-1.2763195314700893
Orlando Magic,-1.135336,20.0,62.0,0.244,-1.5099055386979436,-1.5804165328812236
Charlotte Bobcats,-1.506493,21.0,61.0,0.256,-2.013207384930592,-2.062088425627327
