Team,W,L,W/L%,NRtg,NRtg_norm
Oklahoma City Thunder,60.0,22.0,0.732,9.8,1.9729432372319797
Miami Heat,66.0,16.0,0.805,8.6,1.7313583510403086
Los Angeles Clippers,56.0,26.0,0.683,7.0,1.409245169451414
San Antonio Spurs,58.0,24.0,0.707,6.7,1.3488489479034962
Denver Nuggets,57.0,25.0,0.695,5.3,1.0669999140132134
New York Knicks,54.0,28.0,0.659,4.8,0.9663395447666838
Memphis Grizzlies,56.0,26.0,0.683,4.6,0.926075397068072
Indiana Pacers,49.0,32.0,0.605,4.5,0.9059433232187661
Houston Rockets,45.0,37.0,0.549,3.6,0.724754658575013
Brooklyn Nets,49.0,33.0,0.598,2.0,0.4026414769861183
Los Angeles Lakers,45.0,37.0,0.549,1.2,0.24158488619167096
Golden State Warriors,47.0,35.0,0.573,0.9,0.18118866464375324
Atlanta Hawks,44.0,38.0,0.537,0.4,0.08052829539722366
Chicago Bulls,45.0,37.0,0.549,0.3,0.06039622154791774
Utah Jazz,43.0,39.0,0.524,-0.1,-0.020132073849305914
Boston Celtics,41.0,40.0,0.506,-0.2,-0.04026414769861183
Dallas Mavericks,41.0,41.0,0.5,-0.6,-0.12079244309583548
Milwaukee Bucks,38.0,44.0,0.463,-1.6,-0.3221131815888946
Toronto Raptors,34.0,48.0,0.415,-1.6,-0.3221131815888946
Minnesota Timberwolves,31.0,51.0,0.378,-2.5,-0.5033018462326478
Washington Wizards,29.0,53.0,0.354,-2.8,-0.5636980677805655
Portland Trail Blazers,33.0,49.0,0.402,-3.4,-0.6844905108764011
Philadelphia 76ers,34.0,48.0,0.415,-3.7,-0.7448867324243189
Detroit Pistons,29.0,53.0,0.354,-4.3,-0.8656791755201543
New Orleans Hornets,27.0,55.0,0.329,-4.4,-0.8858112493694603
Cleveland Cavaliers,24.0,58.0,0.293,-5.1,-1.0267357663146015
Sacramento Kings,28.0,54.0,0.341,-5.2,-1.0468678401639075
Phoenix Suns,25.0,57.0,0.305,-6.9,-1.389113095602108
Orlando Magic,20.0,62.0,0.244,-7.5,-1.5099055386979436
Charlotte Bobcats,21.0,61.0,0.256,-10.0,-2.0132073849305914
League Average,,,,,
