Team,W,L,W/L%,SRS_norm
New York Knicks,54,28,0.659,0.8279429308492927
Brooklyn Nets,49,33,0.598,0.27746076771088896
Boston Celtics,41,40,0.506,-0.13762054078460093
Philadelphia 76ers,34,48,0.415,-0.7791098357321762
Toronto Raptors,34,48,0.415,-0.4350584837706739
Indiana Pacers,49,32,0.605,0.7413751713234953
Chicago Bulls,45,37,0.549,-0.004439372283374224
Milwaukee Bucks,38,44,0.463,-0.4062025639287415
Detroit Pistons,29,53,0.354,-0.9611240993505195
Cleveland Cavaliers,24,58,0.293,-1.0809871510016236
Miami Heat,66,16,0.805,1.5604393576060396
Atlanta Hawks,44,38,0.537,-0.017757489133496895
Washington Wizards,29,53,0.354,-0.6170727473890171
Charlotte Bobcats,21,61,0.256,-2.062088425627327
Orlando Magic,20,62,0.244,-1.5804165328812236
Oklahoma City Thunder,60,22,0.732,2.031012819643707
Denver Nuggets,57,25,0.695,1.191971458085979
Utah Jazz,43,39,0.524,0.06659058425061336
Portland Trail Blazers,33,49,0.402,-0.5615805938468392
Minnesota Timberwolves,31,51,0.378,-0.4062025639287415
Los Angeles Clippers,56,26,0.683,1.4272581891048128
Golden State Warriors,47,35,0.573,0.29299857070269875
Los Angeles Lakers,45,37,0.549,0.32851354896969254
Sacramento Kings,28,54,0.341,-0.9455862963587096
Phoenix Suns,25,57,0.305,-1.2763195314700893
San Antonio Spurs,58,24,0.707,1.4805306565053036
Memphis Grizzlies,56,26,0.683,0.9589044132088324
Houston Rockets,45,37,0.549,0.8190641862825443
Dallas Mavericks,41,41,0.5,-0.05327246740049068
New Orleans Hornets,27,55,0.329,-0.6925420762063789
