Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.670718,59.0,23.0,0.72,1.923096424233229,1.9400733827255248
Phoenix Suns,0.926005,62.0,20.0,0.756,1.6357371884282637,1.7520050446041728
Miami Heat,1.690739,59.0,23.0,0.72,1.5694235186271177,1.427834619684474
Dallas Mavericks,0.997317,58.0,24.0,0.707,1.3704825092236803,1.4501058702514764
Houston Rockets,0.713639,51.0,31.0,0.622,0.9947050470171872,1.0566471102344377
Detroit Pistons,1.02533,54.0,28.0,0.659,0.9726004904168054,0.8190871041864142
Seattle SuperSonics,0.366984,52.0,30.0,0.634,0.5747184716099305,0.6409170996503966
Memphis Grizzlies,0.319318,45.0,37.0,0.549,0.5747184716099305,0.6532900166320645
Sacramento Kings,0.12986,50.0,32.0,0.61,0.5084048018087846,0.6334933494613959
Denver Nuggets,0.463434,49.0,33.0,0.598,0.4641956886080207,0.5518320973823878
Minnesota Timberwolves,0.134573,44.0,38.0,0.537,0.353672905606111,0.4281029275657089
Chicago Bulls,0.125012,47.0,35.0,0.573,0.2431501226042013,0.1608479207616825
Boston Celtics,0.054308,45.0,37.0,0.549,0.1989410094034374,0.0866104188716752
Cleveland Cavaliers,0.288274,42.0,40.0,0.512,0.1989410094034374,0.0668137517010065
Indiana Pacers,-0.044736,44.0,38.0,0.537,0.1989410094034374,0.1212545864203453
Washington Wizards,0.0798,45.0,37.0,0.549,-0.0663136698011458,-0.175695421139684
Philadelphia 76ers,-0.156248,43.0,39.0,0.524,-0.1768364528030555,-0.2647804234076928
Los Angeles Clippers,-0.106169,37.0,45.0,0.451,-0.1989410094034374,-0.1163054196276781
New Jersey Nets,-0.266933,42.0,40.0,0.512,-0.3757774622064929,-0.4503741781327111
Toronto Raptors,-0.447122,33.0,49.0,0.402,-0.3978820188068749,-0.4478995947363775
Golden State Warriors,-0.477263,34.0,48.0,0.415,-0.4863002452084027,-0.4305775109620425
Orlando Magic,-0.286994,36.0,46.0,0.439,-0.5305093584091666,-0.6235950158760615
New York Knicks,-0.61442,33.0,49.0,0.402,-0.5968230282103124,-0.6730866838027332
Milwaukee Bucks,-0.413379,30.0,52.0,0.366,-0.7073458112122221,-0.7646462694670754
Los Angeles Lakers,-0.506989,34.0,48.0,0.415,-0.729450367812604,-0.5741033479493899
Portland Trail Blazers,-0.859912,27.0,55.0,0.329,-0.9947050470171872,-0.8537312717350842
Utah Jazz,-0.802382,26.0,56.0,0.317,-1.0610187168183332,-0.925494190228758
Charlotte Bobcats,-0.950542,18.0,64.0,0.22,-1.414691622424444,-1.5218687887451503
New Orleans Hornets,-1.454959,18.0,64.0,0.22,-1.768364528030555,-1.5589875396901538
Atlanta Hawks,-1.597266,13.0,69.0,0.159,-2.3209784430401035,-2.380549227272901
