Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,45,37,.549,8.5,101.3,100.4,0.35
Philadelphia 76ers,43,39,.524,9.5,99.1,99.9,-1.07
New Jersey Nets,42,40,.512,10.0,91.4,92.9,-1.82
Toronto Raptors,33,49,.402,14.5,99.7,101.4,-1.81
New York Knicks,33,49,.402,14.5,97.3,99.7,-2.72
Detroit Pistons,54,28,.659,4.0,93.3,89.5,3.31
Chicago Bulls,47,35,.573,7.5,94.5,93.4,0.65
Indiana Pacers,44,38,.537,9.0,93.0,92.2,0.49
Cleveland Cavaliers,42,40,.512,10.0,96.5,95.7,0.27
Milwaukee Bucks,30,52,.366,16.0,97.2,100.2,-3.09
Miami Heat,59,23,.720,1.5,101.5,95.0,5.77
Washington Wizards,45,37,.549,8.5,100.5,100.8,-0.71
Orlando Magic,36,46,.439,13.0,99.5,101.8,-2.52
Charlotte Bobcats,18,64,.220,22.0,94.3,100.2,-6.15
Atlanta Hawks,13,69,.159,24.5,92.7,102.5,-9.62
Seattle SuperSonics,52,30,.634,5.0,98.9,96.6,2.59
Denver Nuggets,49,33,.598,6.5,99.5,97.5,2.23
Minnesota Timberwolves,44,38,.537,9.0,96.8,95.3,1.73
Portland Trail Blazers,27,55,.329,17.5,92.9,96.9,-3.45
Utah Jazz,26,56,.317,18.0,93.0,97.3,-3.74
Phoenix Suns,62,20,.756,0.0,110.4,103.3,7.08
Sacramento Kings,50,32,.610,6.0,103.7,101.6,2.56
Los Angeles Clippers,37,45,.451,12.5,95.7,96.5,-0.47
Los Angeles Lakers,34,48,.415,14.0,98.7,101.7,-2.32
Golden State Warriors,34,48,.415,14.0,98.7,100.9,-1.74
San Antonio Spurs,59,23,.720,1.5,96.2,88.4,7.84
Dallas Mavericks,58,24,.707,2.0,102.5,96.8,5.86
Houston Rockets,51,31,.622,5.5,95.1,91.0,4.27
Memphis Grizzlies,45,37,.549,8.5,93.4,91.1,2.64
New Orleans Hornets,18,64,.220,22.0,88.4,95.5,-6.30
