Team,W,L,W/L%,NRtg,NRtg_norm
San Antonio Spurs,59.0,23.0,0.72,8.7,1.9230964242332287
Phoenix Suns,62.0,20.0,0.756,7.4,1.6357371884282637
Miami Heat,59.0,23.0,0.72,7.1,1.5694235186271177
Dallas Mavericks,58.0,24.0,0.707,6.2,1.3704825092236803
Houston Rockets,51.0,31.0,0.622,4.5,0.9947050470171873
Detroit Pistons,54.0,28.0,0.659,4.4,0.9726004904168054
Seattle SuperSonics,52.0,30.0,0.634,2.6,0.5747184716099305
Memphis Grizzlies,45.0,37.0,0.549,2.6,0.5747184716099305
Sacramento Kings,50.0,32.0,0.61,2.3,0.5084048018087846
Denver Nuggets,49.0,33.0,0.598,2.1,0.46419568860802074
Minnesota Timberwolves,44.0,38.0,0.537,1.6,0.35367290560611103
Chicago Bulls,47.0,35.0,0.573,1.1,0.24315012260420135
Boston Celtics,45.0,37.0,0.549,0.9,0.19894100940343745
Cleveland Cavaliers,42.0,40.0,0.512,0.9,0.19894100940343745
Indiana Pacers,44.0,38.0,0.537,0.9,0.19894100940343745
Washington Wizards,45.0,37.0,0.549,-0.3,-0.06631366980114582
Philadelphia 76ers,43.0,39.0,0.524,-0.8,-0.17683645280305552
Los Angeles Clippers,37.0,45.0,0.451,-0.9,-0.19894100940343745
New Jersey Nets,42.0,40.0,0.512,-1.7,-0.37577746220649294
Toronto Raptors,33.0,49.0,0.402,-1.8,-0.3978820188068749
Golden State Warriors,34.0,48.0,0.415,-2.2,-0.4863002452084027
Orlando Magic,36.0,46.0,0.439,-2.4,-0.5305093584091666
New York Knicks,33.0,49.0,0.402,-2.7,-0.5968230282103124
Milwaukee Bucks,30.0,52.0,0.366,-3.2,-0.7073458112122221
Los Angeles Lakers,34.0,48.0,0.415,-3.3,-0.729450367812604
Portland Trail Blazers,27.0,55.0,0.329,-4.5,-0.9947050470171873
Utah Jazz,26.0,56.0,0.317,-4.8,-1.0610187168183332
Charlotte Bobcats,18.0,64.0,0.22,-6.4,-1.4146916224244441
New Orleans Hornets,18.0,64.0,0.22,-8.0,-1.768364528030555
Atlanta Hawks,13.0,69.0,0.159,-10.5,-2.3209784430401035
League Average,,,,,
