Team,W,L,W/L%,SRS_norm
Boston Celtics,45,37,0.549,0.08661041887167521
Philadelphia 76ers,43,39,0.524,-0.2647804234076928
New Jersey Nets,42,40,0.512,-0.45037417813271113
Toronto Raptors,33,49,0.402,-0.4478995947363775
New York Knicks,33,49,0.402,-0.6730866838027332
Detroit Pistons,54,28,0.659,0.8190871041864142
Chicago Bulls,47,35,0.573,0.16084792076168256
Indiana Pacers,44,38,0.537,0.1212545864203453
Cleveland Cavaliers,42,40,0.512,0.06681375170100659
Milwaukee Bucks,30,52,0.366,-0.7646462694670754
Miami Heat,59,23,0.72,1.427834619684474
Washington Wizards,45,37,0.549,-0.175695421139684
Orlando Magic,36,46,0.439,-0.6235950158760615
Charlotte Bobcats,18,64,0.22,-1.5218687887451503
Atlanta Hawks,13,69,0.159,-2.380549227272901
Seattle SuperSonics,52,30,0.634,0.6409170996503966
Denver Nuggets,49,33,0.598,0.5518320973823878
Minnesota Timberwolves,44,38,0.537,0.4281029275657089
Portland Trail Blazers,27,55,0.329,-0.8537312717350842
Utah Jazz,26,56,0.317,-0.925494190228758
Phoenix Suns,62,20,0.756,1.7520050446041728
Sacramento Kings,50,32,0.61,0.6334933494613959
Los Angeles Clippers,37,45,0.451,-0.11630541962767814
Los Angeles Lakers,34,48,0.415,-0.5741033479493899
Golden State Warriors,34,48,0.415,-0.4305775109620425
San Antonio Spurs,59,23,0.72,1.9400733827255248
Dallas Mavericks,58,24,0.707,1.4501058702514764
Houston Rockets,51,31,0.622,1.0566471102344375
Memphis Grizzlies,45,37,0.549,0.6532900166320645
New Orleans Hornets,18,64,0.22,-1.5589875396901538
