Four-Factor Score,NRtg_norm,SRS_norm,W,L,W/L%
0.147771,-0.2380071656227236,-0.3198924192234381,44.0,38.0,0.537
-0.330412,-0.4046121815586301,-0.3146049412197449,39.0,43.0,0.476
-0.215938,-0.4284128981209025,-0.3569047652492905,33.0,49.0,0.402
-0.503911,-0.6188186306190814,-0.6926596184838082,35.0,47.0,0.427
-0.766877,-0.7378222134304432,-0.6477160554524162,31.0,51.0,0.378
-0.527246,-0.7378222134304432,-0.8089841345650585,33.0,49.0,0.402
-0.464756,-0.7854236465549879,-0.8618589146019903,35.0,47.0,0.427
-0.826677,-0.8806265128040773,-0.9781834306832408,24.0,58.0,0.293
-0.895287,-0.9520286624908944,-0.8354215245835245,32.0,50.0,0.39
-0.686018,-0.9520286624908944,-1.0495643837330988,33.0,49.0,0.402
-0.943756,-1.118633678426801,-1.171176377818042,28.0,54.0,0.341
-0.994328,-1.1424343949890732,-0.9993333426980132,32.0,50.0,0.39
-0.973621,-1.261437977800435,-1.284857154897446,30.0,52.0,0.366
-0.976713,-1.2852386943627077,-1.1738201168198887,22.0,60.0,0.268
1.793588,1.8974950128056451,1.7472274400666703,66.0,16.0,0.805
1.324545,1.4273192574201756,1.2531190349725472,59.0,23.0,0.72
1.050015,1.2593993447825078,1.378994560224662,57.0,25.0,0.695
1.020565,1.2258153622549743,1.2888150794470277,54.0,28.0,0.659
0.90717,0.9739354932984728,0.8999160685934785,52.0,30.0,0.634
1.05701,0.9739354932984728,1.0257915938455937,56.0,26.0,0.683
0.945876,0.9067675282434058,0.9581569832623674,56.0,26.0,0.683
0.919302,0.8731835457158722,0.907431025324948,55.0,27.0,0.671
0.407314,0.8731835457158722,0.9656719399938368,55.0,27.0,0.671
0.776853,0.8395995631883386,0.883007415947672,51.0,31.0,0.622
0.63619,0.6213036767593706,0.7026484543924029,50.0,32.0,0.61
0.541836,0.5373437204405367,0.4640485781682447,41.0,41.0,0.5
0.177503,0.3862157990666357,0.4471399255224381,48.0,34.0,0.585
0.313254,0.067167965055067,0.0356960444744803,40.0,42.0,0.488
-0.093709,-0.067167965055067,-0.1146030901549106,43.0,39.0,0.524
0.201527,-0.067167965055067,-0.0995731766919715,45.0,37.0,0.549
-0.298646,-0.1847119039014345,-0.0976944375091041,41.0,41.0,0.5
-0.213731,-0.2518798689565016,-0.3513242271962014,36.0,46.0,0.439
-0.364343,-0.3358398252753354,-0.4189588377794273,37.0,45.0,0.451
-0.635815,-0.4030077903304025,-0.349445488013334,38.0,44.0,0.463
-0.341831,-0.5541357117043034,-0.5993177993346965,33.0,49.0,0.402
-0.829395,-0.806015580660805,-0.8435538931074569,32.0,50.0,0.39
-0.717523,-0.9067675282434058,-0.9675506791767045,34.0,48.0,0.415
-1.050814,-1.0746874408810734,-1.082153769331615,22.0,60.0,0.268
-1.218138,-1.2090233709912075,-1.2305741647781383,23.0,59.0,0.28
-1.210985,-1.2426073535187412,-1.1760907284749844,22.0,60.0,0.268
-1.113663,-1.2593993447825078,-1.300087514544232,26.0,56.0,0.317
-1.127459,-1.326567309837575,-1.232452903961006,23.0,59.0,0.28
-1.355641,-1.5112792137390094,-1.5105063030253791,20.0,62.0,0.244
-1.500856,-1.5952391700578434,-1.6025645229858811,15.0,67.0,0.183
1.781108,1.9220359061271883,1.8856487431735791,66.0,16.0,0.805
1.507408,1.5760694430242943,1.6162703512916394,62.0,20.0,0.756
1.347241,1.5568490839630225,1.544580940548865,65.0,17.0,0.793
1.343535,1.4030862114728475,1.4077193382217503,59.0,23.0,0.72
1.214969,1.1724419027375848,1.086203193072338,54.0,28.0,0.659
0.513661,0.845695798695963,0.8103075820319643,53.0,29.0,0.646
0.636567,0.8072550805734192,0.7299285457446113,54.0,28.0,0.659
0.797867,0.6919329262057878,0.6799631988632837,54.0,28.0,0.659
0.524174,0.5381700537156128,0.5018258751994202,48.0,34.0,0.585
0.42563,0.4036275402867096,0.3649642728723056,50.0,32.0,0.61
0.494174,0.3844071812254376,0.3519298345554376,46.0,36.0,0.561
0.353051,0.326746104041622,0.3693090856445949,47.0,35.0,0.573
0.277281,0.326746104041622,0.3063093004463993,49.0,33.0,0.598
0.101412,0.0384407181225437,0.1064479129210891,43.0,39.0,0.524
0.282589,0.0192203590612718,0.0347585021783148,41.0,41.0,0.5
-0.168185,-0.0576610771838156,-0.0347585021783148,41.0,41.0,0.5
-0.106842,-0.1153221543676313,-0.0782066299012083,39.0,43.0,0.476
-0.391958,-0.2114239496739907,-0.1651028853469954,36.0,46.0,0.439
-0.123561,-0.2306443087352626,-0.1911717619807315,34.0,48.0,0.415
-0.233923,-0.2690850268578064,-0.2606887663373611,35.0,47.0,0.427
-0.718265,-0.5189496946543409,-0.5061706879717096,32.0,50.0,0.39
-0.529029,-0.5189496946543409,-0.5018258751994202,34.0,48.0,0.415
-0.521024,-0.5766107718381566,-0.5517912220807478,33.0,49.0,0.402
-0.69186,-0.7303736443283315,-0.825514426734977,29.0,53.0,0.354
-1.106087,-1.0186790302474098,-1.0297206270325767,24.0,58.0,0.293
-0.935969,-1.1532215436763131,-1.1361685399536658,24.0,58.0,0.293
-1.147509,-1.2493233389826726,-1.3121334572313843,23.0,59.0,0.28
-1.411036,-1.5760694430242943,-1.5163396575289845,19.0,63.0,0.232
-1.796345,-1.7682730336370132,-1.8682694920844216,17.0,65.0,0.207
-1.719071,-1.806713751759557,-1.840028209064541,19.0,63.0,0.232
1.429544,1.6072876689963085,1.56514511488342,59.0,23.0,0.72
1.246517,1.408857092577011,1.3563125503975706,61.0,21.0,0.744
0.790352,1.131054285589995,1.1716605986416615,53.0,29.0,0.646
0.875613,1.0913681703061353,1.1145064230981658,50.0,32.0,0.61
0.842687,1.031838997380346,0.976017459281234,53.0,29.0,0.646
0.49782,1.0119959397384164,1.0265769222620185,54.0,28.0,0.659
0.912046,1.0119959397384164,1.0507575349919591,57.0,25.0,0.695
0.691713,0.8532514786029786,0.9122685711750272,53.0,29.0,0.646
0.520232,0.7738792480352596,0.7408060445445401,50.0,32.0,0.61
0.758898,0.7341931327514002,0.6990395316473703,50.0,32.0,0.61
0.742498,0.7341931327514002,0.7803743199208063,50.0,32.0,0.61
0.573845,0.5754486716159622,0.5847311805603789,55.0,27.0,0.671
0.679382,0.4960764410482433,0.4374492666598323,47.0,35.0,0.573
0.359595,0.3571750375547352,0.3011585403638042,46.0,36.0,0.561
0.364862,0.3174889222708758,0.2857708777174784,44.0,38.0,0.537
-0.156368,-0.0793722305677189,-0.0043964750418073,42.0,40.0,0.512
-0.172885,-0.3174889222708758,-0.3055550154056115,40.0,42.0,0.488
-0.166393,-0.3571750375547352,-0.3605109534282035,41.0,41.0,0.5
-0.38458,-0.3770180951966649,-0.4022774663253735,40.0,42.0,0.488
-0.433853,-0.5357625563321029,-0.4989999172451353,37.0,45.0,0.451
-0.745565,-0.6151347868998218,-0.6836518690010445,32.0,50.0,0.39
-1.035533,-0.7143500751094705,-0.721021906856407,26.0,56.0,0.317
-0.834504,-0.7937223056771894,-0.8814932458823757,29.0,53.0,0.354
-0.625065,-0.8334084209610488,-0.8639073457151463,27.0,55.0,0.329
-0.720239,-0.9127806515287678,-0.892484433486894,25.0,57.0,0.305
-0.931741,-1.031838997380346,-1.0375681098665368,26.0,56.0,0.317
-0.754631,-1.1508973432319245,-1.1035152354936473,27.0,55.0,0.329
-1.094255,-1.3493279196512218,-1.3211407500631116,29.0,53.0,0.354
-1.588972,-1.964462706551044,-1.9916031939387344,15.0,67.0,0.183
-1.641023,-1.964462706551044,-1.9630261061669865,12.0,70.0,0.146
1.369319,1.6121523723368751,1.485821821110091,58.0,24.0,0.707
1.538252,1.572831582767683,1.4352687118119667,62.0,20.0,0.756
1.2606,1.3172464505679349,1.3209747255727289,57.0,25.0,0.695
1.077655,1.2189444766449544,1.2880053064652566,61.0,21.0,0.744
0.835983,1.1599632922911665,1.0616152952606124,56.0,26.0,0.683
1.162781,1.1599632922911665,1.081396946725096,52.0,30.0,0.634
0.837877,0.983019739229802,1.0572193727129493,50.0,32.0,0.61
0.736077,0.9240385548760138,0.9693009217596896,57.0,25.0,0.695
0.694335,0.7864157913838415,0.8374232453298,55.0,27.0,0.671
0.563615,0.491509869614901,0.5604801248270314,46.0,36.0,0.561
0.330308,0.4521890800457088,0.5209168218980645,43.0,39.0,0.524
0.273088,0.3342267113381326,0.4066228356588267,48.0,34.0,0.585
0.360102,0.3145663165535366,0.2219940886569811,41.0,41.0,0.5
0.496261,0.1966039478459604,0.2813390430504314,46.0,36.0,0.561
0.017905,0.1572831582767683,0.1055021411439117,42.0,40.0,0.512
0.041555,-0.1769435530613643,-0.2241920499308125,35.0,47.0,0.427
-0.264647,-0.1769435530613643,-0.1011062185962488,40.0,42.0,0.488
-0.336293,-0.1769435530613643,-0.2417757401214645,44.0,38.0,0.537
-0.406045,-0.2359247374151524,-0.3033186557887464,37.0,45.0,0.451
-0.539845,-0.3932078956919208,-0.3165064234317354,39.0,43.0,0.476
-0.661919,-0.491509869614901,-0.4395922547662991,36.0,46.0,0.439
-0.784252,-0.6684534226762653,-0.5956475052083353,32.0,50.0,0.39
-0.632614,-0.7864157913838415,-0.8308293615083053,30.0,52.0,0.366
-0.606974,-0.8650573705222258,-0.8967681997232503,34.0,48.0,0.415
-0.840198,-1.081321713152782,-1.055021411439118,24.0,58.0,0.293
-1.237186,-1.3369068453525306,-1.3803196799661794,24.0,58.0,0.293
-1.194865,-1.3369068453525306,-1.3803196799661794,22.0,60.0,0.268
-1.317332,-1.3565672401371267,-1.312182880477403,17.0,65.0,0.207
-1.294553,-1.533510793198491,-1.604511729896992,23.0,59.0,0.28
-1.478989,-1.88739789932122,-1.9517896111623685,19.0,63.0,0.232
1.543002,1.732299328249513,1.5647283877941365,50.0,16.0,0.758
1.298119,1.4657917392880495,1.5331389856179427,50.0,16.0,0.758
0.935024,1.2563929193897567,1.356238333431257,47.0,19.0,0.712
1.165482,1.2183204066809763,1.2046092029855262,46.0,20.0,0.697
1.075545,0.8947040486563419,0.7560396920835734,35.0,31.0,0.53
0.663829,0.7043414851124394,0.5622913587362509,40.0,26.0,0.606
0.51185,0.6853052287580491,0.5475496377206938,42.0,24.0,0.636
0.40544,0.6472327160492686,0.5033244746740224,36.0,30.0,0.545
0.71459,0.5710876906317076,0.665483405845151,38.0,28.0,0.576
0.312277,0.5330151779229271,0.4759469927879876,39.0,27.0,0.591
0.490509,0.5330151779229271,0.5938807609124448,40.0,26.0,0.606
0.437584,0.4187976397965856,0.5117483152543407,41.0,25.0,0.621
0.368552,0.3045801016702441,0.4127681884355999,41.0,25.0,0.621
0.223212,0.1903625635439025,0.3748609058241673,36.0,30.0,0.545
0.282815,0.1713263071895122,0.0968741666736612,37.0,29.0,0.561
0.167743,0.1332537944807317,0.1937483333473224,36.0,30.0,0.545
-0.093291,0.0571087690631707,-0.0484370833368306,31.0,35.0,0.47
0.042858,0.0571087690631707,0.1200397282695367,34.0,32.0,0.515
-0.134367,-0.0571087690631707,0.0610728442073081,33.0,33.0,0.5
-0.220414,-0.1332537944807317,-0.046331123191751,28.0,38.0,0.424
-0.366857,-0.4378338961509758,-0.3853907065495652,26.0,40.0,0.394
-0.900874,-0.7043414851124394,-0.5875628804772061,23.0,43.0,0.348
-0.576601,-0.7043414851124394,-0.7728873732442101,23.0,43.0,0.348
-0.647964,-0.7995227668843906,-0.654953605119753,21.0,45.0,0.318
-0.970346,-0.9898853304282932,-1.08246351457091,20.0,46.0,0.303
-0.994566,-1.0089215867826833,-1.092993315296308,25.0,41.0,0.379
-0.901378,-1.1421753812634152,-1.0424502718143978,22.0,44.0,0.333
-1.289245,-1.275429175744147,-1.3414966124156995,22.0,44.0,0.333
-1.144314,-1.4848279956424395,-1.5457747464884202,21.0,45.0,0.318
