Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.900365,67.0,15.0,0.817,2.1199572401943207,2.0900781579336005
Golden State Warriors,1.452891,73.0,9.0,0.89,2.0073931389450648,2.1104096575243942
Oklahoma City Thunder,1.087932,55.0,27.0,0.671,1.4070512656156997,1.441503320987279
Cleveland Cavaliers,0.886196,57.0,25.0,0.695,1.2006837466587303,1.108066727698261
Toronto Raptors,0.900059,56.0,26.0,0.683,0.9005128099940477,0.8295251833043862
Los Angeles Clippers,0.829764,53.0,29.0,0.646,0.8442307593694198,0.839690933099783
Atlanta Hawks,0.313047,48.0,34.0,0.585,0.6941452910370786,0.709569335718703
Boston Celtics,0.396391,48.0,34.0,0.585,0.6003418733293652,0.5774145883785433
Charlotte Hornets,0.72966,48.0,34.0,0.585,0.5440598227047372,0.4798233903427331
Utah Jazz,0.280338,40.0,42.0,0.488,0.3752136708308532,0.3740995924706055
Miami Heat,0.55753,48.0,34.0,0.585,0.3189316202062252,0.3049724938619066
Indiana Pacers,0.304116,45.0,37.0,0.549,0.3189316202062252,0.3293702933708592
Portland Trail Blazers,-0.093921,44.0,38.0,0.537,0.1500854683323413,0.199248695989779
Detroit Pistons,0.451896,44.0,38.0,0.537,0.1125641012492559,0.0874254482404132
Houston Rockets,-0.025904,41.0,41.0,0.5,0.0375213670830853,0.0691270986086988
Dallas Mavericks,0.041132,42.0,40.0,0.512,-0.0562820506246279,-0.0040662999181587
Washington Wizards,-0.101423,41.0,41.0,0.5,-0.0938034177077133,-0.1016574979539688
Chicago Bulls,-0.277807,42.0,40.0,0.512,-0.2814102531231399,-0.2968398940255891
Orlando Magic,-0.398649,35.0,47.0,0.427,-0.3189316202062252,-0.3415691931253354
Sacramento Kings,-0.434685,33.0,49.0,0.402,-0.4502564049970238,-0.4716907905064156
Memphis Grizzlies,-0.442178,42.0,40.0,0.512,-0.4502564049970238,-0.4350940912429868
New York Knicks,-0.491675,32.0,50.0,0.39,-0.5628205062462799,-0.5570830887877496
Denver Nuggets,-0.45082,33.0,49.0,0.402,-0.6191025568709078,-0.5713151385013052
Minnesota Timberwolves,-0.378035,29.0,53.0,0.354,-0.6753846074955359,-0.6872046861688297
New Orleans Pelicans,-0.580062,30.0,52.0,0.366,-0.7316666581201637,-0.7238013854322586
Milwaukee Bucks,-0.684805,33.0,49.0,0.402,-0.8254700758278771,-0.8091936837135923
Phoenix Suns,-1.362359,23.0,59.0,0.28,-1.275726480824901,-1.284950774138167
Brooklyn Nets,-1.032879,21.0,61.0,0.256,-1.4445726326987849,-1.4476027708645172
Los Angeles Lakers,-1.56249,17.0,65.0,0.207,-1.8760683541542664,-1.813569763498805
Philadelphia 76ers,-1.813626,10.0,72.0,0.122,-1.9511110883204368,-2.016884759406743
