Team,W,L,W/L%,NRtg,NRtg_norm
San Antonio Spurs,67.0,15.0,0.817,11.3,2.1199572401943207
Golden State Warriors,73.0,9.0,0.89,10.7,2.0073931389450648
Oklahoma City Thunder,55.0,27.0,0.671,7.5,1.4070512656156997
Cleveland Cavaliers,57.0,25.0,0.695,6.4,1.2006837466587303
Toronto Raptors,56.0,26.0,0.683,4.8,0.9005128099940477
Los Angeles Clippers,53.0,29.0,0.646,4.5,0.8442307593694198
Atlanta Hawks,48.0,34.0,0.585,3.7,0.6941452910370786
Boston Celtics,48.0,34.0,0.585,3.2,0.6003418733293652
Charlotte Hornets,48.0,34.0,0.585,2.9,0.5440598227047372
Utah Jazz,40.0,42.0,0.488,2.0,0.3752136708308532
Miami Heat,48.0,34.0,0.585,1.7,0.31893162020622523
Indiana Pacers,45.0,37.0,0.549,1.7,0.31893162020622523
Portland Trail Blazers,44.0,38.0,0.537,0.8,0.1500854683323413
Detroit Pistons,44.0,38.0,0.537,0.6,0.11256410124925596
Houston Rockets,41.0,41.0,0.5,0.2,0.03752136708308532
Dallas Mavericks,42.0,40.0,0.512,-0.3,-0.05628205062462798
Washington Wizards,41.0,41.0,0.5,-0.5,-0.0938034177077133
Chicago Bulls,42.0,40.0,0.512,-1.5,-0.28141025312313994
Orlando Magic,35.0,47.0,0.427,-1.7,-0.31893162020622523
Sacramento Kings,33.0,49.0,0.402,-2.4,-0.45025640499702385
Memphis Grizzlies,42.0,40.0,0.512,-2.4,-0.45025640499702385
New York Knicks,32.0,50.0,0.39,-3.0,-0.5628205062462799
Denver Nuggets,33.0,49.0,0.402,-3.3,-0.6191025568709078
Minnesota Timberwolves,29.0,53.0,0.354,-3.6,-0.6753846074955359
New Orleans Pelicans,30.0,52.0,0.366,-3.9,-0.7316666581201637
Milwaukee Bucks,33.0,49.0,0.402,-4.4,-0.8254700758278771
Phoenix Suns,23.0,59.0,0.28,-6.8,-1.275726480824901
Brooklyn Nets,21.0,61.0,0.256,-7.7,-1.4445726326987849
Los Angeles Lakers,17.0,65.0,0.207,-10.0,-1.8760683541542662
Philadelphia 76ers,10.0,72.0,0.122,-10.4,-1.9511110883204368
League Average,,,,,
