Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Cleveland Cavaliers,57,25,.695,8.0,104.3,98.3,5.45
Toronto Raptors,56,26,.683,8.5,102.7,98.2,4.08
Miami Heat,48,34,.585,12.5,100.0,98.4,1.50
Atlanta Hawks,48,34,.585,12.5,102.8,99.2,3.49
Boston Celtics,48,34,.585,12.5,105.7,102.5,2.84
Charlotte Hornets,48,34,.585,12.5,103.4,100.7,2.36
Indiana Pacers,45,37,.549,14.0,102.2,100.5,1.62
Detroit Pistons,44,38,.537,14.5,102.0,101.4,0.43
Chicago Bulls,42,40,.512,15.5,101.6,103.1,-1.46
Washington Wizards,41,41,.500,16.0,104.1,104.6,-0.50
Orlando Magic,35,47,.427,19.0,102.1,103.7,-1.68
Milwaukee Bucks,33,49,.402,20.0,99.0,103.2,-3.98
New York Knicks,32,50,.390,20.5,98.4,101.1,-2.74
Brooklyn Nets,21,61,.256,26.0,98.6,106.0,-7.12
Philadelphia 76ers,10,72,.122,31.5,97.4,107.6,-9.92
Golden State Warriors,73,9,.890,0.0,114.9,104.1,10.38
San Antonio Spurs,67,15,.817,3.0,103.5,92.9,10.28
Oklahoma City Thunder,55,27,.671,9.0,110.2,102.9,7.09
Los Angeles Clippers,53,29,.646,10.0,104.5,100.2,4.13
Portland Trail Blazers,44,38,.537,14.5,105.1,104.3,0.98
Dallas Mavericks,42,40,.512,15.5,102.3,102.6,-0.02
Memphis Grizzlies,42,40,.512,15.5,99.1,101.3,-2.14
Houston Rockets,41,41,.500,16.0,106.5,106.4,0.34
Utah Jazz,40,42,.488,16.5,97.7,95.9,1.84
Sacramento Kings,33,49,.402,20.0,106.6,109.1,-2.32
Denver Nuggets,33,49,.402,20.0,101.9,105.0,-2.81
New Orleans Pelicans,30,52,.366,21.5,102.7,106.5,-3.56
Minnesota Timberwolves,29,53,.354,22.0,102.4,106.0,-3.38
Phoenix Suns,23,59,.280,25.0,100.9,107.5,-6.32
Los Angeles Lakers,17,65,.207,28.0,97.3,106.9,-8.92
