Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.837731,58.0,24.0,0.707,1.7618838811192834,1.7877335827457306
Sacramento Kings,0.873266,55.0,27.0,0.671,1.2292213124088025,1.370144298897296
Utah Jazz,0.923457,53.0,29.0,0.646,1.065325137420962,1.12861968607685
Philadelphia 76ers,0.985123,56.0,26.0,0.683,0.962890028053562,0.821635131463947
Portland Trail Blazers,0.703277,50.0,32.0,0.61,0.962890028053562,1.0202721962134724
Dallas Mavericks,0.423888,53.0,29.0,0.646,0.9219159843066018,1.0405873505628558
Milwaukee Bucks,0.677117,52.0,30.0,0.634,0.8604549186861618,0.7087731628562619
Los Angeles Lakers,0.878167,56.0,26.0,0.683,0.7375327874452815,0.8442075251854839
New York Knicks,0.468207,48.0,34.0,0.585,0.6146106562044013,0.4469333956864326
Miami Heat,0.469334,50.0,32.0,0.61,0.532662568710481,0.3905024113825901
Toronto Raptors,0.581635,47.0,35.0,0.573,0.512175546837001,0.3814734538939753
Houston Rockets,0.244845,45.0,37.0,0.549,0.512175546837001,0.6117118698536528
Charlotte Hornets,0.885407,46.0,36.0,0.561,0.4712015030900409,0.3272997089622865
Phoenix Suns,0.546729,51.0,31.0,0.622,0.4712015030900409,0.5936539548764231
Minnesota Timberwolves,0.169115,47.0,35.0,0.573,0.3073053281022006,0.4085603263598197
Orlando Magic,0.039158,43.0,39.0,0.524,0.2253572406082804,0.0880323355139943
Seattle SuperSonics,-0.219195,44.0,38.0,0.537,0.0,0.1241481654684535
Indiana Pacers,-0.02556,41.0,41.0,0.5,-0.04097404374696,-0.1738074316558349
Detroit Pistons,-0.146126,32.0,50.0,0.39,-0.3687663937226407,-0.4695057894079696
Boston Celtics,-0.373955,36.0,46.0,0.439,-0.4712015030900409,-0.541737449316888
Denver Nuggets,-0.331465,40.0,42.0,0.488,-0.532662568710481,-0.4130748051041271
Los Angeles Clippers,-0.538197,31.0,51.0,0.378,-0.6555846999513614,-0.5033643799902752
Cleveland Cavaliers,-0.771296,30.0,52.0,0.366,-0.9424030061800818,-1.0112432387248578
New Jersey Nets,-1.103721,26.0,56.0,0.317,-1.1267862030414022,-1.1963368672414612
Atlanta Hawks,-1.173434,25.0,57.0,0.305,-1.1472732249148825,-1.2527678515453036
Vancouver Grizzlies,-1.296073,23.0,59.0,0.28,-1.2701953561557626,-1.115076249843928
Washington Wizards,-1.153448,19.0,63.0,0.232,-1.475065574890563,-1.5236365762037476
Golden State Warriors,-1.59558,17.0,65.0,0.207,-1.966754099854084,-1.830621130816651
Chicago Bulls,-1.97841,15.0,67.0,0.183,-2.069189209221484,-2.0518305892877136
