Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
San Antonio Spurs,58.0,24.0,0.707317,1.27494,-0.583236,-0.488975,1.81702,-1.867755,-1.092324,1.381047,-1.713053,0.830543,1.007188,1.837731
Sacramento Kings,55.0,27.0,0.670732,0.607753,-0.805787,-0.444662,-0.05946,-0.831106,0.339423,-0.764508,-1.747818,0.346697,0.526569,0.873266
Utah Jazz,53.0,29.0,0.646341,1.330539,1.085894,0.88474,2.121314,0.011171,1.323749,1.023454,2.423929,0.755887,0.16757,0.923457
Philadelphia 76ers,56.0,26.0,0.682927,-0.281829,0.640792,1.327874,1.563441,-0.831106,0.339423,0.522825,-1.573995,0.227161,0.757962,0.985123
Portland Trail Blazers,50.0,32.0,0.609756,1.330539,0.752068,0.796113,-0.313038,-0.183201,0.160454,0.451306,-0.287707,0.456466,0.246811,0.703277
Dallas Mavericks,53.0,29.0,0.646341,1.386138,-1.139613,-1.818377,-0.008744,-0.377572,0.07097,-0.764508,0.442349,0.474371,-0.050483,0.423888
Milwaukee Bucks,52.0,30.0,0.634146,1.441737,-1.473439,-0.045841,-0.718763,0.011171,0.249939,-0.478434,0.75523,0.828072,-0.150955,0.677117
Los Angeles Lakers,56.0,26.0,0.682927,1.386138,-0.917062,1.28356,0.346266,-0.312782,-1.718713,0.522825,0.094703,1.092373,-0.214206,0.878167
New York Knicks,48.0,34.0,0.585366,0.162962,0.529517,-1.774064,-0.465185,-1.28464,0.518391,1.810158,0.303291,-0.491785,0.959992,0.468207
Miami Heat,50.0,32.0,0.609756,-0.22623,-0.471961,-1.72975,-0.211607,-0.831106,1.055296,0.665862,-0.600588,-0.350193,0.819527,0.469334
Toronto Raptors,47.0,35.0,0.573171,-0.281829,-2.252366,1.15062,-0.921626,0.205542,-0.734387,1.023454,-0.670117,0.54224,0.039395,0.581635
Houston Rockets,45.0,37.0,0.54878,1.052545,-0.138135,-0.311722,0.65056,0.140752,-1.360776,0.093714,-0.878704,0.490791,-0.245946,0.244845
Charlotte Hornets,46.0,36.0,0.560976,-0.893417,-0.471961,0.707486,0.751991,-1.090268,-0.018514,1.953195,-0.322471,0.014919,0.870488,0.885407
Phoenix Suns,51.0,31.0,0.621951,-0.72662,-0.02686,-0.400349,-0.515901,-0.831106,1.950138,1.381047,0.720465,-0.441388,0.988117,0.546729
Minnesota Timberwolves,47.0,35.0,0.573171,0.496556,-1.250888,0.175726,-1.631645,0.335123,0.07097,0.093714,0.233762,0.301743,-0.132628,0.169115
Orlando Magic,43.0,39.0,0.52439,0.051764,-0.360686,0.397292,-0.820195,-0.571944,1.323749,-1.408175,2.041519,0.067306,-0.028148,0.039158
Seattle SuperSonics,44.0,38.0,0.536585,0.996946,0.195691,0.397292,-0.617332,0.983029,-0.197482,-1.408175,-1.122056,0.336714,-0.555909,-0.219195
Indiana Pacers,41.0,41.0,0.5,-0.115032,0.418242,-0.533289,0.396981,-1.349431,-1.181808,-0.263879,0.129468,-0.197684,0.172124,-0.02556
Detroit Pistons,32.0,50.0,0.390244,-1.115812,0.084416,0.485919,0.143403,-0.442363,-0.107998,0.308269,0.059939,-0.348735,0.202609,-0.146126
Boston Celtics,36.0,46.0,0.439024,-0.003834,0.640792,-1.286616,0.954853,1.306982,1.681685,0.665862,0.859524,-0.275827,-0.098128,-0.373955
Denver Nuggets,40.0,42.0,0.487805,-0.170631,-1.473439,0.042785,-1.023057,0.205542,-1.808197,0.022195,-0.287707,0.155206,-0.486671,-0.331465
Los Angeles Clippers,31.0,51.0,0.378049,0.162962,0.863343,0.042785,-0.515901,-0.442363,-1.897681,-0.478434,-0.496294,-0.219479,-0.318718,-0.538197
Cleveland Cavaliers,30.0,52.0,0.365854,-0.782219,1.41972,0.663173,0.396981,0.270333,-0.018514,-0.478434,0.581407,-0.475636,-0.29566,-0.771296
New Jersey Nets,26.0,56.0,0.317073,-1.171411,-0.24941,-1.109363,0.904138,0.983029,0.697359,-1.265138,0.929053,-0.492464,-0.611257,-1.103721
Atlanta Hawks,25.0,57.0,0.304878,-0.949016,1.530995,0.308666,-1.276636,-0.05362,-0.286966,-0.69299,0.616172,-0.892117,-0.281317,-1.173434
Vancouver Grizzlies,23.0,59.0,0.280488,-0.504224,0.863343,-0.932109,-0.414469,1.177401,-0.286966,-1.408175,-1.295879,-0.666118,-0.629955,-1.296073
Washington Wizards,19.0,63.0,0.231707,-0.72662,1.753546,0.663173,1.664873,1.954887,-0.018514,0.022195,0.164233,-0.346669,-0.806779,-1.153448
Golden State Warriors,17.0,65.0,0.207317,-2.450186,-0.24941,2.258455,-1.631645,2.019678,0.786844,-1.479693,-0.148648,-0.710778,-0.884802,-1.59558
Chicago Bulls,15.0,67.0,0.182927,-1.282609,1.085894,-0.710542,-0.566616,1.695725,0.160454,-1.050582,0.789995,-1.011618,-0.966792,-1.97841
