Team,W,L,W/L%,SRS_norm
Philadelphia 76ers,56,26,0.683,0.821635131463947
Miami Heat,50,32,0.61,0.3905024113825901
New York Knicks,48,34,0.585,0.44693339568643264
Orlando Magic,43,39,0.524,0.08803233551399431
Boston Celtics,36,46,0.439,-0.541737449316888
New Jersey Nets,26,56,0.317,-1.1963368672414612
Washington Wizards,19,63,0.232,-1.5236365762037476
Milwaukee Bucks,52,30,0.634,0.7087731628562619
Toronto Raptors,47,35,0.573,0.38147345389397536
Charlotte Hornets,46,36,0.561,0.32729970896228655
Indiana Pacers,41,41,0.5,-0.17380743165583493
Detroit Pistons,32,50,0.39,-0.46950578940796966
Cleveland Cavaliers,30,52,0.366,-1.0112432387248578
Atlanta Hawks,25,57,0.305,-1.2527678515453036
Chicago Bulls,15,67,0.183,-2.0518305892877136
San Antonio Spurs,58,24,0.707,1.7877335827457306
Utah Jazz,53,29,0.646,1.12861968607685
Dallas Mavericks,53,29,0.646,1.0405873505628558
Minnesota Timberwolves,47,35,0.573,0.40856032635981976
Houston Rockets,45,37,0.549,0.6117118698536528
Denver Nuggets,40,42,0.488,-0.41307480510412714
Vancouver Grizzlies,23,59,0.28,-1.115076249843928
Los Angeles Lakers,56,26,0.683,0.8442075251854839
Sacramento Kings,55,27,0.671,1.370144298897296
Phoenix Suns,51,31,0.622,0.5936539548764231
Portland Trail Blazers,50,32,0.61,1.0202721962134724
Seattle SuperSonics,44,38,0.537,0.12414816546845353
Los Angeles Clippers,31,51,0.378,-0.5033643799902752
Golden State Warriors,17,65,0.207,-1.8306211308166507
