Team,W,L,W/L%,NRtg,NRtg_norm
San Antonio Spurs,58.0,24.0,0.707,8.6,1.7618838811192834
Sacramento Kings,55.0,27.0,0.671,6.0,1.2292213124088025
Utah Jazz,53.0,29.0,0.646,5.2,1.065325137420962
Philadelphia 76ers,56.0,26.0,0.683,4.7,0.9628900280535619
Portland Trail Blazers,50.0,32.0,0.61,4.7,0.9628900280535619
Dallas Mavericks,53.0,29.0,0.646,4.5,0.9219159843066018
Milwaukee Bucks,52.0,30.0,0.634,4.2,0.8604549186861618
Los Angeles Lakers,56.0,26.0,0.683,3.6,0.7375327874452815
New York Knicks,48.0,34.0,0.585,3.0,0.6146106562044013
Miami Heat,50.0,32.0,0.61,2.6,0.532662568710481
Toronto Raptors,47.0,35.0,0.573,2.5,0.512175546837001
Houston Rockets,45.0,37.0,0.549,2.5,0.512175546837001
Charlotte Hornets,46.0,36.0,0.561,2.3,0.4712015030900409
Phoenix Suns,51.0,31.0,0.622,2.3,0.4712015030900409
Minnesota Timberwolves,47.0,35.0,0.573,1.5,0.3073053281022006
Orlando Magic,43.0,39.0,0.524,1.1,0.22535724060828047
Seattle SuperSonics,44.0,38.0,0.537,0.0,0.0
Indiana Pacers,41.0,41.0,0.5,-0.2,-0.040974043746960086
Detroit Pistons,32.0,50.0,0.39,-1.8,-0.36876639372264075
Boston Celtics,36.0,46.0,0.439,-2.3,-0.4712015030900409
Denver Nuggets,40.0,42.0,0.488,-2.6,-0.532662568710481
Los Angeles Clippers,31.0,51.0,0.378,-3.2,-0.6555846999513614
Cleveland Cavaliers,30.0,52.0,0.366,-4.6,-0.9424030061800818
New Jersey Nets,26.0,56.0,0.317,-5.5,-1.1267862030414022
Atlanta Hawks,25.0,57.0,0.305,-5.6,-1.1472732249148823
Vancouver Grizzlies,23.0,59.0,0.28,-6.2,-1.2701953561557626
Washington Wizards,19.0,63.0,0.232,-7.2,-1.475065574890563
Golden State Warriors,17.0,65.0,0.207,-9.6,-1.9667540998540838
Chicago Bulls,15.0,67.0,0.183,-10.1,-2.069189209221484
League Average,,,,,
