Team,W,L,W/L%,NRtg,NRtg_norm
Golden State Warriors,67.0,15.0,0.817,11.6,2.638425123921754
San Antonio Spurs,61.0,21.0,0.744,7.6,1.7286233570521836
Houston Rockets,55.0,27.0,0.671,5.7,1.2964675177891378
Toronto Raptors,51.0,31.0,0.622,4.5,1.0235269877282667
Los Angeles Clippers,51.0,31.0,0.622,4.5,1.0235269877282667
Utah Jazz,51.0,31.0,0.622,4.3,0.9780368993847881
Cleveland Cavaliers,51.0,31.0,0.622,3.3,0.7505864576673955
Boston Celtics,53.0,29.0,0.646,2.8,0.6368612368086992
Washington Wizards,49.0,33.0,0.598,1.9,0.4321558392630459
Miami Heat,41.0,41.0,0.5,1.1,0.2501954858891319
Oklahoma City Thunder,47.0,35.0,0.573,0.8,0.18196035337391409
Memphis Grizzlies,43.0,39.0,0.524,0.6,0.13647026503043555
Denver Nuggets,40.0,42.0,0.488,0.5,0.1137252208586963
Chicago Bulls,41.0,41.0,0.5,0.4,0.09098017668695704
Charlotte Hornets,36.0,46.0,0.439,0.2,0.04549008834347852
Indiana Pacers,42.0,40.0,0.512,-0.2,-0.04549008834347852
Milwaukee Bucks,42.0,40.0,0.512,-0.2,-0.04549008834347852
Portland Trail Blazers,41.0,41.0,0.5,-0.5,-0.1137252208586963
Atlanta Hawks,43.0,39.0,0.524,-0.8,-0.18196035337391409
Detroit Pistons,37.0,45.0,0.451,-1.1,-0.2501954858891319
Minnesota Timberwolves,31.0,51.0,0.378,-1.2,-0.2729405300608711
New Orleans Pelicans,34.0,48.0,0.415,-2.2,-0.5003909717782637
Dallas Mavericks,33.0,49.0,0.402,-3.2,-0.7278414134956563
New York Knicks,31.0,51.0,0.378,-3.8,-0.8643116785260918
Sacramento Kings,32.0,50.0,0.39,-4.0,-0.9098017668695704
Phoenix Suns,24.0,58.0,0.293,-5.6,-1.2737224736173984
Philadelphia 76ers,28.0,54.0,0.341,-5.7,-1.2964675177891378
Brooklyn Nets,20.0,62.0,0.244,-6.6,-1.501172915334791
Orlando Magic,29.0,53.0,0.354,-6.8,-1.5466630036782696
Los Angeles Lakers,26.0,56.0,0.317,-7.0,-1.5921530920217482
League Average,,,,,
